Date,Type,Article,Details
26/08/2020,Terror Attacks,2020 Petah Tikva stabbing,דקירה בצומת סגולה. ישראלי אחד (הרב שי אוחיון) נרצח.
15/09/2020,Terror Attacks,Rocket attacks,"ירי רקטות מרצועת עזה בזמן חתימת ""הסכמי אברהם"". 2 פצועים."
05/01/2021,Terror Attacks,2021 Israel–Palestine crisis (Riots),"מהומות אלימות בערים מעורבות, כולל ירי, הצתות ולינצ'ים. מספר הרוגים אזרחיים (כגון יגאל יהושע בלוד)."
21/11/2021,Terror Attacks,2021 Jerusalem shooting,ירי בשער השלשלת. אזרח אחד (אליהו קיי) נרצח ו-4 נפצעו. המחבל חוסל.
04/12/2021,Terror Attacks,Stabbing attack,מחבל דקר אזרח חרדי וניסה לדקור שוטרים. המחבל חוסל.
22/03/2022,Terror Attacks,2022 Beersheba attack,פיגוע דריסה ודקירה במתחם ביג. 4 נרצחים. המחבל חוסל.
27/03/2022,Terror Attacks,2022 Hadera shooting,"ירי של שני מחבלים המזוהים עם דאעש. 2 שוטרי מג""ב נרצחו. המחבלים חוסלו."
29/03/2022,Terror Attacks,2022 Bnei Brak shootings,מסע ירי ברחובות העיר. 5 נרצחים (כולל שוטר). המחבל חוסל.
07/04/2022,Terror Attacks,2022 Tel Aviv shooting,ירי המוני ברחוב דיזנגוף. 3 נרצחים. המחבל חוסל ביפו למחרת.
05/05/2022,Terror Attacks,2022 El'ad stabbing,פיגוע גרזנים בפארק העירוני במוצאי יום העצמאות. 3 נרצחים.
23/11/2022,Terror Attacks,2022 Jerusalem bombings,שני מטעני חבלה התפוצצו בתחנות אוטובוס בכניסה לעיר ובצומת רמות. 2 נרצחים.
27/01/2023,Terror Attacks,2023 Neve Yaakov shooting,ירי ליד בית כנסת בשכונת נווה יעקב. 7 נרצחים. המחבל חוסל.
10/02/2023,Terror Attacks,2023 Ramot Junction attack,פיגוע דריסה בתחנת אוטובוס. 3 נרצחים (ביניהם שני ילדים).
07/04/2023,Terror Attacks,2023 Tel Aviv car-ramming,דריסה בטיילת תל אביב. תייר איטלקי נרצח ו-7 נפצעו.
04/07/2023,Terror Attacks,July 2023 Tel Aviv attack,דריסה ודקירה ברמת החייל. 9 פצועים (אחת איבדה את עוברה).
05/08/2023,Terror Attacks,Shooting attack,ירי סמוך לנחלת בנימין. סייר ביטחון (חן אמיר) נרצח. המחבל חוסל.
07/10/2023,Terror Attacks,2023 Hamas-led attack on Israel,"מתקפת פתע המונית ביישובים, בסיסים ומסיבת טבע בעוטף עזה. כ-1,200 נרצחים ואלפי פצועים."
30/11/2023,Terror Attacks,2023 Givat Shaul shooting,ירי בתחנת אוטובוס בכניסה לעיר. 3 נרצחים (ואזרח נוסף נורה בשוגג).
15/01/2024,Terror Attacks,2024 Ra'anana attack,פיגוע משולב (דריסה ודקירה) במספר זירות. אישה אחת נרצחה ו-17 נפצעו.
16/02/2024,Terror Attacks,2024 Re'em Junction shooting,ירי בתחנת אוטובוס בצומת ראם. 2 נרצחים. המחבל חוסל.
14/03/2024,Terror Attacks,Stabbing attack,"פיגוע דקירה בסניף ארומה בצומת בית קמה. נרצח אחד (רס""ב אורי מויאל)."
31/03/2024,Terror Attacks,Stabbing attack,"דקירה בקניון ""פרנדלי"". 3 פצועים קשה. המחבל חוסל."
16/07/2024,Terror Attacks,Stabbing attack,"דקירה בקניון חוצות כרמיאל. סמל אלכסנדר יקימינסקי נפל, חברו חיסל את המחבל."
04/08/2024,Terror Attacks,Stabbing attack,מסע דקירות בשלוש זירות בחולון. 2 נרצחים. המחבל חוסל.
01/10/2024,Terror Attacks,2024 Jaffa shooting,ירי ודקירה ברכבת הקלה וברחוב ביפו. 7 נרצחים. המחבלים חוסלו/נוטרלו.
06/10/2024,Terror Attacks,2024 Beersheba bus station shooting,"ירי בתחנה המרכזית בבאר שבע. שוטרת משמר הגבול (סמ""ר שירה חיה סוסליק) נרצחה."
27/10/2024,Terror Attacks,2024 Glilot ramming attack,משאית דהרה לעבר תחנת אוטובוס ליד בסיס גלילות. אזרח אחד נרצח ועשרות נפצעו.
