Date,Type,Article,Details
26/8/2020,Terror Attacks,2020 Petah Tikva stabbing,דקירה בצומת סגולה. ישראלי אחד (הרב שי אוחיון) נרצח.
15/9/2020,Terror Attacks,Rocket attacks,"ירי רקטות מרצועת עזה בזמן חתימת ""הסכמי אברהם"". 2 פצועים."
5/1/2021,Terror Attacks,2021 Israel–Palestine crisis (Riots),"מהומות אלימות בערים מעורבות, כולל ירי, הצתות ולינצ'ים. מספר הרוגים אזרחיים (כגון יגאל יהושע בלוד)."
21/11/2021,Terror Attacks,2021 Jerusalem shooting,ירי בשער השלשלת. אזרח אחד (אליהו קיי) נרצח ו-4 נפצעו. המחבל חוסל.
4/12/2021,Terror Attacks,Stabbing attack,מחבל דקר אזרח חרדי וניסה לדקור שוטרים. המחבל חוסל.
22/3/2022,Terror Attacks,2022 Beersheba attack,פיגוע דריסה ודקירה במתחם ביג. 4 נרצחים. המחבל חוסל.
27/3/2022,Terror Attacks,2022 Hadera shooting,"ירי של שני מחבלים המזוהים עם דאעש. 2 שוטרי מג""ב נרצחו. המחבלים חוסלו."
29/3/2022,Terror Attacks,2022 Bnei Brak shootings,מסע ירי ברחובות העיר. 5 נרצחים (כולל שוטר). המחבל חוסל.
7/4/2022,Terror Attacks,2022 Tel Aviv shooting,ירי המוני ברחוב דיזנגוף. 3 נרצחים. המחבל חוסל ביפו למחרת.
5/5/2022,Terror Attacks,2022 El'ad stabbing,פיגוע גרזנים בפארק העירוני במוצאי יום העצמאות. 3 נרצחים.
23/11/2022,Terror Attacks,2022 Jerusalem bombings,שני מטעני חבלה התפוצצו בתחנות אוטובוס בכניסה לעיר ובצומת רמות. 2 נרצחים.
27/1/2023,Terror Attacks,2023 Neve Yaakov shooting,ירי ליד בית כנסת בשכונת נווה יעקב. 7 נרצחים. המחבל חוסל.
10/2/2023,Terror Attacks,2023 Ramot Junction attack,פיגוע דריסה בתחנת אוטובוס. 3 נרצחים (ביניהם שני ילדים).
7/4/2023,Terror Attacks,2023 Tel Aviv car-ramming,דריסה בטיילת תל אביב. תייר איטלקי נרצח ו-7 נפצעו.
4/7/2023,Terror Attacks,July 2023 Tel Aviv attack,דריסה ודקירה ברמת החייל. 9 פצועים (אחת איבדה את עוברה).
5/8/2023,Terror Attacks,Shooting attack,ירי סמוך לנחלת בנימין. סייר ביטחון (חן אמיר) נרצח. המחבל חוסל.
7/10/2023,Terror Attacks,2023 Hamas-led attack on Israel,"מתקפת פתע המונית ביישובים, בסיסים ומסיבת טבע בעוטף עזה. כ-1,200 נרצחים ואלפי פצועים."
30/11/2023,Terror Attacks,2023 Givat Shaul shooting,ירי בתחנת אוטובוס בכניסה לעיר. 3 נרצחים (ואזרח נוסף נורה בשוגג).
15/1/2024,Terror Attacks,2024 Ra'anana attack,פיגוע משולב (דריסה ודקירה) במספר זירות. אישה אחת נרצחה ו-17 נפצעו.
16/2/2024,Terror Attacks,2024 Re'em Junction shooting,ירי בתחנת אוטובוס בצומת ראם. 2 נרצחים. המחבל חוסל.
14/3/2024,Terror Attacks,Stabbing attack,"פיגוע דקירה בסניף ארומה בצומת בית קמה. נרצח אחד (רס""ב אורי מויאל)."
31/3/2024,Terror Attacks,Stabbing attack,"דקירה בקניון ""פרנדלי"". 3 פצועים קשה. המחבל חוסל."
16/7/2024,Terror Attacks,Stabbing attack,"דקירה בקניון חוצות כרמיאל. סמל אלכסנדר יקימינסקי נפל, חברו חיסל את המחבל."
4/8/2024,Terror Attacks,Stabbing attack,מסע דקירות בשלוש זירות בחולון. 2 נרצחים. המחבל חוסל.
1/10/2024,Terror Attacks,2024 Jaffa shooting,ירי ודקירה ברכבת הקלה וברחוב ביפו. 7 נרצחים. המחבלים חוסלו/נוטרלו.
6/10/2024,Terror Attacks,2024 Beersheba bus station shooting,"ירי בתחנה המרכזית בבאר שבע. שוטרת משמר הגבול (סמ""ר שירה חיה סוסליק) נרצחה."
27/10/2024,Terror Attacks,2024 Glilot ramming attack,משאית דהרה לעבר תחנת אוטובוס ליד בסיס גלילות. אזרח אחד נרצח ועשרות נפצעו.
18/1/2025,Terror Attacks,Stabbing attack,"פיגוע דקירה בדרום תל אביב. אזרח אחד נפצע קשה, המחבל חוסל."
21/1/2025,Terror Attacks,Stabbing attack,דקירה במדרחוב נחלת בנימין. שני פצועים קשה. המחבל חוסל.
27/2/2025,Terror Attacks,Karkur Junction attack,פיגוע דריסה בצומת כרכור (כביש 65). הרוג אחד ו-13 פצועים. המחבל נוטרל.
26/3/2020,Political Incidents,Gantz joins Netanyahu,"בני גנץ מפרק את ""כחול לבן"" ומפר את הבטחת הבחירות המרכזית שלו לא לשבת עם נתניהו, מה שהוביל להקמת ממשלת החילופים הפריטטית."
26/4/2020,Political Incidents,Peretz Joins Bibi,"עמיר פרץ מפר את הבטחת הליבה (""בלי שפם"") ונכנס לממשלת נתניהו. המפלגה התרסקה בסקרים ואיבדה את רוב תומכיה כמעט מיידית."
8/12/2020,Political Incidents,Sa'ar Splits,"גדעון סער פורש מהליכוד ומקים את ""תקווה חדשה"". זה אירוע פנימי של הליכוד שגרם לזעזוע במפלגה (לפני שזה הפך לאירוע כללי)."
23/12/2020,Political Incidents,Budget Failure & Collapse,"הממשלה נופלת באופן ""אוטומטי"" ומפתיע בחצות הלילה עקב אי-העברת תקציב (תרגיל פוליטי שנכשל ברגע האחרון), מה שגרר את ישראל לבחירות רביעיות."
2/6/2021,Political Incidents,Ra'am Joins Coalition,מנסור עבאס חותם על הסכם קואליציוני עם יאיר לפיד. הפעם הראשונה בהיסטוריה שמפלגה ערבית היא חלק פעיל מהקואליציה. אירוע תקדימי לחלוטין.
13/6/2021,Political Incidents,Bennett as PM,"בנט משביע ממשלה עם רע""מ והשמאל. הבייס של ימינה זעם, והמפלגה נכנסה למגננה והוצאות חריגות כדי להצדיק את המהלך מול בוחריה."
24/1/2022,Political Incidents,Gantz Housing Scandal,"סערת הווילה של בני גנץ (תחקיר עיתונאי). אירוע נקודתי שפגע תדמיתית בגנץ ודרש ""ניהול משברים"" ספציפי למפלגה שלו."
6/4/2022,Political Incidents,Idit Silman Resignation,"יו""ר הקואליציה עידית סילמן מודיעה במפתיע על פרישה מהקואליציה, מה שגרם לאובדן הרוב הפרלמנטרי (60-60) ולתחילת הסוף של ממשלת בנט-לפיד."
19/5/2022,Political Incidents,Rinawie Zoabi Resignation,"ח""כ ג'ידא רינאווי זועבי פורשת במפתיע מהקואליציה במכתב פומבי, מה שהפך את הממשלה למיעוט (59 ח""כים) והוביל לפירוק הכנסת חודש לאחר מכן."
4/1/2023,Political Incidents,Levin's Reform Speech,"שר המשפטים יריב לוין מציג את ""הרפורמה המשפטית"" בנאום מפתיע בעיתוי ובקיצוניות שלו, מה שהצית גל מחאה ספונטני חסר תקדים."
18/1/2023,Political Incidents,Deri Disqualified,"בג""ץ פסל את אריה דרעי מלהיות שר (""הלכת דרעי""). ש""ס יצאה לקמפיין ענק וייחודי (""הוא זכאי"") שלא קשור לשאר המפלגות."
26/3/2023,Political Incidents,"""Gallant Night""","נתניהו מודיע על פיטורי שר הביטחון יואב גלנט לאחר שקרא לעצור את החקיקה. מאות אלפים יצאו לרחובות באותו לילה באופן ספונטני, והפיטורים בוטלו."
24/7/2023,Political Incidents,Reasonableness Law Passes,ביטול עילת הסבירות עבר בכנסת. האופוזיציה החרימה את ההצבעה. גל מחאה עצום ואיומי סרבנות. זה אירוע שמשפיע על כולם.
12/9/2023,Political Incidents,Bagatz vs. Levin Hearing,"הדיון בבג""ץ על עילת הסבירות (שודר בשידור חי). יריב לוין (ליכוד) היה במוקד, אבל כל המפלגות ניהלו קמפיין סביב זה."
17/1/2024,Political Incidents,Ben Gvir vs. Police,"בן גביר מנסה להדיח את המפכ""ל שבתאי ונוצר עימות חזיתי. זה יצר ""רעש"" ספציפי סביב עוצמה יהודית והמשילות שלה."
18/5/2024,Political Incidents,Gantz Ultimatum,"בני גנץ מציב אולטימטום פומבי ונוקשה לנתניהו בזמן מלחמה, מהלך שסימן את סוף דרכה של ממשלת החירום והוביל לפרישתו ביוני."
9/6/2024,Political Incidents,Gantz Quits War Cabinet,"גנץ פורש מהממשלה. עבור ""המחנה הממלכתי"" זה שינוי סטטוס קיצוני (מקואליציה לאופוזיציה). עבור הליכוד זה שינוי אסטרטגיה (מ""ביחד ננצח"" ל""הם עזבו באמצע"")."
29/7/2024,Political Incidents,Sde Teiman Riots,חברי כנסת (בעיקר מעוצמה יהודית והליכוד) פרצו לבסיס צבאי כדי למחות על מעצר חיילים. אירוע כאוס שבו מפלגות הקואליציה תקפו את הצבא.
5/11/2024,Political Incidents,Gallant Fired (2024),"בעיצומה של מלחמה רב-זירתית, נתניהו מפטר את שר הביטחון גלנט (הפעם באופן סופי). אירוע שנחשב חריג מאוד בזמן לחימה פעילה."
