calendar_year,entity_group,total_spend_ils,average_weekly_row_spend_ils,median_weekly_row_spend_ils,sd_weekly_row_spend_ils,min_weekly_row_spend_ils,p25_weekly_row_spend_ils,p75_weekly_row_spend_ils,max_weekly_row_spend_ils,rows,week_rows,entities
2020,other_org_or_person,5585021.474,5081.912,2249.500,9688.217,8.250,931.833,4888.415,120404.265,1099,52,35
2020,political_party,1357509.053,6114.906,1077.421,18850.414,8.250,441.150,2383.875,150972.190,222,52,10
2021,other_org_or_person,6546542.583,5747.623,1964.444,16486.612,21.357,908.500,4282.630,282752.409,1139,52,34
2021,political_party,5975424.424,16879.730,2705.058,39130.076,49.500,940.250,10442.463,350750.000,354,52,16
2022,other_org_or_person,5501763.910,4366.479,1633.399,11016.760,0.973,648.909,4125.178,179758.522,1260,52,38
2022,political_party,4391557.129,10685.054,2625.921,28908.820,49.500,959.771,8148.783,415000.000,411,52,14
2023,other_org_or_person,8433064.237,5922.096,2218.086,14922.272,35.357,1033.977,5067.292,200425.854,1424,53,38
2023,political_party,232731.916,1124.309,781.667,1140.566,18.688,350.264,1366.985,6045.750,207,51,11
2024,other_org_or_person,10806215.084,6856.735,2472.046,16903.307,28.429,997.650,5376.940,323814.063,1576,52,38
2024,political_party,242855.546,1537.060,779.735,1894.138,31.188,305.325,1791.766,9250.000,158,52,8
2025,other_org_or_person,8418698.234,5924.489,2250.000,11319.019,9.967,943.100,5484.997,152169.650,1421,52,37
2025,political_party,263079.250,1406.841,299.000,2174.395,16.500,250.000,1749.500,10971.450,187,51,7
