model_name,relative_week,estimate,std.error,statistic,p.value,conf.low,conf.high
all_entities_all_events,-2,0.071,0.031,2.328,0.023,0.010,0.132
all_entities_all_events,-1,0.056,0.026,2.113,0.039,0.003,0.108
all_entities_all_events,1,-0.025,0.025,-1.012,0.315,-0.075,0.024
all_entities_all_events,2,-0.044,0.026,-1.714,0.091,-0.096,0.007
political_parties_all_events,-2,0.162,0.093,1.742,0.102,-0.036,0.360
political_parties_all_events,-1,0.091,0.086,1.062,0.305,-0.092,0.274
political_parties_all_events,1,0.000,0.057,0.003,0.997,-0.122,0.123
political_parties_all_events,2,-0.041,0.063,-0.647,0.527,-0.176,0.094
other_orgs_people_all_events,-2,0.042,0.032,1.328,0.190,-0.022,0.106
other_orgs_people_all_events,-1,0.034,0.027,1.228,0.226,-0.021,0.089
other_orgs_people_all_events,1,-0.023,0.027,-0.838,0.406,-0.078,0.032
other_orgs_people_all_events,2,-0.042,0.027,-1.562,0.125,-0.096,0.012
all_entities_political_events,-2,0.114,0.040,2.865,0.006,0.034,0.193
all_entities_political_events,-1,0.149,0.035,4.293,<0.001,0.080,0.218
all_entities_political_events,1,-0.066,0.033,-1.978,0.052,-0.132,0.001
all_entities_political_events,2,-0.068,0.037,-1.828,0.072,-0.143,0.006
all_entities_terror_events,-2,0.025,0.044,0.553,0.582,-0.064,0.113
all_entities_terror_events,-1,-0.059,0.043,-1.382,0.172,-0.144,0.026
all_entities_terror_events,1,0.016,0.030,0.543,0.589,-0.044,0.076
all_entities_terror_events,2,-0.019,0.041,-0.465,0.644,-0.102,0.063
political_parties_political_events,-2,0.233,0.157,1.489,0.157,-0.101,0.568
political_parties_political_events,-1,0.174,0.156,1.114,0.283,-0.159,0.506
political_parties_political_events,1,-0.185,0.124,-1.493,0.156,-0.450,0.079
political_parties_political_events,2,-0.194,0.099,-1.970,0.068,-0.405,0.016
political_parties_terror_events,-2,0.094,0.082,1.144,0.273,-0.083,0.271
political_parties_terror_events,-1,0.002,0.079,0.023,0.982,-0.169,0.173
political_parties_terror_events,1,0.175,0.039,4.447,<0.001,0.090,0.261
political_parties_terror_events,2,0.119,0.079,1.502,0.157,-0.052,0.291
other_orgs_people_political_events,-2,0.071,0.041,1.728,0.091,-0.012,0.153
other_orgs_people_political_events,-1,0.122,0.035,3.519,<0.001,0.052,0.192
other_orgs_people_political_events,1,-0.042,0.034,-1.256,0.215,-0.110,0.025
other_orgs_people_political_events,2,-0.044,0.037,-1.187,0.241,-0.117,0.030
other_orgs_people_terror_events,-2,0.012,0.049,0.245,0.808,-0.086,0.110
other_orgs_people_terror_events,-1,-0.072,0.047,-1.541,0.130,-0.167,0.022
other_orgs_people_terror_events,1,-0.003,0.032,-0.087,0.931,-0.068,0.063
other_orgs_people_terror_events,2,-0.039,0.044,-0.867,0.390,-0.128,0.051
