model_name,relative_week,estimate,std.error,statistic,p.value,conf.low,conf.high,pct_change,signif
all_entities_all_events,-2,0.015,0.023,0.683,0.497,-0.030,0.061,+1.6%,
all_entities_all_events,0,-0.056,0.026,-2.113,0.039,-0.108,-0.003,-5.4%,**
all_entities_all_events,1,-0.081,0.027,-3.043,0.003,-0.134,-0.028,-7.8%,***
all_entities_all_events,2,-0.100,0.030,-3.335,0.001,-0.160,-0.040,-9.5%,***
political_parties_all_events,-2,0.071,0.094,0.757,0.461,-0.129,0.270,+7.3%,
political_parties_all_events,0,-0.091,0.086,-1.062,0.305,-0.274,0.092,-8.7%,
political_parties_all_events,1,-0.091,0.101,-0.904,0.380,-0.306,0.124,-8.7%,
political_parties_all_events,2,-0.132,0.112,-1.176,0.258,-0.372,0.107,-12.4%,
other_orgs_people_all_events,-2,0.008,0.021,0.397,0.693,-0.034,0.050,+0.8%,
other_orgs_people_all_events,0,-0.034,0.027,-1.228,0.226,-0.089,0.021,-3.3%,
other_orgs_people_all_events,1,-0.057,0.027,-2.110,0.040,-0.110,-0.003,-5.5%,**
other_orgs_people_all_events,2,-0.076,0.028,-2.684,0.010,-0.132,-0.019,-7.3%,***
all_entities_political_events,-2,-0.035,0.038,-0.919,0.362,-0.112,0.042,-3.5%,
all_entities_political_events,0,-0.149,0.035,-4.293,<0.001,-0.218,-0.080,-13.8%,***
all_entities_political_events,1,-0.215,0.047,-4.526,<0.001,-0.310,-0.120,-19.3%,***
all_entities_political_events,2,-0.217,0.052,-4.143,<0.001,-0.322,-0.112,-19.5%,***
all_entities_terror_events,-2,0.083,0.036,2.306,0.025,0.011,0.156,+8.7%,**
all_entities_terror_events,0,0.059,0.043,1.382,0.172,-0.026,0.144,+6.1%,
all_entities_terror_events,1,0.075,0.038,1.971,0.053,-0.001,0.152,+7.8%,*
all_entities_terror_events,2,0.040,0.047,0.843,0.403,-0.055,0.134,+4.1%,
political_parties_political_events,-2,0.060,0.123,0.484,0.635,-0.203,0.323,+6.2%,
political_parties_political_events,0,-0.174,0.156,-1.114,0.283,-0.506,0.159,-15.9%,
political_parties_political_events,1,-0.359,0.228,-1.576,0.136,-0.845,0.127,-30.2%,
political_parties_political_events,2,-0.368,0.197,-1.866,0.082,-0.789,0.052,-30.8%,*
political_parties_terror_events,-2,0.092,0.086,1.068,0.305,-0.094,0.278,+9.6%,
political_parties_terror_events,0,-0.002,0.079,-0.023,0.982,-0.173,0.169,-0.2%,
political_parties_terror_events,1,0.174,0.085,2.047,0.061,-0.010,0.357,+19.0%,*
political_parties_terror_events,2,0.118,0.109,1.079,0.300,-0.118,0.353,+12.5%,
other_orgs_people_political_events,-2,-0.052,0.040,-1.301,0.200,-0.132,0.028,-5.0%,
other_orgs_people_political_events,0,-0.122,0.035,-3.519,<0.001,-0.192,-0.052,-11.5%,***
other_orgs_people_political_events,1,-0.164,0.044,-3.776,<0.001,-0.252,-0.077,-15.2%,***
other_orgs_people_political_events,2,-0.166,0.050,-3.319,0.002,-0.266,-0.065,-15.3%,***
other_orgs_people_terror_events,-2,0.084,0.039,2.168,0.035,0.006,0.163,+8.8%,**
other_orgs_people_terror_events,0,0.072,0.047,1.541,0.130,-0.022,0.167,+7.5%,
other_orgs_people_terror_events,1,0.069,0.039,1.766,0.084,-0.010,0.149,+7.2%,*
other_orgs_people_terror_events,2,0.034,0.049,0.689,0.494,-0.065,0.132,+3.4%,
