model_name,relative_week,estimate,std.error,statistic,p.value,conf.low,conf.high
all_entities_all_events,-2,0.015,0.023,0.681,0.498,-0.030,0.060
all_entities_all_events,0,-0.056,0.026,-2.127,0.037,-0.109,-0.003
all_entities_all_events,1,-0.081,0.027,-3.044,0.003,-0.134,-0.028
all_entities_all_events,2,-0.099,0.030,-3.322,0.001,-0.159,-0.040
political_parties_all_events,-2,0.070,0.094,0.753,0.463,-0.129,0.270
political_parties_all_events,0,-0.091,0.086,-1.064,0.304,-0.275,0.092
political_parties_all_events,1,-0.091,0.101,-0.908,0.378,-0.306,0.123
political_parties_all_events,2,-0.132,0.112,-1.175,0.258,-0.372,0.107
other_orgs_people_all_events,-2,0.008,0.021,0.397,0.693,-0.034,0.050
other_orgs_people_all_events,0,-0.034,0.027,-1.240,0.221,-0.089,0.021
other_orgs_people_all_events,1,-0.056,0.027,-2.110,0.040,-0.110,-0.003
other_orgs_people_all_events,2,-0.075,0.028,-2.669,0.010,-0.131,-0.018
all_entities_political_events,-2,-0.035,0.038,-0.919,0.362,-0.112,0.041
all_entities_political_events,0,-0.149,0.035,-4.298,<0.001,-0.218,-0.080
all_entities_political_events,1,-0.215,0.047,-4.531,<0.001,-0.309,-0.120
all_entities_political_events,2,-0.216,0.052,-4.128,<0.001,-0.321,-0.112
all_entities_terror_events,-2,0.083,0.036,2.301,0.025,0.011,0.156
all_entities_terror_events,0,0.058,0.043,1.367,0.177,-0.027,0.143
all_entities_terror_events,1,0.075,0.038,1.972,0.053,-0.001,0.151
all_entities_terror_events,2,0.040,0.047,0.863,0.391,-0.053,0.134
political_parties_political_events,-2,0.060,0.123,0.485,0.635,-0.203,0.322
political_parties_political_events,0,-0.174,0.156,-1.114,0.283,-0.506,0.159
political_parties_political_events,1,-0.359,0.228,-1.577,0.136,-0.844,0.126
political_parties_political_events,2,-0.367,0.197,-1.864,0.082,-0.787,0.053
political_parties_terror_events,-2,0.091,0.086,1.056,0.310,-0.095,0.277
political_parties_terror_events,0,-0.002,0.079,-0.031,0.975,-0.173,0.168
political_parties_terror_events,1,0.173,0.085,2.042,0.062,-0.010,0.355
political_parties_terror_events,2,0.117,0.109,1.077,0.301,-0.118,0.352
other_orgs_people_political_events,-2,-0.052,0.040,-1.301,0.199,-0.131,0.028
other_orgs_people_political_events,0,-0.122,0.035,-3.522,<0.001,-0.192,-0.052
other_orgs_people_political_events,1,-0.164,0.043,-3.783,<0.001,-0.252,-0.077
other_orgs_people_political_events,2,-0.165,0.050,-3.301,0.002,-0.265,-0.064
other_orgs_people_terror_events,-2,0.084,0.039,2.165,0.036,0.006,0.162
other_orgs_people_terror_events,0,0.072,0.047,1.527,0.133,-0.023,0.166
other_orgs_people_terror_events,1,0.069,0.039,1.767,0.084,-0.010,0.149
other_orgs_people_terror_events,2,0.035,0.049,0.712,0.480,-0.063,0.133
