model_name,relative_week,estimate,std.error,statistic,p.value,conf.low,conf.high
oct7_all_entities,-2,0.461,0.288,1.601,0.119,-0.125,1.047
oct7_all_entities,-1,0.375,0.325,1.154,0.257,-0.287,1.036
oct7_all_entities,1,0.396,0.235,1.682,0.102,-0.083,0.875
oct7_all_entities,2,0.301,0.295,1.02,0.315,-0.3,0.903
oct7_political_parties,-2,1.781,0.401,4.444,0.021,0.506,3.057
oct7_political_parties,-1,1.079,0.401,2.692,0.074,-0.197,2.355
oct7_political_parties,1,0.405,0.246,1.65,0.197,-0.376,1.187
oct7_other_orgs_people,-2,0.332,0.3,1.108,0.277,-0.282,0.946
oct7_other_orgs_people,-1,0.34,0.339,1.002,0.325,-0.355,1.034
oct7_other_orgs_people,1,0.367,0.247,1.488,0.148,-0.138,0.872
oct7_other_orgs_people,2,0.251,0.299,0.841,0.408,-0.361,0.864
