model_name,relative_week,estimate,std.error,statistic,p.value,conf.low,conf.high,pct_change,signif
all_entities_all_events,-2,-0.032,0.024,-1.351,0.181,-0.080,0.015,-3.2%,
all_entities_all_events,-1,-0.031,0.018,-1.729,0.089,-0.066,0.005,-3.0%,*
all_entities_all_events,1,0.036,0.018,1.990,0.051,-0.000,0.071,+3.6%,*
all_entities_all_events,2,0.060,0.022,2.744,0.008,0.016,0.104,+6.2%,***
political_parties_all_events,-2,-0.068,0.056,-1.206,0.245,-0.186,0.051,-6.5%,
political_parties_all_events,-1,-0.053,0.052,-1.028,0.319,-0.162,0.056,-5.2%,
political_parties_all_events,1,0.101,0.047,2.180,0.045,0.003,0.200,+10.7%,**
political_parties_all_events,2,0.151,0.063,2.384,0.030,0.017,0.285,+16.3%,**
other_orgs_people_all_events,-2,-0.016,0.024,-0.666,0.509,-0.063,0.032,-1.6%,
other_orgs_people_all_events,-1,-0.019,0.017,-1.114,0.271,-0.053,0.015,-1.9%,
other_orgs_people_all_events,1,0.016,0.019,0.862,0.393,-0.022,0.055,+1.7%,
other_orgs_people_all_events,2,0.034,0.022,1.503,0.139,-0.011,0.079,+3.4%,
all_entities_political_events,-2,-0.011,0.033,-0.341,0.734,-0.076,0.054,-1.1%,
all_entities_political_events,-1,-0.009,0.030,-0.284,0.778,-0.069,0.052,-0.9%,
all_entities_political_events,1,0.046,0.030,1.547,0.127,-0.014,0.106,+4.7%,
all_entities_political_events,2,0.044,0.035,1.251,0.216,-0.027,0.115,+4.5%,
all_entities_terror_events,-2,-0.041,0.050,-0.826,0.412,-0.140,0.058,-4.0%,
all_entities_terror_events,-1,-0.048,0.034,-1.411,0.163,-0.117,0.020,-4.7%,
all_entities_terror_events,1,0.026,0.036,0.730,0.468,-0.045,0.098,+2.6%,
all_entities_terror_events,2,0.085,0.042,2.011,0.049,0.001,0.169,+8.8%,**
political_parties_political_events,-2,0.008,0.069,0.112,0.913,-0.143,0.159,+0.8%,
political_parties_political_events,-1,-0.051,0.068,-0.748,0.469,-0.198,0.097,-4.9%,
political_parties_political_events,1,0.031,0.052,0.602,0.559,-0.082,0.145,+3.2%,
political_parties_political_events,2,0.111,0.044,2.523,0.027,0.015,0.208,+11.8%,**
political_parties_terror_events,-2,-0.092,0.140,-0.658,0.520,-0.390,0.205,-8.8%,
political_parties_terror_events,-1,-0.016,0.077,-0.207,0.838,-0.180,0.148,-1.6%,
political_parties_terror_events,1,0.192,0.105,1.825,0.087,-0.031,0.415,+21.2%,*
political_parties_terror_events,2,0.208,0.126,1.648,0.119,-0.060,0.476,+23.1%,
other_orgs_people_political_events,-2,-0.007,0.035,-0.211,0.834,-0.077,0.063,-0.7%,
other_orgs_people_political_events,-1,0.004,0.032,0.133,0.895,-0.060,0.068,+0.4%,
other_orgs_people_political_events,1,0.044,0.033,1.309,0.197,-0.023,0.111,+4.5%,
other_orgs_people_political_events,2,0.021,0.041,0.525,0.602,-0.061,0.103,+2.2%,
other_orgs_people_terror_events,-2,-0.028,0.045,-0.619,0.539,-0.118,0.063,-2.7%,
other_orgs_people_terror_events,-1,-0.048,0.036,-1.331,0.190,-0.122,0.025,-4.7%,
other_orgs_people_terror_events,1,-0.020,0.039,-0.506,0.616,-0.099,0.059,-2.0%,
other_orgs_people_terror_events,2,0.049,0.041,1.200,0.236,-0.033,0.132,+5.0%,
