model_name,relative_week,estimate,std.error,statistic,p.value,conf.low,conf.high
all_entities_all_events,-2,-0.005,0.021,-0.236,0.814,-0.046,0.037
all_entities_all_events,0,0.031,0.018,1.723,0.090,-0.005,0.066
all_entities_all_events,1,0.061,0.025,2.437,0.018,0.011,0.111
all_entities_all_events,2,0.090,0.030,2.963,0.004,0.029,0.151
political_parties_all_events,-2,-0.026,0.041,-0.648,0.526,-0.113,0.060
political_parties_all_events,0,0.053,0.051,1.030,0.318,-0.056,0.162
political_parties_all_events,1,0.154,0.066,2.351,0.032,0.015,0.293
political_parties_all_events,2,0.207,0.088,2.361,0.031,0.021,0.393
other_orgs_people_all_events,-2,0.002,0.023,0.069,0.946,-0.045,0.048
other_orgs_people_all_events,0,0.019,0.017,1.105,0.275,-0.015,0.052
other_orgs_people_all_events,1,0.029,0.024,1.178,0.245,-0.020,0.077
other_orgs_people_all_events,2,0.051,0.029,1.764,0.084,-0.007,0.109
all_entities_political_events,-2,-0.002,0.030,-0.070,0.945,-0.062,0.058
all_entities_political_events,0,0.007,0.030,0.249,0.804,-0.052,0.067
all_entities_political_events,1,0.044,0.040,1.096,0.278,-0.036,0.125
all_entities_political_events,2,0.050,0.039,1.279,0.206,-0.028,0.129
all_entities_terror_events,-2,-0.001,0.037,-0.033,0.974,-0.075,0.072
all_entities_terror_events,0,0.049,0.034,1.435,0.156,-0.019,0.117
all_entities_terror_events,1,0.075,0.045,1.675,0.099,-0.014,0.164
all_entities_terror_events,2,0.133,0.045,2.977,0.004,0.044,0.223
political_parties_political_events,-2,0.058,0.048,1.218,0.247,-0.046,0.163
political_parties_political_events,0,0.051,0.068,0.750,0.467,-0.097,0.198
political_parties_political_events,1,0.081,0.074,1.101,0.293,-0.080,0.243
political_parties_political_events,2,0.162,0.061,2.666,0.021,0.030,0.294
political_parties_terror_events,-2,-0.096,0.088,-1.094,0.290,-0.283,0.090
political_parties_terror_events,0,0.016,0.077,0.202,0.842,-0.148,0.180
political_parties_terror_events,1,0.208,0.084,2.485,0.024,0.031,0.386
political_parties_terror_events,2,0.229,0.128,1.792,0.092,-0.042,0.500
other_orgs_people_political_events,-2,-0.011,0.035,-0.320,0.751,-0.082,0.059
other_orgs_people_political_events,0,-0.005,0.031,-0.171,0.865,-0.068,0.058
other_orgs_people_political_events,1,0.026,0.044,0.594,0.555,-0.062,0.114
other_orgs_people_political_events,2,0.014,0.043,0.321,0.749,-0.073,0.101
other_orgs_people_terror_events,-2,0.015,0.038,0.409,0.684,-0.060,0.091
other_orgs_people_terror_events,0,0.049,0.036,1.358,0.181,-0.024,0.121
other_orgs_people_terror_events,1,0.029,0.051,0.570,0.572,-0.074,0.133
other_orgs_people_terror_events,2,0.098,0.043,2.269,0.028,0.011,0.184
