model_name,relative_week,estimate,std.error,statistic,p.value,conf.low,conf.high
all_entities_all_events,-2,-0.035,0.024,-1.488,0.142,-0.083,0.012
all_entities_all_events,-1,-0.031,0.018,-1.723,0.09,-0.066,0.005
all_entities_all_events,1,0.03,0.018,1.679,0.098,-0.006,0.067
all_entities_all_events,2,0.06,0.022,2.688,0.009,0.015,0.104
political_parties_all_events,-2,-0.079,0.053,-1.506,0.151,-0.191,0.032
political_parties_all_events,-1,-0.053,0.051,-1.03,0.318,-0.162,0.056
political_parties_all_events,1,0.101,0.047,2.157,0.047,0.002,0.2
political_parties_all_events,2,0.154,0.065,2.357,0.032,0.015,0.293
other_orgs_people_all_events,-2,-0.017,0.024,-0.716,0.477,-0.065,0.031
other_orgs_people_all_events,-1,-0.019,0.017,-1.105,0.275,-0.052,0.015
other_orgs_people_all_events,1,0.01,0.019,0.514,0.61,-0.029,0.049
other_orgs_people_all_events,2,0.032,0.022,1.431,0.159,-0.013,0.077
all_entities_political_events,-2,-0.01,0.032,-0.297,0.768,-0.074,0.055
all_entities_political_events,-1,-0.007,0.03,-0.249,0.804,-0.067,0.052
all_entities_political_events,1,0.037,0.031,1.188,0.24,-0.025,0.098
all_entities_political_events,2,0.043,0.035,1.214,0.23,-0.028,0.113
all_entities_terror_events,-2,-0.05,0.049,-1.022,0.311,-0.148,0.048
all_entities_terror_events,-1,-0.049,0.034,-1.435,0.156,-0.117,0.019
all_entities_terror_events,1,0.026,0.036,0.729,0.469,-0.045,0.097
all_entities_terror_events,2,0.085,0.042,2.022,0.047,0.001,0.168
political_parties_political_events,-2,0.008,0.069,0.11,0.914,-0.143,0.158
political_parties_political_events,-1,-0.051,0.068,-0.75,0.467,-0.198,0.097
political_parties_political_events,1,0.031,0.052,0.593,0.564,-0.082,0.144
political_parties_political_events,2,0.111,0.044,2.52,0.027,0.015,0.207
political_parties_terror_events,-2,-0.112,0.132,-0.847,0.41,-0.392,0.168
political_parties_terror_events,-1,-0.016,0.077,-0.202,0.842,-0.18,0.148
political_parties_terror_events,1,0.192,0.106,1.82,0.087,-0.032,0.417
political_parties_terror_events,2,0.213,0.129,1.653,0.118,-0.06,0.487
other_orgs_people_political_events,-2,-0.006,0.034,-0.171,0.865,-0.075,0.063
other_orgs_people_political_events,-1,0.005,0.031,0.171,0.865,-0.058,0.068
other_orgs_people_political_events,1,0.031,0.035,0.9,0.373,-0.039,0.101
other_orgs_people_political_events,2,0.019,0.04,0.476,0.637,-0.062,0.1
other_orgs_people_terror_events,-2,-0.034,0.045,-0.741,0.463,-0.125,0.058
other_orgs_people_terror_events,-1,-0.049,0.036,-1.358,0.181,-0.121,0.024
other_orgs_people_terror_events,1,-0.02,0.039,-0.501,0.619,-0.098,0.059
other_orgs_people_terror_events,2,0.049,0.041,1.197,0.238,-0.033,0.13
