model_name,period,rows,entities,events,avg_weekly_spend_ils,median_weekly_spend_ils,avg_log_weekly_spend
all_entities_all_events,post_event,5967,64,66,5515.354161796837,1919.307143,7.540661157684013
all_entities_all_events,pre_event,4073,66,66,6583.169180778007,2022.75,7.628291859894072
political_parties_all_events,post_event,824,15,66,3923.515990697533,991.71875,6.984472226333804
political_parties_all_events,pre_event,588,16,66,8132.489379042194,1105.4375,7.308935784571704
other_orgs_people_all_events,post_event,5143,49,66,5770.394926522835,2111.208333,7.629772508925035
other_orgs_people_all_events,pre_event,3485,50,66,6321.763075590258,2206.374432,7.682174606605564
all_entities_political_events,post_event,3130,63,36,5242.231024015665,1870.219567,7.50320467897783
all_entities_political_events,pre_event,2195,65,36,7603.0570568289395,2200.108333,7.699450794242513
all_entities_terror_events,post_event,2837,62,30,5816.684941231122,1961.014881,7.5819860707437075
all_entities_terror_events,pre_event,1878,60,30,5391.127706905912,1865.8311085,7.545121539928774
political_parties_political_events,post_event,421,14,36,2943.463912101423,988.3952381,6.899212992818943
political_parties_political_events,pre_event,334,16,36,12208.113681299765,1314.2128625,7.562876411525936
political_parties_terror_events,post_event,403,15,30,4947.342107543596,1000,7.073539564571415
political_parties_terror_events,pre_event,254,13,30,2773.203879223189,1000,6.9750138577893654
other_orgs_people_political_events,post_event,2709,49,36,5599.477592533901,2071.624161,7.597069758295988
other_orgs_people_political_events,pre_event,1861,49,36,6776.571880808921,2339.652778,7.723962263252365
other_orgs_people_terror_events,post_event,2434,47,30,5960.6229699805335,2160.555777,7.66617010607133
other_orgs_people_terror_events,pre_event,1624,47,30,5800.581310496694,2064.181585,7.63428862814516
