model_name,period,rows,entities,events,avg_weekly_spend_ils,median_weekly_spend_ils,avg_log_weekly_spend
all_entities_all_events,post_event,5885,63,66,6008.556,1996.000,7.567
all_entities_all_events,pre_event,3855,65,66,5094.267,1899.143,7.507
political_parties_all_events,post_event,1118,15,66,9486.035,1765.333,7.504
political_parties_all_events,pre_event,704,16,66,5955.497,1297.577,7.264
other_orgs_people_all_events,post_event,4767,48,66,5192.986,1999.200,7.582
other_orgs_people_all_events,pre_event,3151,49,66,4901.850,1996.000,7.561
all_entities_political_events,post_event,3122,59,36,5132.650,1941.061,7.519
all_entities_political_events,pre_event,2084,59,36,4517.927,1956.010,7.465
all_entities_terror_events,post_event,2763,62,30,6998.269,2038.500,7.621
all_entities_terror_events,pre_event,1771,63,30,5772.467,1893.400,7.556
political_parties_political_events,post_event,545,13,36,6259.963,1500.000,7.332
political_parties_political_events,pre_event,355,12,36,4143.684,1240.831,7.071
political_parties_terror_events,post_event,573,15,30,12554.462,2000.000,7.668
political_parties_terror_events,pre_event,349,16,30,7798.458,1548.500,7.461
other_orgs_people_political_events,post_event,2577,46,36,4894.238,1996.007,7.558
other_orgs_people_political_events,pre_event,1729,47,36,4594.767,2061.039,7.546
other_orgs_people_terror_events,post_event,2190,47,30,5544.525,2038.500,7.609
other_orgs_people_terror_events,pre_event,1422,47,30,5275.230,1901.304,7.579
