event_date,event_type_raw,event_type_group,event_name,event_details,event_id,event_week_start_sunday
2020-01-12,placebo_terror,terror,placebo_event_1,Predefined placebo week from repository list,1,2020-01-12
2020-01-26,placebo_political,political,placebo_event_2,Predefined placebo week from repository list,2,2020-01-26
2020-02-09,placebo_political,political,placebo_event_3,Predefined placebo week from repository list,3,2020-02-09
2020-04-19,placebo_political,political,placebo_event_4,Predefined placebo week from repository list,4,2020-04-19
2020-06-21,placebo_political,political,placebo_event_5,Predefined placebo week from repository list,5,2020-06-21
2020-07-05,placebo_terror,terror,placebo_event_6,Predefined placebo week from repository list,6,2020-07-05
2020-07-12,placebo_terror,terror,placebo_event_7,Predefined placebo week from repository list,7,2020-07-12
2020-07-26,placebo_terror,terror,placebo_event_8,Predefined placebo week from repository list,8,2020-07-26
2020-08-02,placebo_terror,terror,placebo_event_9,Predefined placebo week from repository list,9,2020-08-02
2020-10-18,placebo_terror,terror,placebo_event_10,Predefined placebo week from repository list,10,2020-10-18
2020-10-25,placebo_political,political,placebo_event_11,Predefined placebo week from repository list,11,2020-10-25
2020-11-08,placebo_terror,terror,placebo_event_12,Predefined placebo week from repository list,12,2020-11-08
2020-11-15,placebo_political,political,placebo_event_13,Predefined placebo week from repository list,13,2020-11-15
2020-11-29,placebo_political,political,placebo_event_14,Predefined placebo week from repository list,14,2020-11-29
2021-02-07,placebo_terror,terror,placebo_event_15,Predefined placebo week from repository list,15,2021-02-07
2021-02-28,placebo_terror,terror,placebo_event_16,Predefined placebo week from repository list,16,2021-02-28
2021-08-08,placebo_terror,terror,placebo_event_17,Predefined placebo week from repository list,17,2021-08-08
2021-08-15,placebo_terror,terror,placebo_event_18,Predefined placebo week from repository list,18,2021-08-15
2021-08-22,placebo_political,political,placebo_event_19,Predefined placebo week from repository list,19,2021-08-22
2021-08-29,placebo_terror,terror,placebo_event_20,Predefined placebo week from repository list,20,2021-08-29
2021-09-05,placebo_terror,terror,placebo_event_21,Predefined placebo week from repository list,21,2021-09-05
2021-09-12,placebo_political,political,placebo_event_22,Predefined placebo week from repository list,22,2021-09-12
2021-09-19,placebo_political,political,placebo_event_23,Predefined placebo week from repository list,23,2021-09-19
2021-10-10,placebo_political,political,placebo_event_24,Predefined placebo week from repository list,24,2021-10-10
2022-01-09,placebo_political,political,placebo_event_25,Predefined placebo week from repository list,25,2022-01-09
2022-01-16,placebo_political,political,placebo_event_26,Predefined placebo week from repository list,26,2022-01-16
2022-01-23,placebo_political,political,placebo_event_27,Predefined placebo week from repository list,27,2022-01-23
2022-01-30,placebo_terror,terror,placebo_event_28,Predefined placebo week from repository list,28,2022-01-30
2022-02-06,placebo_terror,terror,placebo_event_29,Predefined placebo week from repository list,29,2022-02-06
2022-06-05,placebo_political,political,placebo_event_30,Predefined placebo week from repository list,30,2022-06-05
2022-07-31,placebo_political,political,placebo_event_31,Predefined placebo week from repository list,31,2022-07-31
2022-08-07,placebo_political,political,placebo_event_32,Predefined placebo week from repository list,32,2022-08-07
2022-08-21,placebo_terror,terror,placebo_event_33,Predefined placebo week from repository list,33,2022-08-21
2022-08-28,placebo_terror,terror,placebo_event_34,Predefined placebo week from repository list,34,2022-08-28
2022-09-04,placebo_political,political,placebo_event_35,Predefined placebo week from repository list,35,2022-09-04
2022-09-11,placebo_terror,terror,placebo_event_36,Predefined placebo week from repository list,36,2022-09-11
2022-09-25,placebo_political,political,placebo_event_37,Predefined placebo week from repository list,37,2022-09-25
2022-10-09,placebo_terror,terror,placebo_event_38,Predefined placebo week from repository list,38,2022-10-09
2023-05-14,placebo_political,political,placebo_event_39,Predefined placebo week from repository list,39,2023-05-14
2023-06-04,placebo_political,political,placebo_event_40,Predefined placebo week from repository list,40,2023-06-04
2023-06-11,placebo_political,political,placebo_event_41,Predefined placebo week from repository list,41,2023-06-11
2024-05-05,placebo_terror,terror,placebo_event_42,Predefined placebo week from repository list,42,2024-05-05
2024-05-12,placebo_terror,terror,placebo_event_43,Predefined placebo week from repository list,43,2024-05-12
2024-09-01,placebo_political,political,placebo_event_44,Predefined placebo week from repository list,44,2024-09-01
2024-09-08,placebo_political,political,placebo_event_45,Predefined placebo week from repository list,45,2024-09-08
2024-12-15,placebo_political,political,placebo_event_46,Predefined placebo week from repository list,46,2024-12-15
2025-04-27,placebo_terror,terror,placebo_event_47,Predefined placebo week from repository list,47,2025-04-27
2025-05-04,placebo_political,political,placebo_event_48,Predefined placebo week from repository list,48,2025-05-04
2025-05-11,placebo_terror,terror,placebo_event_49,Predefined placebo week from repository list,49,2025-05-11
2025-05-25,placebo_terror,terror,placebo_event_50,Predefined placebo week from repository list,50,2025-05-25
2025-06-01,placebo_political,political,placebo_event_51,Predefined placebo week from repository list,51,2025-06-01
2025-06-08,placebo_political,political,placebo_event_52,Predefined placebo week from repository list,52,2025-06-08
2025-06-22,placebo_political,political,placebo_event_53,Predefined placebo week from repository list,53,2025-06-22
2025-09-14,placebo_terror,terror,placebo_event_54,Predefined placebo week from repository list,54,2025-09-14
2025-09-21,placebo_political,political,placebo_event_55,Predefined placebo week from repository list,55,2025-09-21
2025-09-28,placebo_political,political,placebo_event_56,Predefined placebo week from repository list,56,2025-09-28
2025-10-05,placebo_political,political,placebo_event_57,Predefined placebo week from repository list,57,2025-10-05
2025-10-12,placebo_terror,terror,placebo_event_58,Predefined placebo week from repository list,58,2025-10-12
2025-10-19,placebo_terror,terror,placebo_event_59,Predefined placebo week from repository list,59,2025-10-19
2025-10-26,placebo_political,political,placebo_event_60,Predefined placebo week from repository list,60,2025-10-26
2025-11-02,placebo_terror,terror,placebo_event_61,Predefined placebo week from repository list,61,2025-11-02
2025-11-23,placebo_terror,terror,placebo_event_62,Predefined placebo week from repository list,62,2025-11-23
2025-11-30,placebo_political,political,placebo_event_63,Predefined placebo week from repository list,63,2025-11-30
2025-12-07,placebo_terror,terror,placebo_event_64,Predefined placebo week from repository list,64,2025-12-07
2025-12-14,placebo_political,political,placebo_event_65,Predefined placebo week from repository list,65,2025-12-14
2025-12-28,placebo_political,political,placebo_event_66,Predefined placebo week from repository list,66,2025-12-28
