model_name,period,rows,entities,events,avg_weekly_spend_ils,median_weekly_spend_ils,avg_log_weekly_spend
all_entities_all_events,post_event,7838,66,66,5787.313,1979.129,7.555
all_entities_all_events,pre_event,1931,64,66,5056.104,1899.000,7.509
political_parties_all_events,post_event,1480,18,66,8594.938,1646.385,7.455
political_parties_all_events,pre_event,347,15,65,6075.269,1250.000,7.237
other_orgs_people_all_events,post_event,6358,48,66,5133.761,1999.000,7.579
other_orgs_people_all_events,pre_event,1584,49,66,4832.840,1999.000,7.569
all_entities_political_events,post_event,4166,59,36,5016.381,1945.500,7.508
all_entities_political_events,pre_event,1043,57,36,4354.392,1906.341,7.465
all_entities_terror_events,post_event,3672,65,30,6661.959,1996.183,7.609
all_entities_terror_events,pre_event,888,61,30,5880.300,1882.631,7.561
political_parties_political_events,post_event,721,13,36,5815.970,1439.825,7.275
political_parties_political_events,pre_event,179,11,36,3851.251,1221.767,7.055
political_parties_terror_events,post_event,759,18,30,11234.775,1998.000,7.626
political_parties_terror_events,pre_event,168,15,29,8444.907,1448.500,7.432
other_orgs_people_political_events,post_event,3445,46,36,4849.036,2000.000,7.557
other_orgs_people_political_events,pre_event,864,46,36,4458.631,2043.771,7.550
other_orgs_people_terror_events,post_event,2913,47,30,5470.484,1996.000,7.604
other_orgs_people_terror_events,pre_event,720,46,30,5281.891,1914.804,7.592
