model_name,period,rows,entities,events,avg_weekly_spend_ils,median_weekly_spend_ils,avg_log_weekly_spend
all_entities_all_events,post_event,8005,66,66,5699.217,1954.628,7.562
all_entities_all_events,pre_event,2035,65,66,6929.306,2004.443,7.632
political_parties_all_events,post_event,1116,17,66,4508.231,1000.000,7.068
political_parties_all_events,pre_event,296,16,66,10080.051,1071.675,7.312
other_orgs_people_all_events,post_event,6889,49,66,5892.153,2142.198,7.642
other_orgs_people_all_events,pre_event,1739,49,66,6393.009,2189.571,7.686
all_entities_political_events,post_event,4232,65,36,5756.219,1976.977,7.560
all_entities_political_events,pre_event,1093,64,36,7993.205,2136.059,7.677
all_entities_terror_events,post_event,3773,62,30,5635.279,1921.750,7.564
all_entities_terror_events,pre_event,942,60,30,5694.867,1928.319,7.579
political_parties_political_events,post_event,587,16,36,4659.870,1047.500,7.089
political_parties_political_events,pre_event,168,16,36,15365.265,1250.000,7.555
political_parties_terror_events,post_event,529,15,30,4339.966,1000.000,7.046
political_parties_terror_events,pre_event,128,13,30,3143.208,1000.000,6.993
other_orgs_people_political_events,post_event,3645,49,36,5932.778,2148.867,7.636
other_orgs_people_political_events,pre_event,925,48,36,6654.279,2250.000,7.699
other_orgs_people_terror_events,post_event,3244,47,30,5846.506,2122.701,7.649
other_orgs_people_terror_events,pre_event,814,47,30,6096.111,2108.686,7.671
