Statistic,All entities x all events,Political parties x all events,Other orgs/people x all events,All entities x political events,All entities x terror events,Political parties x political events,Political parties x terror events,Other orgs/people x political events,Other orgs/people x terror events
PostEvent,-0.074***,-0.145*,-0.049**,-0.107***,-0.040,-0.264**,-0.020,-0.060*,-0.040
Std. Error,(0.023),(0.076),(0.023),(0.036),(0.030),(0.123),(0.065),(0.035),(0.033)
P-value,0.002,0.075,0.034,0.004,0.184,0.049,0.764,0.096,0.222
Observations,10038,1411,8627,5323,4714,755,656,4568,4058
Entities,66,17,49,65,62,16,15,49,47
Events,66,66,66,36,30,36,30,36,30
R-squared,0.346,0.435,0.362,0.327,0.406,0.447,0.481,0.340,0.414
Within R-squared,0.001,0.003,0.000,0.001,0.000,0.008,0.000,0.000,0.000
Data-source fixed effects,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Entity fixed effects,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Event fixed effects,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Event window,+/- 2 weeks,+/- 2 weeks,+/- 2 weeks,+/- 2 weeks,+/- 2 weeks,+/- 2 weeks,+/- 2 weeks,+/- 2 weeks,+/- 2 weeks
PostEvent definition,1 if relative_week >= -1,1 if relative_week >= -1,1 if relative_week >= -1,1 if relative_week >= -1,1 if relative_week >= -1,1 if relative_week >= -1,1 if relative_week >= -1,1 if relative_week >= -1,1 if relative_week >= -1
