Statistic,All entities x all events,Political parties x all events,Other orgs/people x all events,All entities x political events,All entities x terror events,Political parties x political events,Political parties x terror events,Other orgs/people x political events,Other orgs/people x terror events
PostEvent,0.063***,0.145**,0.034,0.039,0.082**,0.069,0.187*,0.022,0.048
Std. Error,(0.023),(0.061),(0.020),(0.027),(0.040),(0.053),(0.094),(0.029),(0.039)
P-value,0.007,0.030,0.108,0.157,0.044,0.217,0.064,0.442,0.218
Observations,9738,1821,7917,5205,4531,900,921,4305,3610
Entities,65,16,49,59,63,13,16,47,47
Events,66,66,66,36,30,36,30,36,30
R-squared,0.305,0.500,0.331,0.337,0.299,0.514,0.513,0.342,0.336
Within R-squared,0.001,0.003,0.000,0.000,0.001,0.001,0.005,0.000,0.000
Data-source fixed effects,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Entity fixed effects,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Event fixed effects,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Event window,+/- 2 weeks,+/- 2 weeks,+/- 2 weeks,+/- 2 weeks,+/- 2 weeks,+/- 2 weeks,+/- 2 weeks,+/- 2 weeks,+/- 2 weeks
PostEvent definition,1 if placebo relative_week >= 0,1 if placebo relative_week >= 0,1 if placebo relative_week >= 0,1 if placebo relative_week >= 0,1 if placebo relative_week >= 0,1 if placebo relative_week >= 0,1 if placebo relative_week >= 0,1 if placebo relative_week >= 0,1 if placebo relative_week >= 0
