event_date,event_type_group
2020-02-09,terror
2020-02-16,political
2020-03-01,political
2020-03-22,political
2020-06-21,terror
2020-07-26,political
2020-08-02,terror
2020-08-16,political
2020-08-23,political
2020-08-30,political
2020-09-06,political
2020-09-13,political
2020-09-20,terror
2020-09-27,terror
2020-11-15,terror
2021-01-24,terror
2021-01-31,terror
2021-03-07,political
2021-04-04,political
2021-08-01,political
2021-08-15,political
2021-12-05,terror
2021-12-19,political
2021-12-26,terror
2022-05-22,terror
2022-09-11,political
2022-09-18,terror
2022-11-27,political
2022-12-04,terror
2023-02-05,political
2023-05-21,political
2023-06-11,political
2023-06-25,political
2023-07-02,political
2023-07-23,terror
2023-08-13,political
2023-08-27,terror
2023-12-03,political
2023-12-17,political
2024-01-14,political
2024-02-18,political
2024-08-25,terror
2024-09-01,political
2024-09-08,terror
2024-09-15,political
2024-09-29,terror
2024-12-08,political
2024-12-15,political
2025-01-19,terror
2025-03-16,political
2025-03-23,terror
2025-05-25,terror
2025-07-06,terror
2025-09-21,political
2025-09-28,terror
2025-10-05,political
2025-10-26,political
2025-11-09,political
2025-11-23,terror
2025-12-07,terror
