source,party_name,week_start_sunday,week_index_since_2020,total_spend_week,avg_spend_per_day_week,currency
google, חיים גריידינגר,2024-11-24,256,250.0,35.71,ILS
google, חיים גריידינגר,2024-12-01,257,500.0,71.43,ILS
google, חיים גריידינגר,2025-03-02,270,750.0,107.14,ILS
google, חיים גריידינגר,2025-03-09,271,3750.0,535.71,ILS
google, חיים גריידינגר,2025-03-16,272,250.0,35.71,ILS
google, חיים גריידינגר,2025-06-15,285,500.0,71.43,ILS
google,"""בשבע"" השבועון לציבור הדתי בע""מ",2025-03-23,273,500.0,71.43,ILS
google,"""בשבע"" השבועון לציבור הדתי בע""מ",2025-03-30,274,500.0,71.43,ILS
google,"""בשבע"" השבועון לציבור הדתי בע""מ",2025-04-06,275,250.0,35.71,ILS
google,"""בשבע"" השבועון לציבור הדתי בע""מ",2025-09-14,298,250.0,35.71,ILS
google,"""בשבע"" השבועון לציבור הדתי בע""מ",2025-09-21,299,250.0,35.71,ILS
google,"""בשבע"" השבועון לציבור הדתי בע""מ",2025-09-28,300,250.0,35.71,ILS
google,"""בשבע"" השבועון לציבור הדתי בע""מ",2025-10-05,301,250.0,35.71,ILS
google,"(דרכנו - יוצאים לפעולה (חל""צ",2020-12-13,50,250.0,35.71,ILS
google,"(דרכנו - יוצאים לפעולה (חל""צ",2021-01-17,55,250.0,35.71,ILS
google,"(דרכנו - יוצאים לפעולה (חל""צ",2021-01-31,57,250.0,35.71,ILS
google,"(דרכנו - יוצאים לפעולה (חל""צ",2021-02-07,58,500.0,71.43,ILS
google,"(דרכנו - יוצאים לפעולה (חל""צ",2021-02-14,59,250.0,35.71,ILS
google,"(דרכנו - יוצאים לפעולה (חל""צ",2021-03-07,62,250.0,35.71,ILS
google,"(דרכנו - יוצאים לפעולה (חל""צ",2021-03-14,63,500.0,71.43,ILS
google,"(דרכנו - יוצאים לפעולה (חל""צ",2021-03-21,64,250.0,35.71,ILS
google,"(דרכנו - יוצאים לפעולה (חל""צ",2021-05-23,73,250.0,35.71,ILS
google,"(דרכנו - יוצאים לפעולה (חל""צ",2021-06-13,76,250.0,35.71,ILS
google,"(דרכנו - יוצאים לפעולה (חל""צ",2021-06-20,77,250.0,35.71,ILS
google,"(דרכנו - יוצאים לפעולה (חל""צ",2021-07-04,79,250.0,35.71,ILS
google,"(דרכנו - יוצאים לפעולה (חל""צ",2021-07-11,80,250.0,35.71,ILS
google,"(דרכנו - יוצאים לפעולה (חל""צ",2022-09-04,140,250.0,35.71,ILS
google,"(דרכנו - יוצאים לפעולה (חל""צ",2022-09-11,141,250.0,35.71,ILS
google,"(דרכנו - יוצאים לפעולה (חל""צ",2022-09-18,142,250.0,35.71,ILS
google,"(דרכנו - יוצאים לפעולה (חל""צ",2022-09-25,143,250.0,35.71,ILS
google,"(דרכנו - יוצאים לפעולה (חל""צ",2022-10-09,145,250.0,35.71,ILS
google,"(דרכנו - יוצאים לפעולה (חל""צ",2022-10-30,148,1500.0,214.29,ILS
google,"(דרכנו - יוצאים לפעולה (חל""צ",2022-11-06,149,250.0,35.71,ILS
google,"(דרכנו - יוצאים לפעולה (חל""צ",2022-11-13,150,250.0,35.71,ILS
google,"(דרכנו - יוצאים לפעולה (חל""צ",2022-11-20,151,250.0,35.71,ILS
google,"(דרכנו - יוצאים לפעולה (חל""צ",2022-11-27,152,250.0,35.71,ILS
google,"(דרכנו - יוצאים לפעולה (חל""צ",2022-12-18,155,250.0,35.71,ILS
google,"(דרכנו - יוצאים לפעולה (חל""צ",2023-01-15,159,500.0,71.43,ILS
