Date,Type,Name,Details,,,
23/12/2020,Political,פיזור הכנסת ה־23,כישלון תקציב (“ליל החניונים”) והקדמת בחירות,,,
13/06/2021,Political,הקמת ממשלת בנט-לפיד,שינוי שלטוני לאחר שנים של יציבות פוליטית יחסית,,,
06/04/2022,Political,פרישת עידית סילמן,אובדן הרוב הקואליציוני בפועל,,,
30/06/2022,Political,פיזור הכנסת ה־24,קריסת הממשלה והליכה לבחירות,,,
29/12/2022,Political,הקמת ממשלת נתניהו השישית,חילופי שלטון והקמת קואליציה חדשה,,,
04/01/2023,Political,הצגת הרפורמה המשפטית,זעזוע פוליטי-חוקתי מיידי ושינוי סדר יום ציבורי,,,
26/03/2023,Political,ליל גלנט,משבר רפורמה ומחאה מיידית רחבת היקף,,,
25/06/2024,Political,פסיקת בג״ץ על חוק הגיוס,פסיקה המשנה את מסגרת יחסי צבא–חברה,,,
05/11/2024,Political,ליל גלנט 2,משבר ביטחוני-פוליטי בזמן מלחמה,,,
22/03/2022,Security,פיגוע הדקירה והדריסה בבאר שבע,פיגוע דקירה ודריסה בבאר שבע שבו נרצחו ארבעה אזרחים.,,,
29/03/2022,Security,פיגוע הירי בבני ברק,פיגוע ירי בבני ברק שבו נרצחו חמישה בני אדם.,,,
07/04/2022,Security,פיגוע הירי ברחוב דיזנגוף,פיגוע ירי במרכז תל אביב שבו נרצחו שלושה אזרחים.,,,
05/05/2022,Security,הפיגוע באלעד,פיגוע גרזן ודקירה באלעד ביום העצמאות.,,,
23/11/2022,Security,פיגועי המטענים בירושלים,שני מטענים התפוצצו בתחנות אוטובוס בירושלים.,,,
27/01/2023,Security,פיגוע הירי בנווה יעקב,פיגוע ירי ליד בית כנסת בשכונת נווה יעקב בירושלים.,,,
10/02/2023,Security,פיגוע הדריסה בשכונת רמות,פיגוע דריסה בתחנת אוטובוס בשכונת רמות בירושלים.,,,
07/04/2023,Security,פיגוע הירי בצומת חמרה,ירי לעבר רכב בבקעת הירדן שבו נרצחו שלוש בנות משפחה.,,,
20/06/2023,Security,פיגוע הירי בעלי,פיגוע ירי בתחנת דלק ליד עלי שבו נרצחו ארבעה.,,,
07/10/2023,Security,מתקפת 7 באוקטובר,מתקפת חמאס רחבת היקף על יישובי הדרום ויעדים נוספים בישראל.,,,
15/01/2024,Security,פיגוע הדריסה והדקירה ברעננה,פיגוע דריסה ודקירה ברעננה שבו נרצחה אישה ונפצעו 18.,,,
14/04/2024,Security,מתקפת איראן על ישראל,מתקפת כטבמים וטילים ישירה מאיראן לעבר ישראל.,,,
01/10/2024,Security,פיגוע הירי ביפו,פיגוע ירי ודקירה ביפו/תל אביב שבו נרצחו שבעה.,,,
27/10/2024,Security,פיגוע הדריסה בגלילות / רמת השרון,משאית פגעה בתחנת אוטובוס סמוך לגלילות.,,,
06/01/2025,Security,פיגוע הירי באל-פונדוק,ירי לעבר אוטובוס וכלי רכב בשומרון שבו נרצחו שלושה.,,,
08/09/2025,Security,פיגוע הירי בצומת רמות,ירי לעבר אוטובוס ונוסעים בצומת רמות בירושלים.,,,
