ad_archive_id,page_id,page_name,ad_creation_time,ad_delivery_start_time,ad_delivery_stop_time,byline,ad_creative_bodies,ad_creative_link_titles,ad_creative_link_captions,ad_creative_link_descriptions,impressions,spend,currency,demographic_distribution,delivery_by_region,publisher_platforms,estimated_audience_size,languages
1364528434619588,109551402519,"Haaretz הארץ",2025-12-01,2025-12-01,2025-12-01,,"באמת הולכת להיות חנינה לנתניהו? מה הולך לקרות עכשיו? מיכאל האוזר טוב, הכתב הפוליטי, בא לעשות קצת סדר",,www.haaretz.co.il,,"lower_bound: 0, upper_bound: 999","lower_bound: 0, upper_bound: 99",ILS,"{""age"":""18-24"",""gender"":""female"",""__umapi_query_id"":""u3l49bzry5jguqzincuk"",""percentage"":0.0464},{""age"":""45-54"",""gender"":""female"",""percentage"":0.0384},{""age"":""65+"",""gender"":""male"",""percentage"":0.0192},{""age"":""65+"",""gender"":""female"",""percentage"":0.032},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.0016},{""age"":""55-64"",""gender"":""male"",""percentage"":0.0176},{""age"":""55-64"",""gender"":""female"",""percentage"":0.024},{""age"":""45-54"",""gender"":""male"",""percentage"":0.0576},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.0032},{""age"":""18-24"",""gender"":""male"",""percentage"":0.1888},{""age"":""35-44"",""gender"":""male"",""percentage"":0.1632},{""age"":""35-44"",""gender"":""female"",""percentage"":0.0304},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.0032},{""age"":""25-34"",""gender"":""male"",""percentage"":0.3088},{""age"":""25-34"",""gender"":""female"",""percentage"":0.0608},{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.0016},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.0032}","{""region"":""Central District"",""__umapi_query_id"":""ehxxwgv3ymuce0f5gso2"",""percentage"":0.2192},{""region"":""Heifa"",""percentage"":0.1072},{""region"":""Jerusalem"",""percentage"":0.0768},{""region"":""Northern District"",""percentage"":0.0864},{""region"":""Southern District"",""percentage"":0.0784},{""region"":""Tel Aviv"",""percentage"":0.432}",instagram,"lower_bound: 1000001",he
1316564776761047,109551402519,"Haaretz הארץ",2025-06-17,2025-06-17,2025-06-19,"Haaretz הארץ","בזמן מלחמה, יש פרשן אחד שחייבים לקרוא את העדכונים והניתוחים שלו כדי להבין מה באמת מתרחש. הירשמו עכשיו להתראות הכתב של עמוס הראל והישארו מעודכנים כל הזמן בכל מה שקורה במלחמה, לפני ומאחורי הקלעים","הירשמו עכשיו",fb.me,,"lower_bound: 30000, upper_bound: 34999","lower_bound: 1000, upper_bound: 1499",ILS,"{""age"":""18-24"",""gender"":""female"",""percentage"":0.002022},{""age"":""45-54"",""gender"":""male"",""percentage"":0.090541},{""age"":""65+"",""gender"":""male"",""percentage"":0.188063},{""age"":""65+"",""gender"":""female"",""percentage"":0.204436},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.008284},{""age"":""55-64"",""gender"":""male"",""percentage"":0.118134},{""age"":""55-64"",""gender"":""female"",""percentage"":0.15075},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.009915},{""age"":""45-54"",""gender"":""female"",""percentage"":0.109393},{""age"":""18-24"",""gender"":""male"",""percentage"":0.004501},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.002544},{""age"":""35-44"",""gender"":""male"",""percentage"":0.033138},{""age"":""35-44"",""gender"":""female"",""percentage"":0.029028},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.000261},{""age"":""25-34"",""gender"":""male"",""percentage"":0.020157},{""age"":""25-34"",""gender"":""female"",""percentage"":0.012394},{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.00013},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.016308}","{""region"":""Central District"",""percentage"":0.300585},{""region"":""Heifa"",""percentage"":0.128005},{""region"":""Jerusalem"",""percentage"":0.087117},{""region"":""Northern District"",""percentage"":0.095065},{""region"":""Southern District"",""percentage"":0.043876},{""region"":""Tel Aviv"",""percentage"":0.345352}","facebook,instagram","lower_bound: 50001, upper_bound: 100000",he
718199931152321,109551402519,"Haaretz הארץ",2025-06-15,2025-06-15,2025-06-20,"Haaretz הארץ","בזמן מלחמה, יש פרשן אחד שחייבים לקרוא את העדכונים והניתוחים שלו כדי להבין מה באמת מתרחש. הירשמו עכשיו להתראות הכתב של עמוס הראל והישארו מעודכנים כל הזמן בכל מה שקורה במלחמה, לפני ומאחורי הקלעים","הירשמו עכשיו",fb.me,,"lower_bound: 45000, upper_bound: 49999","lower_bound: 1500, upper_bound: 1999",ILS,"{""age"":""18-24"",""gender"":""female"",""percentage"":0.004721},{""age"":""45-54"",""gender"":""male"",""percentage"":0.084494},{""age"":""65+"",""gender"":""male"",""percentage"":0.146147},{""age"":""65+"",""gender"":""female"",""percentage"":0.217957},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.007534},{""age"":""55-64"",""gender"":""male"",""percentage"":0.102899},{""age"":""55-64"",""gender"":""female"",""percentage"":0.158354},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.009012},{""age"":""45-54"",""gender"":""female"",""percentage"":0.118205},{""age"":""18-24"",""gender"":""male"",""percentage"":0.009155},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.002527},{""age"":""35-44"",""gender"":""male"",""percentage"":0.040769},{""age"":""35-44"",""gender"":""female"",""percentage"":0.036573},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.000477},{""age"":""25-34"",""gender"":""male"",""percentage"":0.029611},{""age"":""25-34"",""gender"":""female"",""percentage"":0.019407},{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.000381},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.011778}","{""region"":""Central District"",""percentage"":0.319113},{""region"":""Heifa"",""percentage"":0.133837},{""region"":""Jerusalem"",""percentage"":0.085654},{""region"":""Northern District"",""percentage"":0.10571},{""region"":""Southern District"",""percentage"":0.056442},{""region"":""Tel Aviv"",""percentage"":0.299198},{""region"":""Unknown"",""percentage"":4.7e-5}","facebook,instagram","lower_bound: 100001, upper_bound: 500000",he
707350648689733,109551402519,"Haaretz הארץ",2025-06-15,2025-06-15,2025-06-19,"Haaretz הארץ","בזמן מלחמה, יש פרשן אחד שחייבים לקרוא את העדכונים והניתוחים שלו כדי להבין מה באמת מתרחש. הירשמו עכשיו להתראות הכתב של עמוס הראל והישארו מעודכנים כל הזמן בכל מה שקורה במלחמה, לפני ומאחורי הקלעים","הירשמו עכשיו",fb.me,,"lower_bound: 40000, upper_bound: 44999","lower_bound: 1000, upper_bound: 1499",ILS,"{""age"":""18-24"",""gender"":""female"",""percentage"":0.003575},{""age"":""45-54"",""gender"":""male"",""percentage"":0.113726},{""age"":""65+"",""gender"":""male"",""percentage"":0.173724},{""age"":""65+"",""gender"":""female"",""percentage"":0.16861},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.009294},{""age"":""55-64"",""gender"":""male"",""percentage"":0.12115},{""age"":""55-64"",""gender"":""female"",""percentage"":0.124615},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.009899},{""age"":""45-54"",""gender"":""female"",""percentage"":0.107512},{""age"":""18-24"",""gender"":""male"",""percentage"":0.006324},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.003245},{""age"":""35-44"",""gender"":""male"",""percentage"":0.053564},{""age"":""35-44"",""gender"":""female"",""percentage"":0.04141},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.00055},{""age"":""25-34"",""gender"":""male"",""percentage"":0.029531},{""age"":""25-34"",""gender"":""female"",""percentage"":0.019083},{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.00022},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.013968}","{""region"":""Central District"",""percentage"":0.266888},{""region"":""Heifa"",""percentage"":0.109139},{""region"":""Jerusalem"",""percentage"":0.08791},{""region"":""Northern District"",""percentage"":0.068695},{""region"":""Southern District"",""percentage"":0.037722},{""region"":""Tel Aviv"",""percentage"":0.429536},{""region"":""Unknown"",""percentage"":0.000109}","facebook,instagram","lower_bound: 10001, upper_bound: 50000",he
1209100974046567,109551402519,"Haaretz הארץ",2025-05-16,2025-05-16,2025-05-18,"Haaretz הארץ",,"מהומור שוליים למיינסטרים במדים,סדריק גרין שילם את המחיר הכבד מכל כדי להיות ישראלי,כשרעיונות גדולים נולדים ממשבר,יוגה, טקסים ואמונה - עכשיו זה מיינסטרים,כשאמריקה מתפרקת, ישראל על הכוונת,ללכוד תנין ולשמוע קופים שואגים,איך בונים יחסים יציבים מתוך כאב ישן,מדור המשחקים של הארץ - כל יום אתגר חדש למוח","haaretz.co.il,haaretz.co.il,haaretz.co.il,haaretz.co.il,haaretz.co.il,haaretz.co.il,haaretz.co.il,haaretz.co.il",,"lower_bound: 15000, upper_bound: 19999","lower_bound: 300, upper_bound: 399",ILS,"{""age"":""18-24"",""gender"":""female"",""percentage"":0.028498},{""age"":""45-54"",""gender"":""male"",""percentage"":0.07616},{""age"":""65+"",""gender"":""male"",""percentage"":0.051662},{""age"":""65+"",""gender"":""female"",""percentage"":0.105741},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.00425},{""age"":""55-64"",""gender"":""male"",""percentage"":0.04483},{""age"":""55-64"",""gender"":""female"",""percentage"":0.084243},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.008249},{""age"":""45-54"",""gender"":""female"",""percentage"":0.105908},{""age"":""18-24"",""gender"":""male"",""percentage"":0.04258},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.009333},{""age"":""35-44"",""gender"":""male"",""percentage"":0.106241},{""age"":""35-44"",""gender"":""female"",""percentage"":0.11449},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.002166},{""age"":""25-34"",""gender"":""male"",""percentage"":0.114157},{""age"":""25-34"",""gender"":""female"",""percentage"":0.093409},{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.00125},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.006833}","{""region"":""Central District"",""percentage"":0.22642},{""region"":""Heifa"",""percentage"":0.120958},{""region"":""Jerusalem"",""percentage"":0.122801},{""region"":""Northern District"",""percentage"":0.097923},{""region"":""Southern District"",""percentage"":0.051684},{""region"":""Tel Aviv"",""percentage"":0.380214}","facebook,instagram","lower_bound: 100001, upper_bound: 500000",he
1817372679105115,109551402519,"Haaretz הארץ",2025-05-16,2025-05-16,2025-05-18,"Haaretz הארץ",,"מהומור שוליים למיינסטרים במדים,סדריק גרין שילם את המחיר הכבד מכל כדי להיות ישראלי,כשרעיונות גדולים נולדים ממשבר,יוגה, טקסים ואמונה - עכשיו זה מיינסטרים,כשאמריקה מתפרקת, ישראל על הכוונת,ללכוד תנין ולשמוע קופים שואגים,איך בונים יחסים יציבים מתוך כאב ישן,מדור המשחקים של הארץ - כל יום אתגר חדש למוח","haaretz.co.il,haaretz.co.il,haaretz.co.il,haaretz.co.il,haaretz.co.il,haaretz.co.il,haaretz.co.il,haaretz.co.il",,"lower_bound: 1000, upper_bound: 1999","lower_bound: 0, upper_bound: 99",ILS,"{""age"":""18-24"",""gender"":""female"",""percentage"":0.021143},{""age"":""45-54"",""gender"":""male"",""percentage"":0.054033},{""age"":""65+"",""gender"":""male"",""percentage"":0.04307},{""age"":""65+"",""gender"":""female"",""percentage"":0.124511},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.003915},{""age"":""55-64"",""gender"":""male"",""percentage"":0.03054},{""age"":""55-64"",""gender"":""female"",""percentage"":0.082224},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.005482},{""age"":""45-54"",""gender"":""female"",""percentage"":0.107283},{""age"":""18-24"",""gender"":""male"",""percentage"":0.032106},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.011746},{""age"":""35-44"",""gender"":""male"",""percentage"":0.118246},{""age"":""35-44"",""gender"":""female"",""percentage"":0.131558},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.002349},{""age"":""25-34"",""gender"":""male"",""percentage"":0.132341},{""age"":""25-34"",""gender"":""female"",""percentage"":0.092404},{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.000783},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.006265}","{""region"":""Central District"",""percentage"":0.213405},{""region"":""Heifa"",""percentage"":0.131741},{""region"":""Jerusalem"",""percentage"":0.119414},{""region"":""Northern District"",""percentage"":0.07473},{""region"":""Southern District"",""percentage"":0.079353},{""region"":""Tel Aviv"",""percentage"":0.381356}","facebook,instagram","lower_bound: 100001, upper_bound: 500000",he
3133579733476900,109551402519,"Haaretz הארץ",2025-05-16,2025-05-16,2025-05-18,"Haaretz הארץ",,"מהומור שוליים למיינסטרים במדים,סדריק גרין שילם את המחיר הכבד מכל כדי להיות ישראלי,כשרעיונות גדולים נולדים ממשבר,יוגה, טקסים ואמונה - עכשיו זה מיינסטרים,כשאמריקה מתפרקת, ישראל על הכוונת,ללכוד תנין ולשמוע קופים שואגים,איך בונים יחסים יציבים מתוך כאב ישן,מדור המשחקים של הארץ - כל יום אתגר חדש למוח","haaretz.co.il,haaretz.co.il,haaretz.co.il,haaretz.co.il,haaretz.co.il,haaretz.co.il,haaretz.co.il,haaretz.co.il",,"lower_bound: 1000, upper_bound: 1999","lower_bound: 0, upper_bound: 99",ILS,"{""age"":""18-24"",""gender"":""female"",""percentage"":0.010329},{""age"":""45-54"",""gender"":""male"",""percentage"":0.083568},{""age"":""65+"",""gender"":""male"",""percentage"":0.076995},{""age"":""65+"",""gender"":""female"",""percentage"":0.13615},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.004695},{""age"":""55-64"",""gender"":""male"",""percentage"":0.046009},{""age"":""55-64"",""gender"":""female"",""percentage"":0.096714},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.014085},{""age"":""45-54"",""gender"":""female"",""percentage"":0.103286},{""age"":""18-24"",""gender"":""male"",""percentage"":0.015962},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.00939},{""age"":""35-44"",""gender"":""male"",""percentage"":0.111737},{""age"":""35-44"",""gender"":""female"",""percentage"":0.106103},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.004695},{""age"":""25-34"",""gender"":""male"",""percentage"":0.100469},{""age"":""25-34"",""gender"":""female"",""percentage"":0.0723},{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.002817},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.004695}","{""region"":""Central District"",""percentage"":0.196445},{""region"":""Heifa"",""percentage"":0.104771},{""region"":""Jerusalem"",""percentage"":0.126286},{""region"":""Northern District"",""percentage"":0.091674},{""region"":""Southern District"",""percentage"":0.056127},{""region"":""Tel Aviv"",""percentage"":0.424696}","facebook,instagram","lower_bound: 50001, upper_bound: 100000",he
578671084788978,109551402519,"Haaretz הארץ",2025-05-16,2025-05-16,2025-05-22,"Haaretz הארץ",,"מהומור שוליים למיינסטרים במדים,סדריק גרין שילם את המחיר הכבד מכל כדי להיות ישראלי,כשרעיונות גדולים נולדים ממשבר,יוגה, טקסים ואמונה - עכשיו זה מיינסטרים,כשאמריקה מתפרקת, ישראל על הכוונת,ללכוד תנין ולשמוע קופים שואגים,איך בונים יחסים יציבים מתוך כאב ישן,מדור המשחקים של הארץ - כל יום אתגר חדש למוח","haaretz.co.il,haaretz.co.il,haaretz.co.il,haaretz.co.il,haaretz.co.il,haaretz.co.il,haaretz.co.il,haaretz.co.il",,"lower_bound: 40000, upper_bound: 44999","lower_bound: 1500, upper_bound: 1999",ILS,"{""age"":""18-24"",""gender"":""female"",""percentage"":0.00954},{""age"":""45-54"",""gender"":""male"",""percentage"":0.102596},{""age"":""65+"",""gender"":""male"",""percentage"":0.083672},{""age"":""65+"",""gender"":""female"",""percentage"":0.107132},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.004066},{""age"":""55-64"",""gender"":""male"",""percentage"":0.07335},{""age"":""55-64"",""gender"":""female"",""percentage"":0.092743},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.008915},{""age"":""45-54"",""gender"":""female"",""percentage"":0.132937},{""age"":""18-24"",""gender"":""male"",""percentage"":0.008289},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.007194},{""age"":""35-44"",""gender"":""male"",""percentage"":0.110572},{""age"":""35-44"",""gender"":""female"",""percentage"":0.10979},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.001408},{""age"":""25-34"",""gender"":""male"",""percentage"":0.072881},{""age"":""25-34"",""gender"":""female"",""percentage"":0.067876},{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.000469},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.006569}","{""region"":""Central District"",""percentage"":0.226734},{""region"":""Heifa"",""percentage"":0.113139},{""region"":""Jerusalem"",""percentage"":0.102798},{""region"":""Northern District"",""percentage"":0.076034},{""region"":""Southern District"",""percentage"":0.040906},{""region"":""Tel Aviv"",""percentage"":0.440389}","facebook,instagram","lower_bound: 5001, upper_bound: 10000",he
680065541278886,109551402519,"Haaretz הארץ",2025-05-16,2025-05-16,2025-05-17,"Haaretz הארץ",,"מהומור שוליים למיינסטרים במדים,כשרעיונות גדולים נולדים ממשבר,יוגה, טקסים ואמונה - עכשיו זה מיינסטרים,כשאמריקה מתפרקת, ישראל על הכוונת,ללכוד תנין ולשמוע קופים שואגים,איך בונים יחסים יציבים מתוך כאב ישן,מדור המשחקים של הארץ - כל יום אתגר חדש למוח","haaretz.co.il,haaretz.co.il,haaretz.co.il,haaretz.co.il,haaretz.co.il,haaretz.co.il,haaretz.co.il",,"lower_bound: 0, upper_bound: 999","lower_bound: 0, upper_bound: 99",ILS,"{""age"":""18-24"",""gender"":""female"",""percentage"":0.03125},{""age"":""45-54"",""gender"":""female"",""percentage"":0.145833},{""age"":""65+"",""gender"":""male"",""percentage"":0.024306},{""age"":""65+"",""gender"":""female"",""percentage"":0.131944},{""age"":""55-64"",""gender"":""male"",""percentage"":0.052083},{""age"":""55-64"",""gender"":""female"",""percentage"":0.083333},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.006944},{""age"":""45-54"",""gender"":""male"",""percentage"":0.048611},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.017361},{""age"":""18-24"",""gender"":""male"",""percentage"":0.034722},{""age"":""35-44"",""gender"":""male"",""percentage"":0.086806},{""age"":""35-44"",""gender"":""female"",""percentage"":0.138889},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.003472},{""age"":""25-34"",""gender"":""male"",""percentage"":0.090278},{""age"":""25-34"",""gender"":""female"",""percentage"":0.086806},{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.003472},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.013889}","{""region"":""Central District"",""percentage"":0.184028},{""region"":""Heifa"",""percentage"":0.170139},{""region"":""Jerusalem"",""percentage"":0.111111},{""region"":""Northern District"",""percentage"":0.090278},{""region"":""Southern District"",""percentage"":0.052083},{""region"":""Tel Aviv"",""percentage"":0.392361}","facebook,instagram","lower_bound: 100001, upper_bound: 500000",he
593473876583216,109551402519,"Haaretz הארץ",2025-05-16,2025-05-16,2025-05-17,"Haaretz הארץ",,"מהומור שוליים למיינסטרים במדים,כשרעיונות גדולים נולדים ממשבר,יוגה, טקסים ואמונה - עכשיו זה מיינסטרים,כשאמריקה מתפרקת, ישראל על הכוונת,ללכוד תנין ולשמוע קופים שואגים,איך בונים יחסים יציבים מתוך כאב ישן,מדור המשחקים של הארץ - כל יום אתגר חדש למוח","haaretz.co.il,haaretz.co.il,haaretz.co.il,haaretz.co.il,haaretz.co.il,haaretz.co.il,haaretz.co.il",,"lower_bound: 3000, upper_bound: 3999","lower_bound: 0, upper_bound: 99",ILS,"{""age"":""18-24"",""gender"":""female"",""percentage"":0.023975},{""age"":""45-54"",""gender"":""male"",""percentage"":0.094953},{""age"":""65+"",""gender"":""male"",""percentage"":0.079495},{""age"":""65+"",""gender"":""female"",""percentage"":0.14858},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.005363},{""age"":""55-64"",""gender"":""male"",""percentage"":0.066246},{""age"":""55-64"",""gender"":""female"",""percentage"":0.089905},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.009148},{""age"":""45-54"",""gender"":""female"",""percentage"":0.104101},{""age"":""18-24"",""gender"":""male"",""percentage"":0.0347},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.007256},{""age"":""35-44"",""gender"":""male"",""percentage"":0.087382},{""age"":""35-44"",""gender"":""female"",""percentage"":0.083281},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.000946},{""age"":""25-34"",""gender"":""male"",""percentage"":0.091483},{""age"":""25-34"",""gender"":""female"",""percentage"":0.064353},{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.000946},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.007886}","{""region"":""Central District"",""percentage"":0.233028},{""region"":""Heifa"",""percentage"":0.119356},{""region"":""Jerusalem"",""percentage"":0.101042},{""region"":""Northern District"",""percentage"":0.084938},{""region"":""Southern District"",""percentage"":0.047363},{""region"":""Tel Aviv"",""percentage"":0.414272}","facebook,instagram","lower_bound: 100001, upper_bound: 500000",he
