ad_archive_id,page_id,page_name,ad_creation_time,ad_delivery_start_time,ad_delivery_stop_time,byline,ad_creative_bodies,ad_creative_link_titles,ad_creative_link_captions,ad_creative_link_descriptions,impressions,spend,currency,demographic_distribution,delivery_by_region,publisher_platforms,estimated_audience_size,languages
1358094582581443,790149967713981,דרכנו,2025-10-04,2025-10-04,2025-10-06,דרכנו,"נתנו הכל בשביל העסקה. עכשיו יותר מתמיד חשוב לתת גב להסכם לסיום המלחמה ולזכור - אנחנו יודעים שזה הדבר הנכון לישראל ונעמוד ביחד מול כל המתנגדים.","חתמו עכשיו! אני בעד העסקה! >>",fb.me,,"lower_bound: 8000, upper_bound: 8999","lower_bound: 200, upper_bound: 299",ILS,"{""age"":""18-24"",""gender"":""female"",""__umapi_query_id"":""705hrbecqzf9zxggknkr"",""percentage"":0.001616},{""age"":""45-54"",""gender"":""male"",""percentage"":0.027653},{""age"":""65+"",""gender"":""male"",""percentage"":0.207398},{""age"":""65+"",""gender"":""female"",""percentage"":0.451607},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.00413},{""age"":""55-64"",""gender"":""male"",""percentage"":0.06608},{""age"":""55-64"",""gender"":""female"",""percentage"":0.136829},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.001257},{""age"":""45-54"",""gender"":""female"",""percentage"":0.057461},{""age"":""18-24"",""gender"":""male"",""percentage"":0.001437},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.000718},{""age"":""35-44"",""gender"":""male"",""percentage"":0.009158},{""age"":""35-44"",""gender"":""female"",""percentage"":0.010235},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.00018},{""age"":""25-34"",""gender"":""male"",""percentage"":0.004489},{""age"":""25-34"",""gender"":""female"",""percentage"":0.007003},{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.00018},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.01257}","{""region"":""Central District"",""__umapi_query_id"":""mxskr9db2ex5ylq5nr1z"",""percentage"":0.309634},{""region"":""Heifa"",""percentage"":0.138287},{""region"":""Jerusalem"",""percentage"":0.064344},{""region"":""Northern District"",""percentage"":0.121401},{""region"":""Southern District"",""percentage"":0.066655},{""region"":""Tel Aviv"",""percentage"":0.29968}","facebook,instagram","lower_bound: 100001, upper_bound: 500000",he
4259375067723152,790149967713981,דרכנו,2025-10-04,2025-10-04,2025-10-07,דרכנו,"נתנו הכל בשביל העסקה. עכשיו יותר מתמיד חשוב לתת גב להסכם לסיום המלחמה ולזכור - אנחנו יודעים שזה הדבר הנכון לישראל ונעמוד ביחד מול כל המתנגדים.","חתמו עכשיו! אני בעד העסקה! >>",fb.me,,"lower_bound: 6000, upper_bound: 6999","lower_bound: 200, upper_bound: 299",ILS,"{""age"":""18-24"",""gender"":""female"",""__umapi_query_id"":""rw0q8vh3ta0w62q3hl7j"",""percentage"":0.004693},{""age"":""45-54"",""gender"":""male"",""percentage"":0.029437},{""age"":""65+"",""gender"":""male"",""percentage"":0.179821},{""age"":""65+"",""gender"":""female"",""percentage"":0.363481},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.004266},{""age"":""55-64"",""gender"":""male"",""percentage"":0.06698},{""age"":""55-64"",""gender"":""female"",""percentage"":0.18494},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.0032},{""age"":""45-54"",""gender"":""female"",""percentage"":0.093643},{""age"":""18-24"",""gender"":""male"",""percentage"":0.007039},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.000853},{""age"":""35-44"",""gender"":""male"",""percentage"":0.011519},{""age"":""35-44"",""gender"":""female"",""percentage"":0.023891},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.000427},{""age"":""25-34"",""gender"":""male"",""percentage"":0.006186},{""age"":""25-34"",""gender"":""female"",""percentage"":0.007679},{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.00064},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.011305}","{""region"":""Central District"",""__umapi_query_id"":""qujyycui9s71r2e6rysk"",""percentage"":0.28801},{""region"":""Heifa"",""percentage"":0.168535},{""region"":""Jerusalem"",""percentage"":0.067033},{""region"":""Northern District"",""percentage"":0.144217},{""region"":""Southern District"",""percentage"":0.084162},{""region"":""Tel Aviv"",""percentage"":0.248044}","facebook,instagram","lower_bound: 100001, upper_bound: 500000",he
1221306059815346,790149967713981,דרכנו,2025-10-04,2025-10-04,2025-10-06,דרכנו,"נתנו הכל בשביל העסקה. עכשיו יותר מתמיד חשוב לתת גב להסכם לסיום המלחמה ולזכור - אנחנו יודעים שזה הדבר הנכון לישראל ונעמוד ביחד מול כל המתנגדים.","חתמו עכשיו! אני בעד העסקה! >>",fb.me,,"lower_bound: 0, upper_bound: 999","lower_bound: 0, upper_bound: 99",ILS,"{""age"":""25-34"",""gender"":""female"",""__umapi_query_id"":""32d0yohzamdkgxquhqxl"",""percentage"":0.007481},{""age"":""25-34"",""gender"":""male"",""percentage"":0.004988},{""age"":""35-44"",""gender"":""female"",""percentage"":0.004988},{""age"":""35-44"",""gender"":""male"",""percentage"":0.014963},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.002494},{""age"":""45-54"",""gender"":""female"",""percentage"":0.064838},{""age"":""45-54"",""gender"":""male"",""percentage"":0.022444},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.004988},{""age"":""55-64"",""gender"":""female"",""percentage"":0.174564},{""age"":""55-64"",""gender"":""male"",""percentage"":0.05985},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.009975},{""age"":""65+"",""gender"":""female"",""percentage"":0.379052},{""age"":""65+"",""gender"":""male"",""percentage"":0.236908},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.012469}","{""region"":""Central District"",""__umapi_query_id"":""jae2lfjs3vp3qfmritmd"",""percentage"":0.313433},{""region"":""Heifa"",""percentage"":0.176617},{""region"":""Jerusalem"",""percentage"":0.052239},{""region"":""Northern District"",""percentage"":0.144279},{""region"":""Southern District"",""percentage"":0.039801},{""region"":""Tel Aviv"",""percentage"":0.273632}","facebook,instagram","lower_bound: 100001, upper_bound: 500000",he
813169557764396,790149967713981,דרכנו,2025-10-04,2025-10-04,2025-10-07,דרכנו,"נתנו הכל בשביל העסקה. עכשיו יותר מתמיד חשוב לתת גב להסכם לסיום המלחמה ולזכור - אנחנו יודעים שזה הדבר הנכון לישראל ונעמוד ביחד מול כל המתנגדים.","חתמו עכשיו! אני בעד העסקה! >>",fb.me,,"lower_bound: 10000, upper_bound: 14999","lower_bound: 400, upper_bound: 499",ILS,"{""age"":""18-24"",""gender"":""female"",""__umapi_query_id"":""4ttbrhs8uh81tq00yzqe"",""percentage"":0.116077},{""age"":""45-54"",""gender"":""male"",""percentage"":0.042872},{""age"":""65+"",""gender"":""male"",""percentage"":0.069668},{""age"":""65+"",""gender"":""female"",""percentage"":0.083387},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.003537},{""age"":""55-64"",""gender"":""male"",""percentage"":0.062165},{""age"":""55-64"",""gender"":""female"",""percentage"":0.115648},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.005252},{""age"":""45-54"",""gender"":""female"",""percentage"":0.122722},{""age"":""18-24"",""gender"":""male"",""percentage"":0.127974},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.00268},{""age"":""35-44"",""gender"":""male"",""percentage"":0.028081},{""age"":""35-44"",""gender"":""female"",""percentage"":0.05895},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.001822},{""age"":""25-34"",""gender"":""male"",""percentage"":0.072026},{""age"":""25-34"",""gender"":""female"",""percentage"":0.077599},{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.005252},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.004287}","{""region"":""Central District"",""__umapi_query_id"":""nbxhc2s8087nbuau2dgl"",""percentage"":0.341847},{""region"":""Heifa"",""percentage"":0.190753},{""region"":""Northern District"",""percentage"":0.192262},{""region"":""Tel Aviv"",""percentage"":0.27503},{""region"":""West Bank"",""percentage"":0.000108}","facebook,instagram","lower_bound: 1000001",
3100081200184633,790149967713981,דרכנו,2025-09-30,2025-09-30,2025-10-02,דרכנו,"בשעות הקרובות הקיצוניים יעשו הכל, אבל הכל כדי להכשיל את העסקה. עכשיו יותר מתמיד חשוב לתת גב להסכם לסיום המלחמה ולזכור - אם סמוטריץ', סטרוק ובן-גביר נגד ההסכם, זה הסימן שזה הדבר הנכון לישראל.","חתמו עכשיו! אני בעד העסקה! >>",fb.me,,"lower_bound: 6000, upper_bound: 6999","lower_bound: 200, upper_bound: 299",ILS,"{""age"":""18-24"",""gender"":""female"",""__umapi_query_id"":""hm2onlffj1fhygz3anjx"",""percentage"":0.002321},{""age"":""45-54"",""gender"":""male"",""percentage"":0.037911},{""age"":""65+"",""gender"":""male"",""percentage"":0.195938},{""age"":""65+"",""gender"":""female"",""percentage"":0.423985},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.004062},{""age"":""55-64"",""gender"":""male"",""percentage"":0.07118},{""age"":""55-64"",""gender"":""female"",""percentage"":0.142747},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.002128},{""age"":""45-54"",""gender"":""female"",""percentage"":0.061315},{""age"":""18-24"",""gender"":""male"",""percentage"":0.002128},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.00058},{""age"":""35-44"",""gender"":""male"",""percentage"":0.012959},{""age"":""35-44"",""gender"":""female"",""percentage"":0.015087},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.000193},{""age"":""25-34"",""gender"":""male"",""percentage"":0.007544},{""age"":""25-34"",""gender"":""female"",""percentage"":0.008897},{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.000193},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.010832}","{""region"":""Central District"",""__umapi_query_id"":""3ukxbgtg2ydc6ggqn7cs"",""percentage"":0.316978},{""region"":""Heifa"",""percentage"":0.142329},{""region"":""Jerusalem"",""percentage"":0.066199},{""region"":""Northern District"",""percentage"":0.10845},{""region"":""Southern District"",""percentage"":0.070483},{""region"":""Tel Aviv"",""percentage"":0.295561}","facebook,instagram","lower_bound: 100001, upper_bound: 500000",he
1279137693690035,790149967713981,דרכנו,2025-09-30,2025-09-30,2025-10-02,דרכנו,"בשעות הקרובות הקיצוניים יעשו הכל, אבל הכל כדי להכשיל את העסקה. עכשיו יותר מתמיד חשוב לתת גב להסכם לסיום המלחמה ולזכור - אם סמוטריץ', סטרוק ובן-גביר נגד ההסכם, זה הסימן שזה הדבר הנכון לישראל.","חתמו עכשיו! אני בעד העסקה! >>",fb.me,,"lower_bound: 2000, upper_bound: 2999","lower_bound: 0, upper_bound: 99",ILS,"{""age"":""18-24"",""gender"":""female"",""__umapi_query_id"":""j1c7iqq19xgo91i4cxxg"",""percentage"":0.002183},{""age"":""45-54"",""gender"":""male"",""percentage"":0.034498},{""age"":""65+"",""gender"":""male"",""percentage"":0.192576},{""age"":""65+"",""gender"":""female"",""percentage"":0.372052},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.002183},{""age"":""55-64"",""gender"":""male"",""percentage"":0.070742},{""age"":""55-64"",""gender"":""female"",""percentage"":0.173799},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.003493},{""age"":""45-54"",""gender"":""female"",""percentage"":0.078603},{""age"":""18-24"",""gender"":""male"",""percentage"":0.00393},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.000873},{""age"":""35-44"",""gender"":""male"",""percentage"":0.013537},{""age"":""35-44"",""gender"":""female"",""percentage"":0.021397},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.000437},{""age"":""25-34"",""gender"":""male"",""percentage"":0.006987},{""age"":""25-34"",""gender"":""female"",""percentage"":0.010044},{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.00131},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.011354}","{""region"":""Central District"",""__umapi_query_id"":""l4edmrgvwm3bzy1f6gw9"",""percentage"":0.295494},{""region"":""Heifa"",""percentage"":0.165078},{""region"":""Jerusalem"",""percentage"":0.066724},{""region"":""Northern District"",""percentage"":0.121317},{""region"":""Southern District"",""percentage"":0.064558},{""region"":""Tel Aviv"",""percentage"":0.286828}","facebook,instagram","lower_bound: 500001, upper_bound: 1000000",he
1317484590074845,790149967713981,דרכנו,2025-09-30,2025-09-30,2025-10-01,דרכנו,"בשעות הקרובות הקיצוניים יעשו הכל, אבל הכל כדי להכשיל את העסקה. עכשיו יותר מתמיד חשוב לתת גב להסכם לסיום המלחמה ולזכור - אם סמוטריץ', סטרוק ובן-גביר נגד ההסכם, זה הסימן שזה הדבר הנכון לישראל.","חתמו עכשיו! אני בעד העסקה! >>",fb.me,,"lower_bound: 2000, upper_bound: 2999","lower_bound: 0, upper_bound: 99",ILS,"{""age"":""18-24"",""gender"":""female"",""__umapi_query_id"":""wl39tdp5innmvbbwlkij"",""percentage"":0.058288},{""age"":""45-54"",""gender"":""male"",""percentage"":0.056466},{""age"":""65+"",""gender"":""male"",""percentage"":0.061475},{""age"":""65+"",""gender"":""female"",""percentage"":0.090164},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.005009},{""age"":""55-64"",""gender"":""male"",""percentage"":0.062842},{""age"":""55-64"",""gender"":""female"",""percentage"":0.118852},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.004554},{""age"":""45-54"",""gender"":""female"",""percentage"":0.132514},{""age"":""18-24"",""gender"":""male"",""percentage"":0.061475},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.005009},{""age"":""35-44"",""gender"":""male"",""percentage"":0.041439},{""age"":""35-44"",""gender"":""female"",""percentage"":0.079235},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.002732},{""age"":""25-34"",""gender"":""male"",""percentage"":0.089253},{""age"":""25-34"",""gender"":""female"",""percentage"":0.122495},{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.003643},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.004554}","{""region"":""Central District"",""__umapi_query_id"":""t2azz91idy1bnkvrg1fs"",""percentage"":0.293454},{""region"":""Heifa"",""percentage"":0.204515},{""region"":""Northern District"",""percentage"":0.163883},{""region"":""Tel Aviv"",""percentage"":0.338149}","facebook,instagram","lower_bound: 1000001",he
2454677561600323,790149967713981,דרכנו,2025-09-30,2025-09-30,2025-10-02,דרכנו,"בשעות הקרובות הקיצוניים יעשו הכל, אבל הכל כדי להכשיל את העסקה. עכשיו יותר מתמיד חשוב לתת גב להסכם לסיום המלחמה ולזכור - אם סמוטריץ', סטרוק ובן-גביר נגד ההסכם, זה הסימן שזה הדבר הנכון לישראל.","חתמו עכשיו! אני בעד העסקה! >>",fb.me,,"lower_bound: 1000, upper_bound: 1999","lower_bound: 0, upper_bound: 99",ILS,"{""age"":""18-24"",""gender"":""female"",""__umapi_query_id"":""0iz2uzbes2udkaqxbn3f"",""percentage"":0.002639},{""age"":""18-24"",""gender"":""male"",""percentage"":0.001979},{""age"":""25-34"",""gender"":""female"",""percentage"":0.007256},{""age"":""25-34"",""gender"":""male"",""percentage"":0.006596},{""age"":""35-44"",""gender"":""female"",""percentage"":0.01781},{""age"":""35-44"",""gender"":""male"",""percentage"":0.016491},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.001319},{""age"":""45-54"",""gender"":""female"",""percentage"":0.085092},{""age"":""45-54"",""gender"":""male"",""percentage"":0.045515},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.003298},{""age"":""55-64"",""gender"":""female"",""percentage"":0.191293},{""age"":""55-64"",""gender"":""male"",""percentage"":0.075198},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.008575},{""age"":""65+"",""gender"":""female"",""percentage"":0.338391},{""age"":""65+"",""gender"":""male"",""percentage"":0.184037},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.014512}","{""region"":""Central District"",""__umapi_query_id"":""3y6pjaee1q71pmitsvok"",""percentage"":0.289491},{""region"":""Heifa"",""percentage"":0.155981},{""region"":""Jerusalem"",""percentage"":0.05618},{""region"":""Northern District"",""percentage"":0.134831},{""region"":""Southern District"",""percentage"":0.053536},{""region"":""Tel Aviv"",""percentage"":0.30998}","facebook,instagram","lower_bound: 100001, upper_bound: 500000",he
1952007468866440,790149967713981,דרכנו,2025-09-16,2025-09-16,2025-09-18,דרכנו,"לא קונים את החרטא של נתניהו! הוא לא כשיר, ומסוכן. מיליון ישראלים חותמים על עצומה בדרישה  להוציא את נתניהו לנבצרות.
הצטרפו עכשיו, לפני שיהיה מאוחר","חתמו עכשיו! מוציאים אותו לנבצרות >>",fb.me,,"lower_bound: 7000, upper_bound: 7999","lower_bound: 300, upper_bound: 399",ILS,"{""age"":""18-24"",""gender"":""female"",""percentage"":0.019922},{""age"":""45-54"",""gender"":""male"",""percentage"":0.081982},{""age"":""65+"",""gender"":""male"",""percentage"":0.114422},{""age"":""65+"",""gender"":""female"",""percentage"":0.145451},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.00476},{""age"":""55-64"",""gender"":""male"",""percentage"":0.095205},{""age"":""55-64"",""gender"":""female"",""percentage"":0.141044},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.005113},{""age"":""45-54"",""gender"":""female"",""percentage"":0.148801},{""age"":""18-24"",""gender"":""male"",""percentage"":0.028561},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.001939},{""age"":""35-44"",""gender"":""male"",""percentage"":0.038963},{""age"":""35-44"",""gender"":""female"",""percentage"":0.071932},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.000705},{""age"":""25-34"",""gender"":""male"",""percentage"":0.038787},{""age"":""25-34"",""gender"":""female"",""percentage"":0.05677},{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.001234},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.004408}","{""region"":""Central District"",""percentage"":0.370749},{""region"":""Heifa"",""percentage"":0.191366},{""region"":""Northern District"",""percentage"":0.182555},{""region"":""Tel Aviv"",""percentage"":0.255154},{""region"":""Unknown"",""percentage"":0.000176}","facebook,instagram","lower_bound: 1000001",he
3677400265725370,790149967713981,דרכנו,2025-09-16,2025-09-16,2025-09-19,דרכנו,"לא קונים את החרטא של נתניהו! הוא לא כשיר, ומסוכן. מיליון ישראלים חותמים על עצומה בדרישה  להוציא את נתניהו לנבצרות.
הצטרפו עכשיו, לפני שיהיה מאוחר","חתמו עכשיו! מוציאים אותו לנבצרות >>",fb.me,,"lower_bound: 6000, upper_bound: 6999","lower_bound: 300, upper_bound: 399",ILS,"{""age"":""18-24"",""gender"":""female"",""percentage"":0.002615},{""age"":""45-54"",""gender"":""male"",""percentage"":0.05949},{""age"":""65+"",""gender"":""male"",""percentage"":0.178034},{""age"":""65+"",""gender"":""female"",""percentage"":0.304642},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.006102},{""age"":""55-64"",""gender"":""male"",""percentage"":0.088037},{""age"":""55-64"",""gender"":""female"",""percentage"":0.1691},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.004794},{""age"":""45-54"",""gender"":""female"",""percentage"":0.11484},{""age"":""18-24"",""gender"":""male"",""percentage"":0.001743},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.002179},{""age"":""35-44"",""gender"":""male"",""percentage"":0.015908},{""age"":""35-44"",""gender"":""female"",""percentage"":0.023099},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.000436},{""age"":""25-34"",""gender"":""male"",""percentage"":0.009806},{""age"":""25-34"",""gender"":""female"",""percentage"":0.008716},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.01046}","{""region"":""Central District"",""percentage"":0.31342},{""region"":""Heifa"",""percentage"":0.146104},{""region"":""Jerusalem"",""percentage"":0.038745},{""region"":""Northern District"",""percentage"":0.120996},{""region"":""Southern District"",""percentage"":0.068615},{""region"":""Tel Aviv"",""percentage"":0.312121}","facebook,instagram","lower_bound: 100001, upper_bound: 500000",he
