ad_archive_id,page_id,page_name,ad_creation_time,ad_delivery_start_time,ad_delivery_stop_time,byline,ad_creative_bodies,ad_creative_link_titles,ad_creative_link_captions,ad_creative_link_descriptions,impressions,spend,currency,demographic_distribution,delivery_by_region,publisher_platforms,estimated_audience_size,languages
591786019650570,113172981678041,הביתה,2023-03-29,2023-03-30,2023-04-09,הביתה,"אין אמון בממשלת ההפיכה!
https://no-dictator.co.il/","חתמו ונשלח אותם הביתה>>",no-dictator.co.il,"עכשיו כבר ברור: יש רק דרך אחת למחוק אחת ולתמיד את הדיקטטורה – לא להקפיא, לא לעצור, לא לדחות – להפיל את הממשלה הרודנית הזאת. עכשיו!","lower_bound: 15000, upper_bound: 19999","lower_bound: 800, upper_bound: 899",ILS,"{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.000942},{""age"":""25-34"",""gender"":""female"",""percentage"":0.064999},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.005652},{""age"":""18-24"",""gender"":""female"",""percentage"":0.029098},{""age"":""25-34"",""gender"":""male"",""percentage"":0.062696},{""age"":""18-24"",""gender"":""male"",""percentage"":0.043437},{""age"":""65+"",""gender"":""female"",""percentage"":0.158468},{""age"":""45-54"",""gender"":""male"",""percentage"":0.084886},{""age"":""45-54"",""gender"":""female"",""percentage"":0.11053},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.005443},{""age"":""35-44"",""gender"":""female"",""percentage"":0.081432},{""age"":""65+"",""gender"":""male"",""percentage"":0.096923},{""age"":""35-44"",""gender"":""male"",""percentage"":0.064057},{""age"":""55-64"",""gender"":""male"",""percentage"":0.080804},{""age"":""55-64"",""gender"":""female"",""percentage"":0.1009},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.003977},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.004501},{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.001256}","{""region"":""Unknown"",""percentage"":0.000209},{""region"":""Southern District"",""percentage"":0.079523},{""region"":""Central District"",""percentage"":0.28398},{""region"":""Northern District"",""percentage"":0.124202},{""region"":""Heifa"",""percentage"":0.140316},{""region"":""Tel Aviv"",""percentage"":0.29706},{""region"":""Jerusalem"",""percentage"":0.07471}","facebook,instagram","lower_bound: 100001, upper_bound: 500000",he
3413609458881085,113172981678041,הביתה,2023-03-29,2023-03-30,2023-04-09,הביתה,"אין אמון בממשלת ההפיכה!
https://no-dictator.co.il/","חתמו ונשלח אותם הביתה>>",no-dictator.co.il,"עכשיו כבר ברור: יש רק דרך אחת למחוק אחת ולתמיד את הדיקטטורה – לא להקפיא, לא לעצור, לא לדחות – להפיל את הממשלה הרודנית הזאת. עכשיו!","lower_bound: 100000, upper_bound: 124999","lower_bound: 5000, upper_bound: 5999",ILS,"{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.006845},{""age"":""25-34"",""gender"":""female"",""percentage"":0.086268},{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.000978},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.005985},{""age"":""18-24"",""gender"":""female"",""percentage"":0.030819},{""age"":""18-24"",""gender"":""male"",""percentage"":0.034291},{""age"":""65+"",""gender"":""female"",""percentage"":0.113411},{""age"":""65+"",""gender"":""male"",""percentage"":0.089269},{""age"":""55-64"",""gender"":""female"",""percentage"":0.086504},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.001652},{""age"":""35-44"",""gender"":""male"",""percentage"":0.077923},{""age"":""45-54"",""gender"":""male"",""percentage"":0.087415},{""age"":""55-64"",""gender"":""male"",""percentage"":0.067841},{""age"":""25-34"",""gender"":""male"",""percentage"":0.089809},{""age"":""35-44"",""gender"":""female"",""percentage"":0.104796},{""age"":""45-54"",""gender"":""female"",""percentage"":0.109247},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.004012},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.002933}","{""region"":""Southern District"",""percentage"":0.081568},{""region"":""Central District"",""percentage"":0.307754},{""region"":""Northern District"",""percentage"":0.121819},{""region"":""Heifa"",""percentage"":0.1454},{""region"":""Tel Aviv"",""percentage"":0.277212},{""region"":""Jerusalem"",""percentage"":0.066214},{""region"":""Unknown"",""percentage"":3.3e-5}","facebook,instagram","lower_bound: 100001, upper_bound: 500000",he
177188735168951,113172981678041,הביתה,2023-03-29,2023-03-29,2023-04-08,הביתה,"הממשלה חשפה את התכנית האמיתית - להקים פה משטר עריצות דיקטטורי. יש רק דרך אחת לדאוג שהם לא יגשימו את ההמזימה הזאת: מיליון אזרחים קוראים לנשיא לפזר את הכנסת ולהעיף את הממשלה הביתה.
https://no-dictator.co.il/","חתמו עכשיו ונשלח אותם הביתה>>",no-dictator.co.il,"עכשיו כבר ברור: יש רק דרך אחת למחוק אחת ולתמיד את הדיקטטורה – לא להקפיא, לא לעצור, לא לדחות – להפיל את הממשלה הרודנית הזאת. עכשיו!","lower_bound: 35000, upper_bound: 39999","lower_bound: 2000, upper_bound: 2499",ILS,"{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.000433},{""age"":""45-54"",""gender"":""female"",""percentage"":0.117862},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.00495},{""age"":""25-34"",""gender"":""female"",""percentage"":0.030007},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.009095},{""age"":""18-24"",""gender"":""male"",""percentage"":0.013178},{""age"":""45-54"",""gender"":""male"",""percentage"":0.073872},{""age"":""55-64"",""gender"":""female"",""percentage"":0.152633},{""age"":""55-64"",""gender"":""male"",""percentage"":0.075234},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.004145},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.006125},{""age"":""25-34"",""gender"":""male"",""percentage"":0.027408},{""age"":""35-44"",""gender"":""female"",""percentage"":0.060323},{""age"":""65+"",""gender"":""female"",""percentage"":0.248531},{""age"":""65+"",""gender"":""male"",""percentage"":0.121821},{""age"":""35-44"",""gender"":""male"",""percentage"":0.041762},{""age"":""18-24"",""gender"":""female"",""percentage"":0.012126},{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.000495}","{""region"":""Unknown"",""percentage"":6.1e-5},{""region"":""Southern District"",""percentage"":0.070597},{""region"":""Central District"",""percentage"":0.319157},{""region"":""Northern District"",""percentage"":0.135188},{""region"":""Heifa"",""percentage"":0.147874},{""region"":""Tel Aviv"",""percentage"":0.262839},{""region"":""Jerusalem"",""percentage"":0.064285}","facebook,instagram","lower_bound: 100001, upper_bound: 500000",
586439196762675,113172981678041,הביתה,2023-03-29,2023-03-29,2023-04-09,הביתה,"הממשלה חשפה את התכנית האמיתית - להקים פה משטר עריצות דיקטטורי. יש רק דרך אחת לדאוג שהם לא יגשימו את ההמזימה הזאת: מיליון אזרחים קוראים לנשיא לפזר את הכנסת ולהעיף את הממשלה הביתה.
https://no-dictator.co.il/","חתמו עכשיו ונשלח אותם הביתה>>",no-dictator.co.il,"עכשיו כבר ברור: יש רק דרך אחת למחוק אחת ולתמיד את הדיקטטורה – לא להקפיא, לא לעצור, לא לדחות – להפיל את הממשלה הרודנית הזאת. עכשיו!","lower_bound: 125000, upper_bound: 149999","lower_bound: 10000, upper_bound: 14999",ILS,"{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.003571},{""age"":""45-54"",""gender"":""male"",""percentage"":0.062603},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.001595},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.00641},{""age"":""25-34"",""gender"":""female"",""percentage"":0.074676},{""age"":""18-24"",""gender"":""female"",""percentage"":0.028551},{""age"":""35-44"",""gender"":""male"",""percentage"":0.053413},{""age"":""35-44"",""gender"":""female"",""percentage"":0.075013},{""age"":""25-34"",""gender"":""male"",""percentage"":0.06995},{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.001083},{""age"":""55-64"",""gender"":""male"",""percentage"":0.060745},{""age"":""45-54"",""gender"":""female"",""percentage"":0.109227},{""age"":""18-24"",""gender"":""male"",""percentage"":0.03556},{""age"":""65+"",""gender"":""female"",""percentage"":0.187766},{""age"":""55-64"",""gender"":""female"",""percentage"":0.107368},{""age"":""65+"",""gender"":""male"",""percentage"":0.110851},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.005883},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.005736}","{""region"":""Unknown"",""percentage"":0.000103},{""region"":""Southern District"",""percentage"":0.070333},{""region"":""Central District"",""percentage"":0.308317},{""region"":""Northern District"",""percentage"":0.113637},{""region"":""Heifa"",""percentage"":0.144958},{""region"":""Tel Aviv"",""percentage"":0.294385},{""region"":""Jerusalem"",""percentage"":0.068267}","facebook,instagram","lower_bound: 100001, upper_bound: 500000",he
256077163421306,113172981678041,הביתה,2023-03-29,2023-03-29,2023-04-09,הביתה,"אין אמון בממשלת ההפיכה!
https://no-dictator.co.il/","חתמו ונשלח אותם הביתה>>",no-dictator.co.il,"עכשיו כבר ברור: יש רק דרך אחת למחוק אחת ולתמיד את הדיקטטורה – לא להקפיא, לא לעצור, לא לדחות – להפיל את הממשלה הרודנית הזאת. עכשיו!","lower_bound: 30000, upper_bound: 34999","lower_bound: 2000, upper_bound: 2499",ILS,"{""age"":""65+"",""gender"":""unknown"",""percentage"":0.001647},{""age"":""35-44"",""gender"":""female"",""percentage"":0.100754},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.001647},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.00456},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.003673},{""age"":""65+"",""gender"":""female"",""percentage"":0.053068},{""age"":""55-64"",""gender"":""male"",""percentage"":0.055285},{""age"":""45-54"",""gender"":""female"",""percentage"":0.118105},{""age"":""18-24"",""gender"":""male"",""percentage"":0.03502},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.002406},{""age"":""65+"",""gender"":""male"",""percentage"":0.041796},{""age"":""25-34"",""gender"":""female"",""percentage"":0.149072},{""age"":""18-24"",""gender"":""female"",""percentage"":0.054461},{""age"":""35-44"",""gender"":""male"",""percentage"":0.088785},{""age"":""45-54"",""gender"":""male"",""percentage"":0.082389},{""age"":""55-64"",""gender"":""female"",""percentage"":0.082642},{""age"":""25-34"",""gender"":""male"",""percentage"":0.123995},{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.000697}","{""region"":""Unknown"",""percentage"":0.000186},{""region"":""Southern District"",""percentage"":0.115523},{""region"":""Central District"",""percentage"":0.302527},{""region"":""Northern District"",""percentage"":0.092728},{""region"":""Heifa"",""percentage"":0.127602},{""region"":""Tel Aviv"",""percentage"":0.302775},{""region"":""Jerusalem"",""percentage"":0.05866}","facebook,instagram","lower_bound: 50001, upper_bound: 100000",he
591191003065955,113172981678041,הביתה,2023-03-29,2023-03-29,2023-04-09,הביתה,"הממשלה חשפה את התכנית האמיתית - להקים פה משטר עריצות דיקטטורי. יש רק דרך אחת לדאוג שהם לא יגשימו את ההמזימה הזאת: מיליון אזרחים קוראים לנשיא לפזר את הכנסת ולהעיף את הממשלה הביתה.
https://no-dictator.co.il/","חתמו עכשיו ונשלח אותם הביתה>>",no-dictator.co.il,"עכשיו כבר ברור: יש רק דרך אחת למחוק אחת ולתמיד את הדיקטטורה – לא להקפיא, לא לעצור, לא לדחות – להפיל את הממשלה הרודנית הזאת. עכשיו!","lower_bound: 25000, upper_bound: 29999","lower_bound: 2000, upper_bound: 2499",ILS,"{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.003781},{""age"":""18-24"",""gender"":""male"",""percentage"":0.024746},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.001512},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.003231},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.002543},{""age"":""65+"",""gender"":""male"",""percentage"":0.043992},{""age"":""45-54"",""gender"":""male"",""percentage"":0.074443},{""age"":""55-64"",""gender"":""male"",""percentage"":0.053134},{""age"":""25-34"",""gender"":""male"",""percentage"":0.107094},{""age"":""55-64"",""gender"":""female"",""percentage"":0.108881},{""age"":""35-44"",""gender"":""male"",""percentage"":0.080148},{""age"":""65+"",""gender"":""female"",""percentage"":0.087366},{""age"":""25-34"",""gender"":""female"",""percentage"":0.127646},{""age"":""35-44"",""gender"":""female"",""percentage"":0.107575},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.004124},{""age"":""45-54"",""gender"":""female"",""percentage"":0.134383},{""age"":""18-24"",""gender"":""female"",""percentage"":0.034919},{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.000481}","{""region"":""Unknown"",""percentage"":0.000402},{""region"":""Southern District"",""percentage"":0.089525},{""region"":""Central District"",""percentage"":0.302441},{""region"":""Northern District"",""percentage"":0.089257},{""region"":""Heifa"",""percentage"":0.129627},{""region"":""Tel Aviv"",""percentage"":0.327454},{""region"":""Jerusalem"",""percentage"":0.061293}","facebook,instagram","lower_bound: 50001, upper_bound: 100000",
1262224624644767,113172981678041,הביתה,2023-03-29,2023-03-30,2023-04-09,הביתה,"אין אמון בממשלת ההפיכה!
https://no-dictator.co.il/","חתמו ונשלח אותם הביתה>>",no-dictator.co.il,"עכשיו כבר ברור: יש רק דרך אחת למחוק אחת ולתמיד את הדיקטטורה – לא להקפיא, לא לעצור, לא לדחות – להפיל את הממשלה הרודנית הזאת. עכשיו!","lower_bound: 60000, upper_bound: 69999","lower_bound: 4500, upper_bound: 4999",ILS,"{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.002794},{""age"":""18-24"",""gender"":""female"",""percentage"":0.025859},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.006909},{""age"":""45-54"",""gender"":""female"",""percentage"":0.102977},{""age"":""65+"",""gender"":""female"",""percentage"":0.182534},{""age"":""35-44"",""gender"":""female"",""percentage"":0.066602},{""age"":""55-64"",""gender"":""female"",""percentage"":0.124314},{""age"":""45-54"",""gender"":""male"",""percentage"":0.090988},{""age"":""55-64"",""gender"":""male"",""percentage"":0.094239},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.00066},{""age"":""25-34"",""gender"":""male"",""percentage"":0.044859},{""age"":""35-44"",""gender"":""male"",""percentage"":0.062436},{""age"":""25-34"",""gender"":""female"",""percentage"":0.046027},{""age"":""18-24"",""gender"":""male"",""percentage"":0.021845},{""age"":""65+"",""gender"":""male"",""percentage"":0.116592},{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.000406},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.004979},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.004979}","{""region"":""Unknown"",""percentage"":5.0e-5},{""region"":""Southern District"",""percentage"":0.079407},{""region"":""Central District"",""percentage"":0.28919},{""region"":""Northern District"",""percentage"":0.110599},{""region"":""Heifa"",""percentage"":0.127372},{""region"":""Tel Aviv"",""percentage"":0.321985},{""region"":""Jerusalem"",""percentage"":0.071396}","facebook,instagram","lower_bound: 100001, upper_bound: 500000",he
1818645758506751,113172981678041,הביתה,2023-03-29,2023-03-29,2023-04-09,הביתה,"הממשלה חשפה את התכנית האמיתית - להקים פה משטר עריצות דיקטטורי. יש רק דרך אחת לדאוג שהם לא יגשימו את ההמזימה הזאת: מיליון אזרחים קוראים לנשיא לפזר את הכנסת ולהעיף את הממשלה הביתה.
https://no-dictator.co.il/","חתמו עכשיו ונשלח אותם הביתה>>",no-dictator.co.il,"עכשיו כבר ברור: יש רק דרך אחת למחוק אחת ולתמיד את הדיקטטורה – לא להקפיא, לא לעצור, לא לדחות – להפיל את הממשלה הרודנית הזאת. עכשיו!","lower_bound: 60000, upper_bound: 69999","lower_bound: 5000, upper_bound: 5999",ILS,"{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.000355},{""age"":""35-44"",""gender"":""female"",""percentage"":0.049789},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.008572},{""age"":""25-34"",""gender"":""male"",""percentage"":0.028159},{""age"":""18-24"",""gender"":""female"",""percentage"":0.017322},{""age"":""18-24"",""gender"":""male"",""percentage"":0.011903},{""age"":""25-34"",""gender"":""female"",""percentage"":0.029403},{""age"":""55-64"",""gender"":""male"",""percentage"":0.100822},{""age"":""45-54"",""gender"":""male"",""percentage"":0.080435},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.002487},{""age"":""35-44"",""gender"":""male"",""percentage"":0.043393},{""age"":""65+"",""gender"":""male"",""percentage"":0.141506},{""age"":""45-54"",""gender"":""female"",""percentage"":0.103709},{""age"":""55-64"",""gender"":""female"",""percentage"":0.143993},{""age"":""65+"",""gender"":""female"",""percentage"":0.227448},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.005507},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.000622},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.004575}","{""region"":""Unknown"",""percentage"":4.4e-5},{""region"":""Southern District"",""percentage"":0.075465},{""region"":""Central District"",""percentage"":0.296539},{""region"":""Northern District"",""percentage"":0.115265},{""region"":""Heifa"",""percentage"":0.142003},{""region"":""Tel Aviv"",""percentage"":0.302828},{""region"":""Jerusalem"",""percentage"":0.067857}","facebook,instagram","lower_bound: 100001, upper_bound: 500000",
713123690551750,113172981678041,הביתה,2023-03-29,2023-03-29,2023-04-09,הביתה,"הממשלה חשפה את התכנית האמיתית - להקים פה משטר עריצות דיקטטורי. יש רק דרך אחת לדאוג שהם לא יגשימו את ההמזימה הזאת: מיליון אזרחים קוראים לנשיא לפזר את הכנסת ולהעיף את הממשלה הביתה.
https://no-dictator.co.il/","חתמו עכשיו ונשלח אותם הביתה>>",no-dictator.co.il,"עכשיו כבר ברור: יש רק דרך אחת למחוק אחת ולתמיד את הדיקטטורה – לא להקפיא, לא לעצור, לא לדחות – להפיל את הממשלה הרודנית הזאת. עכשיו!","lower_bound: 100000, upper_bound: 124999","lower_bound: 8000, upper_bound: 8999",ILS,"{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.004363},{""age"":""18-24"",""gender"":""female"",""percentage"":0.028325},{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.00058},{""age"":""65+"",""gender"":""male"",""percentage"":0.134126},{""age"":""65+"",""gender"":""female"",""percentage"":0.172853},{""age"":""35-44"",""gender"":""female"",""percentage"":0.059767},{""age"":""18-24"",""gender"":""male"",""percentage"":0.027637},{""age"":""25-34"",""gender"":""female"",""percentage"":0.064538},{""age"":""55-64"",""gender"":""female"",""percentage"":0.0983},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.003804},{""age"":""45-54"",""gender"":""female"",""percentage"":0.082934},{""age"":""35-44"",""gender"":""male"",""percentage"":0.068556},{""age"":""55-64"",""gender"":""male"",""percentage"":0.087705},{""age"":""45-54"",""gender"":""male"",""percentage"":0.079366},{""age"":""25-34"",""gender"":""male"",""percentage"":0.074724},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.004277},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.006641},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.001504}","{""region"":""Unknown"",""percentage"":6.4e-5},{""region"":""Southern District"",""percentage"":0.073378},{""region"":""Central District"",""percentage"":0.275277},{""region"":""Northern District"",""percentage"":0.118471},{""region"":""Heifa"",""percentage"":0.134557},{""region"":""Tel Aviv"",""percentage"":0.323409},{""region"":""Jerusalem"",""percentage"":0.074844}","facebook,instagram","lower_bound: 100001, upper_bound: 500000",
755753592859154,113172981678041,הביתה,2023-03-29,2023-03-29,2023-04-09,הביתה,"אין אמון בממשלת ההפיכה!
https://no-dictator.co.il/","חתמו ונשלח אותם הביתה>>",no-dictator.co.il,"עכשיו כבר ברור: יש רק דרך אחת למחוק אחת ולתמיד את הדיקטטורה – לא להקפיא, לא לעצור, לא לדחות – להפיל את הממשלה הרודנית הזאת. עכשיו!","lower_bound: 150000, upper_bound: 174999","lower_bound: 10000, upper_bound: 14999",ILS,"{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.001908},{""age"":""35-44"",""gender"":""female"",""percentage"":0.064759},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.003565},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.004591},{""age"":""65+"",""gender"":""female"",""percentage"":0.1158},{""age"":""35-44"",""gender"":""male"",""percentage"":0.084059},{""age"":""45-54"",""gender"":""female"",""percentage"":0.076804},{""age"":""25-34"",""gender"":""male"",""percentage"":0.118087},{""age"":""55-64"",""gender"":""male"",""percentage"":0.076894},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.004285},{""age"":""25-34"",""gender"":""female"",""percentage"":0.092305},{""age"":""18-24"",""gender"":""male"",""percentage"":0.04708},{""age"":""65+"",""gender"":""male"",""percentage"":0.093637},{""age"":""55-64"",""gender"":""female"",""percentage"":0.073887},{""age"":""45-54"",""gender"":""male"",""percentage"":0.089299},{""age"":""18-24"",""gender"":""female"",""percentage"":0.049222},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.003007},{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.00081}","{""region"":""Southern District"",""percentage"":0.083608},{""region"":""Central District"",""percentage"":0.272818},{""region"":""Northern District"",""percentage"":0.115964},{""region"":""Heifa"",""percentage"":0.121397},{""region"":""Tel Aviv"",""percentage"":0.325392},{""region"":""Jerusalem"",""percentage"":0.080717},{""region"":""Unknown"",""percentage"":0.000104}","facebook,instagram","lower_bound: 100001, upper_bound: 500000",
