ad_archive_id,page_id,page_name,ad_creation_time,ad_delivery_start_time,ad_delivery_stop_time,byline,ad_creative_bodies,ad_creative_link_titles,ad_creative_link_captions,ad_creative_link_descriptions,impressions,spend,currency,demographic_distribution,delivery_by_region,publisher_platforms,estimated_audience_size,languages
856224870333818,175285029214345,"הציונות הדתית",2025-12-22,2025-12-22,2025-12-24,"הציונות הדתית","חמאס יצא בכרוז רשמי נגד סמוטריץ׳.
וואלה, עוד רגע יאשימו אותנו בקבלת סיקור אוהד",,,,"lower_bound: 100000, upper_bound: 124999","lower_bound: 1500, upper_bound: 1999",ILS,"{""age"":""18-24"",""gender"":""female"",""__umapi_query_id"":""xamsx9ie7ikyhgu6leye"",""percentage"":0.006868},{""age"":""45-54"",""gender"":""male"",""percentage"":0.10164},{""age"":""65+"",""gender"":""male"",""percentage"":0.040318},{""age"":""65+"",""gender"":""female"",""percentage"":0.027973},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.000703},{""age"":""55-64"",""gender"":""male"",""percentage"":0.057423},{""age"":""55-64"",""gender"":""female"",""percentage"":0.023629},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.002323},{""age"":""45-54"",""gender"":""female"",""percentage"":0.021263},{""age"":""18-24"",""gender"":""male"",""percentage"":0.07718},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.004101},{""age"":""35-44"",""gender"":""male"",""percentage"":0.213288},{""age"":""35-44"",""gender"":""female"",""percentage"":0.020388},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.001233},{""age"":""25-34"",""gender"":""male"",""percentage"":0.375505},{""age"":""25-34"",""gender"":""female"",""percentage"":0.025306},{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.000244},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.000617}","{""region"":""Central District"",""__umapi_query_id"":""9qte3vqrp5izzscj6sjr"",""percentage"":0.291563},{""region"":""Heifa"",""percentage"":0.104019},{""region"":""Jerusalem"",""percentage"":0.134236},{""region"":""Northern District"",""percentage"":0.142847},{""region"":""Southern District"",""percentage"":0.177605},{""region"":""Tel Aviv"",""percentage"":0.14973}",facebook,"lower_bound: 100001, upper_bound: 500000",he
915355787489831,175285029214345,"הציונות הדתית",2025-12-16,2025-12-16,2025-12-17,"הציונות הדתית","חוק החניונים של לזימי הוא חוק גרוע, שלא היה צריך לעבור.
ולכן כבר אתמול, שבועיים בלבד אחרי שהחוק נכנס לתוקף וגרם לעליית מחירים מטאורית, שר האוצר נפגש עם בעלי החניונים הגדולים וסיכם איתם על הצעת חוק ממשלתית לביטול החוק -  בתמורה להתחייבות להורדת מחירי החניה בחזרה לקדמותם.
למעשה, בחלק מהחניונים המחיר כבר ירד!

אחלה סמוטריץ'.
ככה עובדים. נשארים קשובים לשטח ופועלים במהירות.",,,,"lower_bound: 20000, upper_bound: 24999","lower_bound: 700, upper_bound: 799",ILS,"{""age"":""18-24"",""gender"":""female"",""__umapi_query_id"":""tiynxuc1ejvf1chci98n"",""percentage"":0.053163},{""age"":""45-54"",""gender"":""male"",""percentage"":0.041879},{""age"":""65+"",""gender"":""male"",""percentage"":0.017403},{""age"":""65+"",""gender"":""female"",""percentage"":0.01931},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.000477},{""age"":""55-64"",""gender"":""male"",""percentage"":0.027813},{""age"":""55-64"",""gender"":""female"",""percentage"":0.02829},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.000954},{""age"":""45-54"",""gender"":""female"",""percentage"":0.030674},{""age"":""18-24"",""gender"":""male"",""percentage"":0.377861},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.00143},{""age"":""35-44"",""gender"":""male"",""percentage"":0.08487},{""age"":""35-44"",""gender"":""female"",""percentage"":0.027575},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.001669},{""age"":""25-34"",""gender"":""male"",""percentage"":0.233948},{""age"":""25-34"",""gender"":""female"",""percentage"":0.046488},{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.00596},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.000238}","{""region"":""Central District"",""__umapi_query_id"":""zzs0rkbfdgbm4hepstvb"",""percentage"":0.288948},{""region"":""Heifa"",""percentage"":0.109888},{""region"":""Jerusalem"",""percentage"":0.130247},{""region"":""Northern District"",""percentage"":0.113347},{""region"":""Southern District"",""percentage"":0.212388},{""region"":""Tel Aviv"",""percentage"":0.145182}",instagram,"lower_bound: 100001, upper_bound: 500000",he
1221423706577553,175285029214345,"הציונות הדתית",2025-12-16,2025-12-16,2025-12-18,"הציונות הדתית","חוק החניונים של לזימי הוא חוק גרוע, שלא היה צריך לעבור.
ולכן כבר אתמול, שבועיים בלבד אחרי שהחוק נכנס לתוקף וגרם לעליית מחירים מטאורית, שר האוצר נפגש עם בעלי החניונים הגדולים וסיכם איתם על הצעת חוק ממשלתית לביטול החוק -  בתמורה להתחייבות להורדת מחירי החניה בחזרה לקדמותם.
למעשה, בחלק מהחניונים המחיר כבר ירד!

אחלה סמוטריץ'.
ככה עובדים. נשארים קשובים לשטח ופועלים במהירות.",,,,"lower_bound: 80000, upper_bound: 89999","lower_bound: 1500, upper_bound: 1999",ILS,"{""age"":""18-24"",""gender"":""female"",""__umapi_query_id"":""v6mzsh5ee6em6rd8jbg3"",""percentage"":0.006374},{""age"":""45-54"",""gender"":""male"",""percentage"":0.110697},{""age"":""65+"",""gender"":""male"",""percentage"":0.084518},{""age"":""65+"",""gender"":""female"",""percentage"":0.066431},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.001035},{""age"":""55-64"",""gender"":""male"",""percentage"":0.085677},{""age"":""55-64"",""gender"":""female"",""percentage"":0.040293},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.002297},{""age"":""45-54"",""gender"":""female"",""percentage"":0.028518},{""age"":""18-24"",""gender"":""male"",""percentage"":0.066327},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.003063},{""age"":""35-44"",""gender"":""male"",""percentage"":0.164773},{""age"":""35-44"",""gender"":""female"",""percentage"":0.021647},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.00118},{""age"":""25-34"",""gender"":""male"",""percentage"":0.29153},{""age"":""25-34"",""gender"":""female"",""percentage"":0.024172},{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.000207},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.001262}","{""region"":""Central District"",""__umapi_query_id"":""k7pxg8weuu11srteqewu"",""percentage"":0.293734},{""region"":""Heifa"",""percentage"":0.101599},{""region"":""Jerusalem"",""percentage"":0.128584},{""region"":""Northern District"",""percentage"":0.146259},{""region"":""Southern District"",""percentage"":0.167868},{""region"":""Tel Aviv"",""percentage"":0.161956}",facebook,"lower_bound: 100001, upper_bound: 500000",he
1157658893023861,175285029214345,"הציונות הדתית",2025-12-07,2025-12-07,2025-12-09,"הציונות הדתית",,"למה רפורמת החלב של סמוטריץ' תחזק את ישראל?",srugim.co.il,"רפורמת החלב תביא להוזלה של 20% בסל הקניות של מוצרי חלב ולחיסכון של מאות שקלים עבור כל משפחה ישראלים. אז מי עומד מאחורי הקמפיין האגרסיבי נגדה ואיך...","lower_bound: 100000, upper_bound: 124999","lower_bound: 1000, upper_bound: 1499",ILS,"{""age"":""18-24"",""gender"":""female"",""__umapi_query_id"":""cnzsr89rbognzjk3u9gx"",""percentage"":0.061578},{""age"":""45-54"",""gender"":""male"",""percentage"":0.052008},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.000118},{""age"":""65+"",""gender"":""male"",""percentage"":0.016548},{""age"":""65+"",""gender"":""female"",""percentage"":0.02869},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.000296},{""age"":""55-64"",""gender"":""male"",""percentage"":0.027438},{""age"":""55-64"",""gender"":""female"",""percentage"":0.026926},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.001025},{""age"":""45-54"",""gender"":""female"",""percentage"":0.030621},{""age"":""18-24"",""gender"":""male"",""percentage"":0.106795},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.002868},{""age"":""35-44"",""gender"":""male"",""percentage"":0.141152},{""age"":""35-44"",""gender"":""female"",""percentage"":0.051643},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.001459},{""age"":""25-34"",""gender"":""male"",""percentage"":0.34196},{""age"":""25-34"",""gender"":""female"",""percentage"":0.108067},{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.000798},{""age"":""Unknown"",""gender"":""male"",""percentage"":1.0e-5}","{""region"":""Central District"",""__umapi_query_id"":""p9q749p292xtkeabgj7d"",""percentage"":0.238141},{""region"":""Heifa"",""percentage"":0.12379},{""region"":""Jerusalem"",""percentage"":0.113876},{""region"":""Northern District"",""percentage"":0.200285},{""region"":""Southern District"",""percentage"":0.190677},{""region"":""Tel Aviv"",""percentage"":0.13323}","facebook,instagram","lower_bound: 100001, upper_bound: 500000",he
3628145007327632,175285029214345,"הציונות הדתית",2025-12-05,2025-12-05,2025-12-09,"הציונות הדתית","שמחה רוטמן העביר השבוע בוועדת חוקה את החוק ה-100!

אבל יותר מהכמות - איזה חוקים אלה!
100 חוקים ותיקונים שכולם לטובת האזרח, הורדת בירוקרטיה ותיקון מערכת המשפט.

למתקדמים, הנה טעימה קטנה:
1. שמנו סוף לאבסורד - השופטים כבר לא ממנים את נציב התלונות שאחראי עליהם.
2. הכנסת הזיהוי הביומטרי, הקליל והמאובטח, לעוד ועוד שירותים ממשלתיים 
3. מניעת מימון עורך דין על ידי המדינה למחבלים. כן, מה ששמעתם, במשך שנים המדינה מימנה מחבלים.
4. מתן גישה לתוכן דיגיטלי לאחר פטירתו של אדם - מקבלים גישה לזכרונות, התמונות, החיים של אלה שאיבדנו.
5. חוק המאבק בהלבנת ההון - שכבר הגדיל את הכנסות המדינה.
6. הפחתת דמי החבר של לשכת עורכי הדין.
7. סיוע משפטי מסובסד לקשישים.
8. הכנסת ענישה לצרכני תוכן טרור באופן שיטתי לחוק המאבק בטרור
ועוד ועוד ועוד.

100 חוקים של עשייה טובה למען עם ישראל.

אחלה רוטמן!",,,,"lower_bound: 50000, upper_bound: 59999","lower_bound: 1500, upper_bound: 1999",ILS,"{""age"":""18-24"",""gender"":""female"",""__umapi_query_id"":""n2p4wdb3ir31uwzbpnui"",""percentage"":0.00148},{""age"":""45-54"",""gender"":""male"",""percentage"":0.115391},{""age"":""65+"",""gender"":""male"",""percentage"":0.217717},{""age"":""65+"",""gender"":""female"",""percentage"":0.212794},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.001802},{""age"":""55-64"",""gender"":""male"",""percentage"":0.152106},{""age"":""55-64"",""gender"":""female"",""percentage"":0.088973},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.002059},{""age"":""45-54"",""gender"":""female"",""percentage"":0.039837},{""age"":""18-24"",""gender"":""male"",""percentage"":0.008656},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.001963},{""age"":""35-44"",""gender"":""male"",""percentage"":0.074074},{""age"":""35-44"",""gender"":""female"",""percentage"":0.016282},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.00045},{""age"":""25-34"",""gender"":""male"",""percentage"":0.051678},{""age"":""25-34"",""gender"":""female"",""percentage"":0.011777},{""age"":""18-24"",""gender"":""unknown"",""percentage"":9.7e-5},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.002864}","{""region"":""Central District"",""__umapi_query_id"":""fgeadc2vwxu7h1yc4aaf"",""percentage"":0.299438},{""region"":""Heifa"",""percentage"":0.114957},{""region"":""Jerusalem"",""percentage"":0.106142},{""region"":""Northern District"",""percentage"":0.119414},{""region"":""Southern District"",""percentage"":0.152254},{""region"":""Tel Aviv"",""percentage"":0.207795}",facebook,"lower_bound: 100001, upper_bound: 500000",he
879396124589636,175285029214345,"הציונות הדתית",2025-11-20,2025-11-20,2025-11-23,"הציונות הדתית","פותחים את השוק ומורידים מחירים!
הנה כל מה שאתם צריכים לדעת על רפורמת החלב של סמוטריץ’:

למה צריך בכלל רפורמה?
כי גבינה צהובה לא אמורה לעלות 90 ש”ח לקילו.
כי כשאין תחרות האזרחים משלמים הרבה יותר.

האם המחירים באמת ירדו?
חד משמעית. כיום שוק החלב נשלט על ידי 2 תאגידי ענק (אחד מהם בכלל בשליטה סינית).
הדרך היחידה להילחם ביוקר המחייה היא להגדיל תחרות ולהוריד חסמים - וזה בדיוק מה שהרפורמה עושה. מפרקת את המונופול ופותחת את השוק לייבוא נוסף שיגדיל תחרות ויוזיל מחירים.

אתם לא מפחדים שהעצמאות התזונאית של המדינה תיפגע?
להיפך. רוב החלב ימשיך להיות מיוצר בישראל עם הגנה אפקטיבית לענף. בנוסף הגדלה ופיזור מקורות המזון של ישראל מגדילים את החוסן בשעת חירום ומגדילים את היציבות בשעות משבר ומלחמה. 

ראיתי שיש קמפיין חזק נגד המהלך, שטוען שהרפורמה תפגע בשוק החלב הישראלי, זה נכון?
השוק היום נשלט במונופול על ידי 2 תאגידי ענק, הגיוני שהם לא ירצו שיזיזו להם את הגבינה ויכנסו שחקנים נוספים למגרש. לא להתרגש.

ומה לגבי הרפתנים?
הרפתנים המסורים הם הלב הפועם של הענף. הם לא חלק מהבעיה, הם חלק מהפתרון. כחלק מהרפורמה הרפתנים יוכלו לקבל תמריצים שונים, במיוחד בפריפריה, נעזור להם לגדול ולשגשג ומי שירצה לצאת החוצה יצא בכבוד. בנוסף - במהלך היסטורי, נבטל את מגבלת הייצור שמנעה מרפתות יעילות לגדול. כל אחד ייצר כמה שהוא יכול- וזה יביא לשגשוג.",,,,"lower_bound: 3000, upper_bound: 3999","lower_bound: 300, upper_bound: 399",ILS,"{""age"":""18-24"",""gender"":""female"",""__umapi_query_id"":""vq5ow3lxaqkd6ewfe9u1"",""percentage"":0.02866},{""age"":""45-54"",""gender"":""female"",""percentage"":0.045855},{""age"":""65+"",""gender"":""female"",""percentage"":0.067019},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.000882},{""age"":""55-64"",""gender"":""male"",""percentage"":0.067019},{""age"":""55-64"",""gender"":""female"",""percentage"":0.063051},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.001764},{""age"":""45-54"",""gender"":""male"",""percentage"":0.078042},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.000882},{""age"":""18-24"",""gender"":""male"",""percentage"":0.224427},{""age"":""35-44"",""gender"":""male"",""percentage"":0.100088},{""age"":""35-44"",""gender"":""female"",""percentage"":0.031746},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.001764},{""age"":""25-34"",""gender"":""male"",""percentage"":0.195326},{""age"":""25-34"",""gender"":""female"",""percentage"":0.044533},{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.003086},{""age"":""65+"",""gender"":""male"",""percentage"":0.045855}","{""region"":""Central District"",""__umapi_query_id"":""o42tj4npi7sqh1c16gth"",""percentage"":0.274968},{""region"":""Heifa"",""percentage"":0.123649},{""region"":""Jerusalem"",""percentage"":0.111976},{""region"":""Northern District"",""percentage"":0.129702},{""region"":""Southern District"",""percentage"":0.19585},{""region"":""Tel Aviv"",""percentage"":0.163424},{""region"":""Unknown"",""percentage"":0.000432}",instagram,"lower_bound: 100001, upper_bound: 500000",he
814941907980565,175285029214345,"הציונות הדתית",2025-11-20,2025-11-20,2025-11-24,"הציונות הדתית","פותחים את השוק ומורידים מחירים!
הנה כל מה שאתם צריכים לדעת על רפורמת החלב של סמוטריץ':

למה צריך בכלל רפורמה?
כי גבינה צהובה לא אמורה לעלות 90 ש""ח לקילו.
כי כשאין תחרות האזרחים משלמים הרבה יותר.

האם המחירים באמת ירדו?
חד משמעית. כיום שוק החלב נשלט על ידי 2 תאגידי ענק (אחד מהם בכלל בשליטה סינית).
הדרך היחידה להילחם ביוקר המחייה היא להגדיל תחרות ולהוריד חסמים - וזה בדיוק מה שהרפורמה עושה. מפרקת את המונופול ופותחת את השוק לייבוא נוסף שיגדיל תחרות ויוזיל מחירים.

אתם לא מפחדים שהעצמאות התזונאית של המדינה תיפגע?
להיפך. רוב החלב ימשיך להיות מיוצר בישראל עם הגנה אפקטיבית לענף. בנוסף הגדלה ופיזור מקורות המזון של ישראל מגדילים את החוסן בשעת חירום ומגדילים את היציבות בשעות משבר ומלחמה. 

ראיתי שיש קמפיין חזק נגד המהלך, שטוען שהרפורמה תפגע בשוק החלב הישראלי, זה נכון?
השוק היום נשלט במונופול על ידי 2 תאגידי ענק, הגיוני שהם לא ירצו שיזיזו להם את הגבינה ויכנסו שחקנים נוספים למגרש. לא להתרגש.

ומה לגבי הרפתנים?
הרפתנים המסורים הם הלב הפועם של הענף. הם לא חלק מהבעיה, הם חלק מהפתרון. כחלק מהרפורמה הרפתנים יוכלו לקבל תמריצים שונים, במיוחד בפריפריה, נעזור להם לגדול ולשגשג ומי שירצה לצאת החוצה יצא בכבוד. בנוסף - במהלך היסטורי, נבטל את מגבלת הייצור שמנעה מרפתות יעילות לגדול. כל אחד ייצר כמה שהוא יכול- וזה יביא לשגשוג.",,,,"lower_bound: 35000, upper_bound: 39999","lower_bound: 1000, upper_bound: 1499",ILS,"{""age"":""18-24"",""gender"":""female"",""__umapi_query_id"":""07uyuazoo1qlpn915aja"",""percentage"":0.003677},{""age"":""45-54"",""gender"":""male"",""percentage"":0.116303},{""age"":""65+"",""gender"":""male"",""percentage"":0.182594},{""age"":""65+"",""gender"":""female"",""percentage"":0.200147},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.001079},{""age"":""55-64"",""gender"":""male"",""percentage"":0.124736},{""age"":""55-64"",""gender"":""female"",""percentage"":0.074724},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.002059},{""age"":""45-54"",""gender"":""female"",""percentage"":0.038147},{""age"":""18-24"",""gender"":""male"",""percentage"":0.023829},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.002354},{""age"":""35-44"",""gender"":""male"",""percentage"":0.100025},{""age"":""35-44"",""gender"":""female"",""percentage"":0.022947},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.00049},{""age"":""25-34"",""gender"":""male"",""percentage"":0.086198},{""age"":""25-34"",""gender"":""female"",""percentage"":0.017455},{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.000245},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.002991}","{""region"":""Central District"",""__umapi_query_id"":""5lnq36e37tgfjng3grat"",""percentage"":0.256878},{""region"":""Heifa"",""percentage"":0.120575},{""region"":""Jerusalem"",""percentage"":0.144286},{""region"":""Northern District"",""percentage"":0.130531},{""region"":""Southern District"",""percentage"":0.160494},{""region"":""Tel Aviv"",""percentage"":0.187187},{""region"":""Unknown"",""percentage"":4.8e-5}",facebook,"lower_bound: 100001, upper_bound: 500000",he
1387545896255630,175285029214345,"הציונות הדתית",2025-11-20,2025-11-20,2025-11-24,"הציונות הדתית","פותחים את השוק ומורידים מחירים!
הנה כל מה שאתם צריכים לדעת על רפורמת החלב של סמוטריץ':

למה צריך בכלל רפורמה?
כי גבינה צהובה לא אמורה לעלות 90 ש""ח לקילו.
כי כשאין תחרות האזרחים משלמים הרבה יותר.

האם המחירים באמת ירדו?
חד משמעית. כיום שוק החלב נשלט על ידי 2 תאגידי ענק (אחד מהם בכלל בשליטה סינית).
הדרך היחידה להילחם ביוקר המחייה היא להגדיל תחרות ולהוריד חסמים - וזה בדיוק מה שהרפורמה עושה. מפרקת את המונופול ופותחת את השוק לייבוא נוסף שיגדיל תחרות ויוזיל מחירים.

אתם לא מפחדים שהעצמאות התזונאית של המדינה תיפגע?
להיפך. רוב החלב ימשיך להיות מיוצר בישראל עם הגנה אפקטיבית לענף. בנוסף הגדלה ופיזור מקורות המזון של ישראל מגדילים את החוסן בשעת חירום ומגדילים את היציבות בשעות משבר ומלחמה. 

ראיתי שיש קמפיין חזק נגד המהלך, שטוען שהרפורמה תפגע בשוק החלב הישראלי, זה נכון?
השוק היום נשלט במונופול על ידי 2 תאגידי ענק, הגיוני שהם לא ירצו שיזיזו להם את הגבינה ויכנסו שחקנים נוספים למגרש. לא להתרגש.

ומה לגבי הרפתנים?
הרפתנים המסורים הם הלב הפועם של הענף. הם לא חלק מהבעיה, הם חלק מהפתרון. כחלק מהרפורמה הרפתנים יוכלו לקבל תמריצים שונים, במיוחד בפריפריה, נעזור להם לגדול ולשגשג ומי שירצה לצאת החוצה יצא בכבוד. בנוסף - במהלך היסטורי, נבטל את מגבלת הייצור שמנעה מרפתות יעילות לגדול. כל אחד ייצר כמה שהוא יכול- וזה יביא לשגשוג.",,,,"lower_bound: 25000, upper_bound: 29999","lower_bound: 600, upper_bound: 699",ILS,"{""age"":""18-24"",""gender"":""female"",""__umapi_query_id"":""t4soo09ncxn6blucajsl"",""percentage"":0.013803},{""age"":""45-54"",""gender"":""male"",""percentage"":0.088575},{""age"":""65+"",""gender"":""male"",""percentage"":0.122447},{""age"":""65+"",""gender"":""female"",""percentage"":0.139459},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.00056},{""age"":""55-64"",""gender"":""male"",""percentage"":0.081699},{""age"":""55-64"",""gender"":""female"",""percentage"":0.055672},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.001375},{""age"":""45-54"",""gender"":""female"",""percentage"":0.036113},{""age"":""18-24"",""gender"":""male"",""percentage"":0.048694},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.001732},{""age"":""35-44"",""gender"":""male"",""percentage"":0.139867},{""age"":""35-44"",""gender"":""female"",""percentage"":0.039474},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.001019},{""age"":""25-34"",""gender"":""male"",""percentage"":0.180207},{""age"":""25-34"",""gender"":""female"",""percentage"":0.046758},{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.00056},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.001986}","{""region"":""Central District"",""__umapi_query_id"":""y2sl0rfgp9c9aamivk4f"",""percentage"":0.199593},{""region"":""Heifa"",""percentage"":0.119004},{""region"":""Jerusalem"",""percentage"":0.211077},{""region"":""Northern District"",""percentage"":0.149898},{""region"":""Southern District"",""percentage"":0.149492},{""region"":""Tel Aviv"",""percentage"":0.170833},{""region"":""Unknown"",""percentage"":0.000102}",facebook,"lower_bound: 1000001",he
1183008489879026,175285029214345,"הציונות הדתית",2025-11-19,2025-11-19,2025-11-21,"הציונות הדתית","מי שמשרת יותר משלם פחות!
לוחמי המילואים יקבלו הטבות מס של עד 1,000 ש""ח מדי חודש, ישירות לנטו, לאורך כל השנה 🇮🇱 🇮🇱",,,,"lower_bound: 40000, upper_bound: 44999","lower_bound: 1000, upper_bound: 1499",ILS,"{""age"":""18-24"",""gender"":""female"",""__umapi_query_id"":""pedlsnq997i0buciydxm"",""percentage"":0.007471},{""age"":""45-54"",""gender"":""male"",""percentage"":0.105725},{""age"":""65+"",""gender"":""male"",""percentage"":0.108032},{""age"":""65+"",""gender"":""female"",""percentage"":0.132991},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.001412},{""age"":""55-64"",""gender"":""male"",""percentage"":0.085826},{""age"":""55-64"",""gender"":""female"",""percentage"":0.066203},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.002892},{""age"":""45-54"",""gender"":""female"",""percentage"":0.046235},{""age"":""18-24"",""gender"":""male"",""percentage"":0.034152},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.003202},{""age"":""35-44"",""gender"":""male"",""percentage"":0.146246},{""age"":""35-44"",""gender"":""female"",""percentage"":0.032912},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.001377},{""age"":""25-34"",""gender"":""male"",""percentage"":0.190106},{""age"":""25-34"",""gender"":""female"",""percentage"":0.033188},{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.000138},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.001893}","{""region"":""Central District"",""__umapi_query_id"":""qs17ns9nfuohhgrhkcn9"",""percentage"":0.260668},{""region"":""Heifa"",""percentage"":0.127196},{""region"":""Jerusalem"",""percentage"":0.140798},{""region"":""Northern District"",""percentage"":0.133539},{""region"":""Southern District"",""percentage"":0.159623},{""region"":""Tel Aviv"",""percentage"":0.178177}",facebook,"lower_bound: 1000001",he
1221140300076891,175285029214345,"הציונות הדתית",2025-11-19,2025-11-19,2025-11-22,"הציונות הדתית","מי שמשרת יותר משלם פחות!
לוחמי המילואים יקבלו הטבות מס של עד 1,000 ש""ח מדי חודש, ישירות לנטו, לאורך כל השנה 🇮🇱 🇮🇱",,,,"lower_bound: 25000, upper_bound: 29999","lower_bound: 900, upper_bound: 999",ILS,"{""age"":""18-24"",""gender"":""female"",""__umapi_query_id"":""3qxie0vz1ru0081ko3z7"",""percentage"":0.005032},{""age"":""45-54"",""gender"":""male"",""percentage"":0.110606},{""age"":""65+"",""gender"":""male"",""percentage"":0.12803},{""age"":""65+"",""gender"":""female"",""percentage"":0.170725},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.001245},{""age"":""55-64"",""gender"":""male"",""percentage"":0.097186},{""age"":""55-64"",""gender"":""female"",""percentage"":0.080087},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.003247},{""age"":""45-54"",""gender"":""female"",""percentage"":0.051894},{""age"":""18-24"",""gender"":""male"",""percentage"":0.030519},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.002868},{""age"":""35-44"",""gender"":""male"",""percentage"":0.116288},{""age"":""35-44"",""gender"":""female"",""percentage"":0.029924},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.001136},{""age"":""25-34"",""gender"":""male"",""percentage"":0.142532},{""age"":""25-34"",""gender"":""female"",""percentage"":0.025974},{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.000325},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.002381}","{""region"":""Central District"",""__umapi_query_id"":""4ni58o5wyhv9fwkopfe7"",""percentage"":0.272517},{""region"":""Heifa"",""percentage"":0.123876},{""region"":""Jerusalem"",""percentage"":0.142127},{""region"":""Northern District"",""percentage"":0.12576},{""region"":""Southern District"",""percentage"":0.154186},{""region"":""Tel Aviv"",""percentage"":0.181534}",facebook,"lower_bound: 100001, upper_bound: 500000",he
