ad_archive_id,page_id,page_name,ad_creation_time,ad_delivery_start_time,ad_delivery_stop_time,byline,ad_creative_bodies,ad_creative_link_titles,ad_creative_link_captions,ad_creative_link_descriptions,impressions,spend,currency,demographic_distribution,delivery_by_region,publisher_platforms,estimated_audience_size,languages
4.74307E+14,1.63415E+14,מפלגת העבודה,04/08/2024,04/08/2024,11/08/2024,מפלגת העבודה,"ברגעים הקשים בתולדות המדינה, נשארנו לבד.  יתומים ממנהיגות.
ישראל זקוקה לחלופה לנתניהו ולא לעוד מאותו הדבר.

כדי לבנות מחנה דמוקרטי חזק ומנצח, לשלוח את ממשלת המחדל והכישלון הביתה ולהחזיר את ישראל לנתיב של תקווה, אנחנו חייבים אתכם/ן איתנו.

הדמוקרטים בראשות יאיר גולן היא המסגרת הפוליטית הרחבה והמאוחדת של כל הכוחות השותפים למחנה הליברלי-דמוקרטי הנלחמים על עתיד המדינה.

 
לחצו כדי להצטרף >>,ברגעים הקשים בתולדות המדינה, נשארנו לבד.  יתומים ממנהיגות.
ישראל זקוקה לחלופה לנתניהו ולא לעוד מאותו הדבר.

כדי לבנות מחנה דמוקרטי חזק ומנצח, לשלוח את ממשלת המחדל והכישלון הביתה ולהחזיר את ישראל לנתיב של תקווה, אנחנו חייבים אתכם/ן איתנו.

הדמוקרטים בראשות יאיר גולן היא המסגרת הפוליטית הרחבה והמאוחדת של כל הכוחות השותפים למחנה הליברלי-דמוקרטי הנלחמים על עתיד המדינה.

 
לחצו כדי להצטרף >>","לחצו כדי להצטרף לדמוקרטים בראשות יאיר גולן,לחצו כדי להצטרף לדמוקרטים בראשות יאיר גולן",democrats.org.il,,"lower_bound: 100, upper_bound: 999","lower_bound: 0, upper_bound: 99",ILS,"{""age"":""65+"",""gender"":""unknown"",""percentage"":0.003497},{""age"":""45-54"",""gender"":""female"",""percentage"":0.017483},{""age"":""18-24"",""gender"":""female"",""percentage"":0.013986},{""age"":""25-34"",""gender"":""female"",""percentage"":0.01049},{""age"":""25-34"",""gender"":""male"",""percentage"":0.020979},{""age"":""65+"",""gender"":""male"",""percentage"":0.300699},{""age"":""18-24"",""gender"":""male"",""percentage"":0.017483},{""age"":""45-54"",""gender"":""male"",""percentage"":0.024476},{""age"":""35-44"",""gender"":""male"",""percentage"":0.017483},{""age"":""65+"",""gender"":""female"",""percentage"":0.388112},{""age"":""55-64"",""gender"":""male"",""percentage"":0.087413},{""age"":""55-64"",""gender"":""female"",""percentage"":0.087413},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.003497},{""age"":""35-44"",""gender"":""female"",""percentage"":0.006993}","{""region"":""Central District"",""percentage"":0.225694},{""region"":""Jerusalem"",""percentage"":0.083333},{""region"":""Southern District"",""percentage"":0.041667},{""region"":""Northern District"",""percentage"":0.135417},{""region"":""Heifa"",""percentage"":0.15625},{""region"":""Tel Aviv"",""percentage"":0.357639}","facebook,instagram","lower_bound: 100001, upper_bound: 500000",he
1.15451E+15,1.63415E+14,מפלגת העבודה,04/08/2024,04/08/2024,11/08/2024,מפלגת העבודה,"ברגעים הקשים בתולדות המדינה, נשארנו לבד.  יתומים ממנהיגות.
ישראל זקוקה לחלופה לנתניהו ולא לעוד מאותו הדבר.

כדי לבנות מחנה דמוקרטי חזק ומנצח, לשלוח את ממשלת המחדל והכישלון הביתה ולהחזיר את ישראל לנתיב של תקווה, אנחנו חייבים אתכם/ן איתנו.

הדמוקרטים בראשות יאיר גולן היא המסגרת הפוליטית הרחבה והמאוחדת של כל הכוחות השותפים למחנה הליברלי-דמוקרטי הנלחמים על עתיד המדינה.

 
לחצו כדי להצטרף >>,ברגעים הקשים בתולדות המדינה, נשארנו לבד.  יתומים ממנהיגות.
ישראל זקוקה לחלופה לנתניהו ולא לעוד מאותו הדבר.

כדי לבנות מחנה דמוקרטי חזק ומנצח, לשלוח את ממשלת המחדל והכישלון הביתה ולהחזיר את ישראל לנתיב של תקווה, אנחנו חייבים אתכם/ן איתנו.

הדמוקרטים בראשות יאיר גולן היא המסגרת הפוליטית הרחבה והמאוחדת של כל הכוחות השותפים למחנה הליברלי-דמוקרטי הנלחמים על עתיד המדינה.

 
לחצו כדי להצטרף >>","לחצו כדי להצטרף לדמוקרטים בראשות יאיר גולן,לחצו כדי להצטרף לדמוקרטים בראשות יאיר גולן",democrats.org.il,,"lower_bound: 2000, upper_bound: 2999","lower_bound: 0, upper_bound: 99",ILS,"{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.000597},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.000597},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.005974},{""age"":""35-44"",""gender"":""male"",""percentage"":0.014934},{""age"":""18-24"",""gender"":""male"",""percentage"":0.025687},{""age"":""35-44"",""gender"":""female"",""percentage"":0.010155},{""age"":""55-64"",""gender"":""male"",""percentage"":0.063919},{""age"":""55-64"",""gender"":""female"",""percentage"":0.077658},{""age"":""65+"",""gender"":""male"",""percentage"":0.246117},{""age"":""25-34"",""gender"":""male"",""percentage"":0.025687},{""age"":""65+"",""gender"":""female"",""percentage"":0.434289},{""age"":""45-54"",""gender"":""female"",""percentage"":0.029271},{""age"":""25-34"",""gender"":""female"",""percentage"":0.016129},{""age"":""45-54"",""gender"":""male"",""percentage"":0.041219},{""age"":""18-24"",""gender"":""female"",""percentage"":0.005974},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.001792}","{""region"":""Southern District"",""percentage"":0.098489},{""region"":""Central District"",""percentage"":0.295468},{""region"":""Northern District"",""percentage"":0.115408},{""region"":""Heifa"",""percentage"":0.167372},{""region"":""Tel Aviv"",""percentage"":0.262236},{""region"":""Jerusalem"",""percentage"":0.061027}","facebook,instagram","lower_bound: 100001, upper_bound: 500000",he
2.28124E+15,1.63415E+14,מפלגת העבודה,04/08/2024,04/08/2024,11/08/2024,מפלגת העבודה,"ברגעים הקשים בתולדות המדינה, נשארנו לבד.  יתומים ממנהיגות.
ישראל זקוקה לחלופה לנתניהו ולא לעוד מאותו הדבר.

כדי לבנות מחנה דמוקרטי חזק ומנצח, לשלוח את ממשלת המחדל והכישלון הביתה ולהחזיר את ישראל לנתיב של תקווה, אנחנו חייבים אתכם/ן איתנו.

הדמוקרטים בראשות יאיר גולן היא המסגרת הפוליטית הרחבה והמאוחדת של כל הכוחות השותפים למחנה הליברלי-דמוקרטי הנלחמים על עתיד המדינה.

 
לחצו כדי להצטרף >>,ברגעים הקשים בתולדות המדינה, נשארנו לבד.  יתומים ממנהיגות.
ישראל זקוקה לחלופה לנתניהו ולא לעוד מאותו הדבר.

כדי לבנות מחנה דמוקרטי חזק ומנצח, לשלוח את ממשלת המחדל והכישלון הביתה ולהחזיר את ישראל לנתיב של תקווה, אנחנו חייבים אתכם/ן איתנו.

הדמוקרטים בראשות יאיר גולן היא המסגרת הפוליטית הרחבה והמאוחדת של כל הכוחות השותפים למחנה הליברלי-דמוקרטי הנלחמים על עתיד המדינה.

 
לחצו כדי להצטרף >>","לחצו כדי להצטרף לדמוקרטים בראשות יאיר גולן,לחצו כדי להצטרף לדמוקרטים בראשות יאיר גולן",democrats.org.il,,"lower_bound: 100, upper_bound: 999","lower_bound: 0, upper_bound: 99",ILS,"{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.001613},{""age"":""18-24"",""gender"":""male"",""percentage"":0.022581},{""age"":""45-54"",""gender"":""female"",""percentage"":0.019355},{""age"":""18-24"",""gender"":""female"",""percentage"":0.012903},{""age"":""45-54"",""gender"":""male"",""percentage"":0.016129},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.016129},{""age"":""55-64"",""gender"":""female"",""percentage"":0.093548},{""age"":""65+"",""gender"":""male"",""percentage"":0.241935},{""age"":""25-34"",""gender"":""male"",""percentage"":0.025806},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.001613},{""age"":""65+"",""gender"":""female"",""percentage"":0.419355},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.004839},{""age"":""25-34"",""gender"":""female"",""percentage"":0.012903},{""age"":""35-44"",""gender"":""female"",""percentage"":0.01129},{""age"":""55-64"",""gender"":""male"",""percentage"":0.08871},{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.001613},{""age"":""35-44"",""gender"":""male"",""percentage"":0.009677}","{""region"":""Southern District"",""percentage"":0.065495},{""region"":""Central District"",""percentage"":0.289137},{""region"":""Northern District"",""percentage"":0.099042},{""region"":""Heifa"",""percentage"":0.158147},{""region"":""Tel Aviv"",""percentage"":0.306709},{""region"":""Jerusalem"",""percentage"":0.08147}","facebook,instagram","lower_bound: 100001, upper_bound: 500000",he
4.82111E+14,1.63415E+14,מפלגת העבודה,04/08/2024,04/08/2024,09/08/2024,מפלגת העבודה,"ברגעים הקשים בתולדות המדינה, נשארנו בלי הנהגה.
ישראל זקוקה לחלופה לנתניהו ולא לעוד מאותו הדבר.

כדי לבנות מחנה ליברלי-דמוקרטי חזק ומנצח, לשלוח את ממשלת המחדל והכישלון הביתה ולהחזיר את ישראל לנתיב של תקווה וביטחון, מפלגת הדמוקרטים בראשות יאיר גולן חייבת את המועמדים הטובים והראויים ביותר ברשימה שלנו לכנסת.

התפקדו עכשיו וביחד נחליף את השלטון >>,ברגעים הקשים בתולדות המדינה, נשארנו בלי הנהגה.
ישראל זקוקה לחלופה לנתניהו ולא לעוד מאותו הדבר.

כדי לבנות מחנה ליברלי-דמוקרטי חזק ומנצח, לשלוח את ממשלת המחדל והכישלון הביתה ולהחזיר את ישראל לנתיב של תקווה וביטחון, מפלגת הדמוקרטים בראשות יאיר גולן חייבת את המועמדים הטובים והראויים ביותר ברשימה שלנו לכנסת.

התפקדו עכשיו וביחד נחליף את השלטון >>","לחצו והתפקדו למפלגת הדמוקרטים בראשות יאיר גולן,לחצו והתפקדו למפלגת הדמוקרטים בראשות יאיר גולן",members.haavoda.com,,"lower_bound: 100, upper_bound: 999","lower_bound: 0, upper_bound: 99",ILS,"{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.004049},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.004049},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.002024},{""age"":""18-24"",""gender"":""male"",""percentage"":0.030364},{""age"":""25-34"",""gender"":""female"",""percentage"":0.02834},{""age"":""18-24"",""gender"":""female"",""percentage"":0.006073},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.006073},{""age"":""35-44"",""gender"":""male"",""percentage"":0.05668},{""age"":""45-54"",""gender"":""female"",""percentage"":0.062753},{""age"":""55-64"",""gender"":""female"",""percentage"":0.087045},{""age"":""65+"",""gender"":""female"",""percentage"":0.198381},{""age"":""45-54"",""gender"":""male"",""percentage"":0.091093},{""age"":""55-64"",""gender"":""male"",""percentage"":0.121457},{""age"":""65+"",""gender"":""male"",""percentage"":0.202429},{""age"":""25-34"",""gender"":""male"",""percentage"":0.066802},{""age"":""35-44"",""gender"":""female"",""percentage"":0.032389}","{""region"":""Southern District"",""percentage"":0.084507},{""region"":""Central District"",""percentage"":0.275654},{""region"":""Northern District"",""percentage"":0.126761},{""region"":""Heifa"",""percentage"":0.136821},{""region"":""Tel Aviv"",""percentage"":0.293763},{""region"":""Jerusalem"",""percentage"":0.082495}","facebook,instagram","lower_bound: 10001, upper_bound: 50000",he
7.11285E+15,1.63415E+14,מפלגת העבודה,04/08/2024,04/08/2024,09/08/2024,מפלגת העבודה,"ברגעים הקשים בתולדות המדינה, נשארנו בלי הנהגה.
ישראל זקוקה לחלופה לנתניהו ולא לעוד מאותו הדבר.

כדי לבנות מחנה ליברלי-דמוקרטי חזק ומנצח, לשלוח את ממשלת המחדל והכישלון הביתה ולהחזיר את ישראל לנתיב של תקווה וביטחון, מפלגת הדמוקרטים בראשות יאיר גולן חייבת את המועמדים הטובים והראויים ביותר ברשימה שלנו לכנסת.

התפקדו עכשיו, השתתפו בבחירת הרשימה וביחד נחליף את השלטון >>,ברגעים הקשים בתולדות המדינה, נשארנו בלי הנהגה.
ישראל זקוקה לחלופה לנתניהו ולא לעוד מאותו הדבר.

כדי לבנות מחנה ליברלי-דמוקרטי חזק ומנצח, לשלוח את ממשלת המחדל והכישלון הביתה ולהחזיר את ישראל לנתיב של תקווה וביטחון, מפלגת הדמוקרטים בראשות יאיר גולן חייבת את המועמדים הטובים והראויים ביותר ברשימה שלנו לכנסת.

התפקדו עכשיו, השתתפו בבחירת הרשימה וביחד נחליף את השלטון >>","לחצו והתפקדו למפלגת הדמוקרטים בראשות יאיר גולן,לחצו והתפקדו למפלגת הדמוקרטים בראשות יאיר גולן",members.haavoda.com,,"lower_bound: 1000, upper_bound: 1999","lower_bound: 0, upper_bound: 99",ILS,"{""age"":""25-34"",""gender"":""female"",""percentage"":0.017986},{""age"":""18-24"",""gender"":""female"",""percentage"":0.007194},{""age"":""55-64"",""gender"":""female"",""percentage"":0.107914},{""age"":""65+"",""gender"":""female"",""percentage"":0.192446},{""age"":""45-54"",""gender"":""male"",""percentage"":0.086331},{""age"":""35-44"",""gender"":""male"",""percentage"":0.044964},{""age"":""45-54"",""gender"":""female"",""percentage"":0.066547},{""age"":""65+"",""gender"":""male"",""percentage"":0.239209},{""age"":""35-44"",""gender"":""female"",""percentage"":0.030576},{""age"":""55-64"",""gender"":""male"",""percentage"":0.124101},{""age"":""25-34"",""gender"":""male"",""percentage"":0.041367},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.010791},{""age"":""18-24"",""gender"":""male"",""percentage"":0.019784},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.003597},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.003597},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.003597}","{""region"":""Southern District"",""percentage"":0.078431},{""region"":""Central District"",""percentage"":0.270945},{""region"":""Northern District"",""percentage"":0.14795},{""region"":""Heifa"",""percentage"":0.142602},{""region"":""Tel Aviv"",""percentage"":0.269162},{""region"":""Jerusalem"",""percentage"":0.090909}","facebook,instagram","lower_bound: 10001, upper_bound: 50000",he
1.73E+15,1.63415E+14,מפלגת העבודה,04/08/2024,04/08/2024,12/08/2024,מפלגת העבודה,"ברגעים הקשים בתולדות המדינה, אין מי שיוביל אותה קדימה. אין בה מנהיגות.  אין לה חזון.

כדי לשלוח את ממשלת המחדל והכישלון הביתה ולהחזיר את ישראל לנתיב של תקווה, אנחנו חייבים אתכם/ן איתנו.

הדמוקרטים בראשות יאיר גולן היא המסגרת הפוליטית הרחבה והמאוחדת של כל הכוחות השותפים למחנה הליברלי-דמוקרטי הנלחמים על עתיד המדינה.
 
לחצו כדי להצטרף >>,ברגעים הקשים בתולדות המדינה, אין מי שיוביל אותה קדימה. אין בה מנהיגות.  אין לה חזון.

כדי לשלוח את ממשלת המחדל והכישלון הביתה ולהחזיר את ישראל לנתיב של תקווה, אנחנו חייבים אתכם/ן איתנו.

הדמוקרטים בראשות יאיר גולן היא המסגרת הפוליטית הרחבה והמאוחדת של כל הכוחות השותפים למחנה הליברלי-דמוקרטי הנלחמים על עתיד המדינה.
 
לחצו כדי להצטרף >>","לחצו כדי להצטרף לדמוקרטים בראשות יאיר גולן,לחצו כדי להצטרף לדמוקרטים בראשות יאיר גולן",democrats.org.il,,"lower_bound: 1000, upper_bound: 1999","lower_bound: 0, upper_bound: 99",ILS,"{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.00197},{""age"":""25-34"",""gender"":""female"",""percentage"":0.010506},{""age"":""35-44"",""gender"":""male"",""percentage"":0.007879},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.005909},{""age"":""35-44"",""gender"":""female"",""percentage"":0.008536},{""age"":""25-34"",""gender"":""male"",""percentage"":0.008536},{""age"":""18-24"",""gender"":""female"",""percentage"":0.003283},{""age"":""65+"",""gender"":""male"",""percentage"":0.346684},{""age"":""45-54"",""gender"":""male"",""percentage"":0.032173},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.001313},{""age"":""18-24"",""gender"":""male"",""percentage"":0.007879},{""age"":""45-54"",""gender"":""female"",""percentage"":0.022981},{""age"":""65+"",""gender"":""female"",""percentage"":0.356533},{""age"":""55-64"",""gender"":""male"",""percentage"":0.082075},{""age"":""55-64"",""gender"":""female"",""percentage"":0.084045},{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.000657},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.019041}","{""region"":""Southern District"",""percentage"":0.048652},{""region"":""Central District"",""percentage"":0.299145},{""region"":""Northern District"",""percentage"":0.113741},{""region"":""Heifa"",""percentage"":0.145299},{""region"":""Tel Aviv"",""percentage"":0.320842},{""region"":""Jerusalem"",""percentage"":0.072321}","facebook,instagram","lower_bound: 100001, upper_bound: 500000",he
1.03415E+15,1.63415E+14,מפלגת העבודה,04/08/2024,04/08/2024,12/08/2024,מפלגת העבודה,"ברגעים הקשים בתולדות המדינה, אין מי שיוביל אותה קדימה. אין בה מנהיגות.  אין לה חזון.

כדי לשלוח את ממשלת המחדל והכישלון הביתה ולהחזיר את ישראל לנתיב של תקווה, אנחנו חייבים אתכם/ן איתנו.

הדמוקרטים בראשות יאיר גולן היא המסגרת הפוליטית הרחבה והמאוחדת של כל הכוחות השותפים למחנה הליברלי-דמוקרטי הנלחמים על עתיד המדינה.
 
לחצו כדי להצטרף >>,ברגעים הקשים בתולדות המדינה, אין מי שיוביל אותה קדימה. אין בה מנהיגות.  אין לה חזון.

כדי לשלוח את ממשלת המחדל והכישלון הביתה ולהחזיר את ישראל לנתיב של תקווה, אנחנו חייבים אתכם/ן איתנו.

הדמוקרטים בראשות יאיר גולן היא המסגרת הפוליטית הרחבה והמאוחדת של כל הכוחות השותפים למחנה הליברלי-דמוקרטי הנלחמים על עתיד המדינה.
 
לחצו כדי להצטרף >>","לחצו כדי להצטרף לדמוקרטים בראשות יאיר גולן,לחצו כדי להצטרף לדמוקרטים בראשות יאיר גולן",democrats.org.il,,"lower_bound: 5000, upper_bound: 5999","lower_bound: 100, upper_bound: 199",ILS,"{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.000545},{""age"":""65+"",""gender"":""female"",""percentage"":0.381471},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.00218},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.00109},{""age"":""35-44"",""gender"":""male"",""percentage"":0.016621},{""age"":""55-64"",""gender"":""male"",""percentage"":0.079564},{""age"":""65+"",""gender"":""male"",""percentage"":0.276567},{""age"":""25-34"",""gender"":""female"",""percentage"":0.015259},{""age"":""18-24"",""gender"":""male"",""percentage"":0.019619},{""age"":""18-24"",""gender"":""female"",""percentage"":0.007084},{""age"":""25-34"",""gender"":""male"",""percentage"":0.025613},{""age"":""45-54"",""gender"":""female"",""percentage"":0.031335},{""age"":""45-54"",""gender"":""male"",""percentage"":0.037602},{""age"":""55-64"",""gender"":""female"",""percentage"":0.081471},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.000817},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.010627},{""age"":""35-44"",""gender"":""female"",""percentage"":0.012262},{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.000272}","{""region"":""Southern District"",""percentage"":0.088662},{""region"":""Central District"",""percentage"":0.306556},{""region"":""Northern District"",""percentage"":0.114992},{""region"":""Heifa"",""percentage"":0.144277},{""region"":""Tel Aviv"",""percentage"":0.276733},{""region"":""Jerusalem"",""percentage"":0.06878}","facebook,instagram","lower_bound: 100001, upper_bound: 500000",he
3.32705E+15,1.63415E+14,מפלגת העבודה,04/08/2024,04/08/2024,04/08/2024,מפלגת העבודה,"ברגעים הקשים בתולדות המדינה, אין מי שיוביל אותה קדימה. אין בה מנהיגות.  אין לה חזון.

כדי לשלוח את ממשלת המחדל והכישלון הביתה ולהחזיר את ישראל לנתיב של תקווה, אנחנו חייבים אתכם/ן איתנו.

הדמוקרטים בראשות יאיר גולן היא המסגרת הפוליטית הרחבה והמאוחדת של כל הכוחות השותפים למחנה הליברלי-דמוקרטי הנלחמים על עתיד המדינה.
 
לחצו כדי להצטרף >>",לחצו כדי להצטרף לדמוקרטים בראשות יאיר גולן,democrats.org.il,מנהיגות אמת לישראל,"lower_bound: 100, upper_bound: 999","lower_bound: 0, upper_bound: 99",ILS,"{""age"":""45-54"",""gender"":""female"",""percentage"":0.011834},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.005917},{""age"":""25-34"",""gender"":""female"",""percentage"":0.005917},{""age"":""25-34"",""gender"":""male"",""percentage"":0.023669},{""age"":""65+"",""gender"":""male"",""percentage"":0.230769},{""age"":""65+"",""gender"":""female"",""percentage"":0.514793},{""age"":""55-64"",""gender"":""female"",""percentage"":0.12426},{""age"":""18-24"",""gender"":""male"",""percentage"":0.005917},{""age"":""35-44"",""gender"":""female"",""percentage"":0.011834},{""age"":""55-64"",""gender"":""male"",""percentage"":0.029586},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.011834},{""age"":""45-54"",""gender"":""male"",""percentage"":0.011834},{""age"":""35-44"",""gender"":""male"",""percentage"":0.011834}","{""region"":""Southern District"",""percentage"":0.088235},{""region"":""Central District"",""percentage"":0.3},{""region"":""Northern District"",""percentage"":0.123529},{""region"":""Heifa"",""percentage"":0.158824},{""region"":""Tel Aviv"",""percentage"":0.264706},{""region"":""Jerusalem"",""percentage"":0.064706}","facebook,instagram","lower_bound: 100001, upper_bound: 500000",he
4.49084E+14,1.63415E+14,מפלגת העבודה,04/08/2024,04/08/2024,04/08/2024,מפלגת העבודה,"ברגעים הקשים בתולדות המדינה, אין מי שיוביל אותה קדימה. אין בה מנהיגות.  אין לה חזון.

כדי לשלוח את ממשלת המחדל והכישלון הביתה ולהחזיר את ישראל לנתיב של תקווה, אנחנו חייבים אתכם/ן איתנו.

הדמוקרטים בראשות יאיר גולן היא המסגרת הפוליטית הרחבה והמאוחדת של כל הכוחות השותפים למחנה הליברלי-דמוקרטי הנלחמים על עתיד המדינה.
 
לחצו כדי להצטרף >>",לחצו כדי להצטרף לדמוקרטים בראשות יאיר גולן,democrats.org.il,מנהיגות אמת לישראל,"lower_bound: 0, upper_bound: 99","lower_bound: 0, upper_bound: 99",ILS,,,"facebook,instagram","lower_bound: 100001, upper_bound: 500000",he
1.69279E+15,1.63415E+14,מפלגת העבודה,04/08/2024,04/08/2024,04/08/2024,מפלגת העבודה,"ברגעים הקשים בתולדות המדינה, אין מי שיוביל אותה קדימה. אין בה מנהיגות.  אין לה חזון.

כדי לשלוח את ממשלת המחדל והכישלון הביתה ולהחזיר את ישראל לנתיב של תקווה, אנחנו חייבים אתכם/ן איתנו.

הדמוקרטים בראשות יאיר גולן היא המסגרת הפוליטית הרחבה והמאוחדת של כל הכוחות השותפים למחנה הליברלי-דמוקרטי הנלחמים על עתיד המדינה.
 
לחצו כדי להצטרף >>",לחצו כדי להצטרף לדמוקרטים בראשות יאיר גולן,democrats.org.il,מנהיגות אמת לישראל,"lower_bound: 0, upper_bound: 99","lower_bound: 0, upper_bound: 99",ILS,,,"facebook,instagram","lower_bound: 100001, upper_bound: 500000",he
