ad_archive_id,page_id,page_name,ad_creation_time,ad_delivery_start_time,ad_delivery_stop_time,byline,ad_creative_bodies,ad_creative_link_titles,ad_creative_link_captions,ad_creative_link_descriptions,impressions,spend,currency,demographic_distribution,delivery_by_region,publisher_platforms,estimated_audience_size,languages
699539746128660,426502237384307,"מפלגת יש עתיד",2025-11-19,2025-11-19,2025-12-01,"מפלגת יש עתיד","ברוך הבא נעם תיבון!
@[61584006776720:2048:נעם תיבון - Noam Tibon]",,,,"lower_bound: 15000, upper_bound: 19999","lower_bound: 600, upper_bound: 699",ILS,"{""age"":""18-24"",""gender"":""female"",""__umapi_query_id"":""866t4hhdu5voya62gg5x"",""percentage"":0.000631},{""age"":""45-54"",""gender"":""male"",""percentage"":0.063939},{""age"":""65+"",""gender"":""male"",""percentage"":0.23483},{""age"":""65+"",""gender"":""female"",""percentage"":0.390157},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.002103},{""age"":""55-64"",""gender"":""male"",""percentage"":0.09654},{""age"":""55-64"",""gender"":""female"",""percentage"":0.094121},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.002208},{""age"":""45-54"",""gender"":""female"",""percentage"":0.042696},{""age"":""18-24"",""gender"":""male"",""percentage"":0.001998},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.000315},{""age"":""35-44"",""gender"":""male"",""percentage"":0.028079},{""age"":""35-44"",""gender"":""female"",""percentage"":0.008729},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.000105},{""age"":""25-34"",""gender"":""male"",""percentage"":0.017036},{""age"":""25-34"",""gender"":""female"",""percentage"":0.009254},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.007256}","{""region"":""Central District"",""__umapi_query_id"":""jr0bsj6yo1kzcgqsmd3b"",""percentage"":0.336766},{""region"":""Heifa"",""percentage"":0.145424},{""region"":""Jerusalem"",""percentage"":0.065882},{""region"":""Northern District"",""percentage"":0.109698},{""region"":""Southern District"",""percentage"":0.086162},{""region"":""Tel Aviv"",""percentage"":0.256068}",facebook,"lower_bound: 100001, upper_bound: 500000",he
787349470973953,426502237384307,"מפלגת יש עתיד",2025-11-19,2025-11-19,2025-12-01,"מפלגת יש עתיד","ברוך הבא נעם תיבון!
@[61584006776720:2048:נעם תיבון - Noam Tibon]",,,,"lower_bound: 2000, upper_bound: 2999","lower_bound: 0, upper_bound: 99",ILS,"{""age"":""18-24"",""gender"":""female"",""__umapi_query_id"":""gacg7qv7rtzsipbsg42h"",""percentage"":0.002524},{""age"":""18-24"",""gender"":""male"",""percentage"":0.005553},{""age"":""25-34"",""gender"":""female"",""percentage"":0.006562},{""age"":""25-34"",""gender"":""male"",""percentage"":0.020697},{""age"":""35-44"",""gender"":""female"",""percentage"":0.007067},{""age"":""35-44"",""gender"":""male"",""percentage"":0.038869},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.000505},{""age"":""45-54"",""gender"":""female"",""percentage"":0.020697},{""age"":""45-54"",""gender"":""male"",""percentage"":0.077739},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.002524},{""age"":""55-64"",""gender"":""female"",""percentage"":0.076224},{""age"":""55-64"",""gender"":""male"",""percentage"":0.133266},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.000505},{""age"":""65+"",""gender"":""female"",""percentage"":0.3579},{""age"":""65+"",""gender"":""male"",""percentage"":0.244321},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.005048}","{""region"":""Central District"",""__umapi_query_id"":""kve6b6neucdmqoblxz3p"",""percentage"":0.275289},{""region"":""Heifa"",""percentage"":0.155008},{""region"":""Jerusalem"",""percentage"":0.090589},{""region"":""Northern District"",""percentage"":0.124811},{""region"":""Southern District"",""percentage"":0.130347},{""region"":""Tel Aviv"",""percentage"":0.223956}",facebook,"lower_bound: 100001, upper_bound: 500000",he
1846871352580409,426502237384307,"מפלגת יש עתיד",2025-11-19,2025-11-19,2025-12-01,"מפלגת יש עתיד","ברוך הבא נעם תיבון!
@[61584006776720:2048:נעם תיבון - Noam Tibon]",,,,"lower_bound: 30000, upper_bound: 34999","lower_bound: 800, upper_bound: 899",ILS,"{""age"":""18-24"",""gender"":""female"",""__umapi_query_id"":""7xu4zilr941w2wu8gwed"",""percentage"":0.000964},{""age"":""45-54"",""gender"":""male"",""percentage"":0.095599},{""age"":""65+"",""gender"":""male"",""percentage"":0.269853},{""age"":""65+"",""gender"":""female"",""percentage"":0.286728},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.002411},{""age"":""55-64"",""gender"":""male"",""percentage"":0.15063},{""age"":""55-64"",""gender"":""female"",""percentage"":0.061299},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.002962},{""age"":""45-54"",""gender"":""female"",""percentage"":0.024313},{""age"":""18-24"",""gender"":""male"",""percentage"":0.005235},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.001378},{""age"":""35-44"",""gender"":""male"",""percentage"":0.048901},{""age"":""35-44"",""gender"":""female"",""percentage"":0.008127},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.000413},{""age"":""25-34"",""gender"":""male"",""percentage"":0.028032},{""age"":""25-34"",""gender"":""female"",""percentage"":0.007783},{""age"":""18-24"",""gender"":""unknown"",""percentage"":6.9e-5},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.005303}","{""region"":""Central District"",""__umapi_query_id"":""n490y1l34d3nqzsgylqe"",""percentage"":0.285433},{""region"":""Heifa"",""percentage"":0.134684},{""region"":""Jerusalem"",""percentage"":0.095167},{""region"":""Northern District"",""percentage"":0.119027},{""region"":""Southern District"",""percentage"":0.117129},{""region"":""Tel Aviv"",""percentage"":0.248356},{""region"":""Unknown"",""percentage"":0.000203}",facebook,"lower_bound: 500001, upper_bound: 1000000",he
1151792533783311,426502237384307,"מפלגת יש עתיד",2025-11-19,2025-11-19,2025-12-01,"מפלגת יש עתיד","ברוך הבא נעם תיבון!
@[61584006776720:2048:נעם תיבון - Noam Tibon]",,,,"lower_bound: 15000, upper_bound: 19999","lower_bound: 300, upper_bound: 399",ILS,"{""age"":""18-24"",""gender"":""female"",""__umapi_query_id"":""fpabzovloii20lslxkba"",""percentage"":0.004579},{""age"":""45-54"",""gender"":""male"",""percentage"":0.087834},{""age"":""65+"",""gender"":""male"",""percentage"":0.201998},{""age"":""65+"",""gender"":""female"",""percentage"":0.302009},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.002081},{""age"":""55-64"",""gender"":""male"",""percentage"":0.129774},{""age"":""55-64"",""gender"":""female"",""percentage"":0.083255},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.001249},{""age"":""45-54"",""gender"":""female"",""percentage"":0.0358},{""age"":""18-24"",""gender"":""male"",""percentage"":0.011656},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.001145},{""age"":""35-44"",""gender"":""male"",""percentage"":0.053596},{""age"":""35-44"",""gender"":""female"",""percentage"":0.019669},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.000208},{""age"":""25-34"",""gender"":""male"",""percentage"":0.042356},{""age"":""25-34"",""gender"":""female"",""percentage"":0.018108},{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.000104},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.004579}","{""region"":""Central District"",""__umapi_query_id"":""glhl2dlj2h3tawn6s55z"",""percentage"":0.266815},{""region"":""Heifa"",""percentage"":0.144466},{""region"":""Jerusalem"",""percentage"":0.106828},{""region"":""Northern District"",""percentage"":0.121944},{""region"":""Southern District"",""percentage"":0.135437},{""region"":""Tel Aviv"",""percentage"":0.224105},{""region"":""Unknown"",""percentage"":0.000406}",facebook,"lower_bound: 1000001",he
1475846380192435,426502237384307,"מפלגת יש עתיד",2025-11-19,2025-11-19,2025-12-01,"מפלגת יש עתיד","⁨ ברוך הבא נעם תיבון!
@noamtibon26",,,,"lower_bound: 15000, upper_bound: 19999","lower_bound: 700, upper_bound: 799",ILS,"{""age"":""18-24"",""gender"":""female"",""__umapi_query_id"":""2r5f6wnhpljfrhaipira"",""percentage"":0.02668},{""age"":""45-54"",""gender"":""male"",""percentage"":0.076216},{""age"":""65+"",""gender"":""male"",""percentage"":0.076489},{""age"":""65+"",""gender"":""female"",""percentage"":0.138044},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.001366},{""age"":""55-64"",""gender"":""male"",""percentage"":0.06802},{""age"":""55-64"",""gender"":""female"",""percentage"":0.082225},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.002003},{""age"":""45-54"",""gender"":""female"",""percentage"":0.06365},{""age"":""18-24"",""gender"":""male"",""percentage"":0.201238},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.001093},{""age"":""35-44"",""gender"":""male"",""percentage"":0.064014},{""age"":""35-44"",""gender"":""female"",""percentage"":0.030596},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.002094},{""age"":""25-34"",""gender"":""male"",""percentage"":0.132763},{""age"":""25-34"",""gender"":""female"",""percentage"":0.027226},{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.004371},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.001912}","{""region"":""Central District"",""__umapi_query_id"":""zdlbh54ber4kiyzdnebo"",""percentage"":0.286007},{""region"":""Heifa"",""percentage"":0.136623},{""region"":""Jerusalem"",""percentage"":0.066393},{""region"":""Northern District"",""percentage"":0.107085},{""region"":""Southern District"",""percentage"":0.115295},{""region"":""Tel Aviv"",""percentage"":0.288506},{""region"":""Unknown"",""percentage"":8.9e-5}",instagram,"lower_bound: 100001, upper_bound: 500000",he
1391440672349563,426502237384307,"מפלגת יש עתיד",2025-11-19,2025-11-19,2025-11-30,"מפלגת יש עתיד","⁨ ברוך הבא נעם תיבון!
@noamtibon26",,,,"lower_bound: 20000, upper_bound: 24999","lower_bound: 1000, upper_bound: 1499",ILS,"{""age"":""18-24"",""gender"":""female"",""__umapi_query_id"":""pku7ynyr4h2md88p4ozb"",""percentage"":0.018919},{""age"":""45-54"",""gender"":""male"",""percentage"":0.067142},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.003256},{""age"":""65+"",""gender"":""male"",""percentage"":0.086149},{""age"":""65+"",""gender"":""female"",""percentage"":0.210929},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.00264},{""age"":""55-64"",""gender"":""male"",""percentage"":0.075238},{""age"":""55-64"",""gender"":""female"",""percentage"":0.157603},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.00308},{""age"":""45-54"",""gender"":""female"",""percentage"":0.116332},{""age"":""18-24"",""gender"":""male"",""percentage"":0.034759},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.001056},{""age"":""35-44"",""gender"":""male"",""percentage"":0.056494},{""age"":""35-44"",""gender"":""female"",""percentage"":0.045583},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.000616},{""age"":""25-34"",""gender"":""male"",""percentage"":0.075766},{""age"":""25-34"",""gender"":""female"",""percentage"":0.043911},{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.00044},{""age"":""Unknown"",""gender"":""male"",""percentage"":8.8e-5}","{""region"":""Central District"",""__umapi_query_id"":""d8te7iicija4zaso11ls"",""percentage"":0.332111},{""region"":""Heifa"",""percentage"":0.129246},{""region"":""Jerusalem"",""percentage"":0.04183},{""region"":""Northern District"",""percentage"":0.094577},{""region"":""Southern District"",""percentage"":0.087154},{""region"":""Tel Aviv"",""percentage"":0.31482},{""region"":""Unknown"",""percentage"":0.000262}",instagram,"lower_bound: 100001, upper_bound: 500000",he
682061718310287,426502237384307,"מפלגת יש עתיד",2025-11-19,2025-11-19,2025-11-30,"מפלגת יש עתיד","⁨ ברוך הבא נעם תיבון!
@noamtibon26",,,,"lower_bound: 10000, upper_bound: 14999","lower_bound: 400, upper_bound: 499",ILS,"{""age"":""18-24"",""gender"":""female"",""__umapi_query_id"":""q0tr65xan43j8sdy5pbp"",""percentage"":0.052166},{""age"":""45-54"",""gender"":""male"",""percentage"":0.048353},{""age"":""65+"",""gender"":""male"",""percentage"":0.050793},{""age"":""65+"",""gender"":""female"",""percentage"":0.115924},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.001068},{""age"":""55-64"",""gender"":""male"",""percentage"":0.051251},{""age"":""55-64"",""gender"":""female"",""percentage"":0.062386},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.00183},{""age"":""45-54"",""gender"":""female"",""percentage"":0.04759},{""age"":""18-24"",""gender"":""male"",""percentage"":0.249695},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.00183},{""age"":""35-44"",""gender"":""male"",""percentage"":0.061318},{""age"":""35-44"",""gender"":""female"",""percentage"":0.032489},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.002288},{""age"":""25-34"",""gender"":""male"",""percentage"":0.16565},{""age"":""25-34"",""gender"":""female"",""percentage"":0.046827},{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.007474},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.001068}","{""region"":""Central District"",""__umapi_query_id"":""1j6w5taev33e4p8o9emw"",""percentage"":0.311583},{""region"":""Heifa"",""percentage"":0.140078},{""region"":""Jerusalem"",""percentage"":0.0651},{""region"":""Northern District"",""percentage"":0.09997},{""region"":""Southern District"",""percentage"":0.13065},{""region"":""Tel Aviv"",""percentage"":0.252619}",instagram,"lower_bound: 100001, upper_bound: 500000",he
1169063211402421,426502237384307,"מפלגת יש עתיד",2025-11-19,2025-11-19,2025-11-30,"מפלגת יש עתיד","⁨ ברוך הבא נעם תיבון!
@noamtibon26",,,,"lower_bound: 15000, upper_bound: 19999","lower_bound: 500, upper_bound: 599",ILS,"{""age"":""18-24"",""gender"":""female"",""__umapi_query_id"":""04xklxpfbhhphyn0iqoo"",""percentage"":0.171715},{""age"":""45-54"",""gender"":""male"",""percentage"":0.047336},{""age"":""65+"",""gender"":""male"",""percentage"":0.051914},{""age"":""65+"",""gender"":""female"",""percentage"":0.094672},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.001364},{""age"":""55-64"",""gender"":""male"",""percentage"":0.049869},{""age"":""55-64"",""gender"":""female"",""percentage"":0.063017},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.001364},{""age"":""45-54"",""gender"":""female"",""percentage"":0.054251},{""age"":""18-24"",""gender"":""male"",""percentage"":0.183403},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.000779},{""age"":""35-44"",""gender"":""male"",""percentage"":0.048115},{""age"":""35-44"",""gender"":""female"",""percentage"":0.036233},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.001266},{""age"":""25-34"",""gender"":""male"",""percentage"":0.105678},{""age"":""25-34"",""gender"":""female"",""percentage"":0.082108},{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.005747},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.001169}","{""region"":""Central District"",""__umapi_query_id"":""z3ftzkrotekkt29znvmz"",""percentage"":0.282111},{""region"":""Heifa"",""percentage"":0.138263},{""region"":""Jerusalem"",""percentage"":0.079145},{""region"":""Northern District"",""percentage"":0.112459},{""region"":""Southern District"",""percentage"":0.151261},{""region"":""Tel Aviv"",""percentage"":0.235991},{""region"":""Unknown"",""percentage"":0.00077}",instagram,"lower_bound: 1000001",he
1178938390792738,426502237384307,"מפלגת יש עתיד",2025-10-21,2025-10-21,2025-11-02,"מפלגת יש עתיד","לפיד בנאומו במעמד ביקור טראמפ בכנסת:
״המזרח התיכון הוא הבית שלנו, ואנחנו כאן כדי להישאר״",,,,"lower_bound: 400000, upper_bound: 449999","lower_bound: 5000, upper_bound: 5999",ILS,"{""age"":""18-24"",""gender"":""female"",""__umapi_query_id"":""janf0anjmu0kjkdcx3c5"",""percentage"":0.003819},{""age"":""45-54"",""gender"":""male"",""percentage"":0.152415},{""age"":""65+"",""gender"":""male"",""percentage"":0.105382},{""age"":""65+"",""gender"":""female"",""percentage"":0.051164},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.001365},{""age"":""55-64"",""gender"":""male"",""percentage"":0.119564},{""age"":""55-64"",""gender"":""female"",""percentage"":0.031178},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.002638},{""age"":""45-54"",""gender"":""female"",""percentage"":0.025819},{""age"":""18-24"",""gender"":""male"",""percentage"":0.068238},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.003278},{""age"":""35-44"",""gender"":""male"",""percentage"":0.199252},{""age"":""35-44"",""gender"":""female"",""percentage"":0.017419},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.001331},{""age"":""25-34"",""gender"":""male"",""percentage"":0.202863},{""age"":""25-34"",""gender"":""female"",""percentage"":0.012169},{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.000745},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.00136}","{""region"":""Central District"",""__umapi_query_id"":""cugduj4aj1n79rfnd93l"",""percentage"":0.230146},{""region"":""Heifa"",""percentage"":0.118722},{""region"":""Jerusalem"",""percentage"":0.150863},{""region"":""Northern District"",""percentage"":0.175961},{""region"":""Southern District"",""percentage"":0.127264},{""region"":""Tel Aviv"",""percentage"":0.197008},{""region"":""Unknown"",""percentage"":3.6e-5}","facebook,instagram","lower_bound: 500001, upper_bound: 1000000",he
1813234475852210,426502237384307,"מפלגת יש עתיד",2024-06-06,2024-06-06,2024-06-12,"מפלגת יש עתיד","הצפון נשרף והשרים חוגגים
—
בעקבות הירי הבלתי פוסק, השריפות המשתוללות והפקרות הממשלה בחבל הארץ הצפוני, יצאו הבוקר חברי סיעת יש עתיד לסיור במרחב וסבב מפגשים עם התושבים המודאגים שעוד נשארו באזור. לאורך היום העמוס, היה קשה לפספס את מראות השדות השחורים, את ריח העשן ובעיקר את ההבנה שתושבי הצפון מופקרים לאש החיזבאללה כבר שמונה חודשים. 
יחד עם היערות, היה ברור לכולם - נשרפה גם ההרתעה וההנהגה הישראלית.

דקות ספורות אחרי עוד סיבוב יחסי ציבור קצר ומנותק של רה״מ בעיירה הנטושה, הגיעו חברי יש עתיד לחמ״ל קריית שמונה ופגשו אנשים מדהימים, אמיצים וערכיים שמתמודדים בגבורה עם מציאות קשה. לאחר מכן, המשיכו לסבב פגישות עם ראש מועצת גליל עליון, פורום מגן הצפון, תחנת כיבוי האש בקריית שמונה, ועדי הישובים במרחב רמות נפתלי, המפונים ״במחנה העקורים״ בעמיעד ובמלונות בעיר טבריה.

ובשעה שאנשי יש עתיד שומעים על מערכות החינוך הקורסות, על קהילות שלמות שהופכות לשבר כלי, על שכירים רבים שמאבדים פרנסה, שרי האוצר רוקד ומתופף במצעד גזעני בירושלים וחברו השר לביטחון לאומי מדלג בין אולפני ערוץ 14 להופעות בבריכת הסולטן.  

מדינת ישראל ננטשה בידי הממשלה. 

אין מנהיגות, אין תכנית סיוע, אין ביטחון שישיב את התושבים הביתה. 

זו ממשלה מופקרת וחייבים להחליף אותה.",,,,"lower_bound: 70000, upper_bound: 79999","lower_bound: 1000, upper_bound: 1499",ILS,"{""age"":""18-24"",""gender"":""unknown"",""percentage"":3.4e-5},{""age"":""35-44"",""gender"":""male"",""percentage"":0.04296},{""age"":""25-34"",""gender"":""female"",""percentage"":0.00524},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.00786},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.004367},{""age"":""45-54"",""gender"":""female"",""percentage"":0.036511},{""age"":""35-44"",""gender"":""female"",""percentage"":0.011823},{""age"":""18-24"",""gender"":""male"",""percentage"":0.005912},{""age"":""55-64"",""gender"":""male"",""percentage"":0.157665},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.000336},{""age"":""45-54"",""gender"":""male"",""percentage"":0.097306},{""age"":""65+"",""gender"":""male"",""percentage"":0.221584},{""age"":""25-34"",""gender"":""male"",""percentage"":0.025024},{""age"":""55-64"",""gender"":""female"",""percentage"":0.094586},{""age"":""65+"",""gender"":""female"",""percentage"":0.280902},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.003997},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.002082},{""age"":""18-24"",""gender"":""female"",""percentage"":0.001814}","{""region"":""Unknown"",""percentage"":9.9e-5},{""region"":""Southern District"",""percentage"":0.086574},{""region"":""Central District"",""percentage"":0.298383},{""region"":""Northern District"",""percentage"":0.21935},{""region"":""Heifa"",""percentage"":0.141469},{""region"":""Tel Aviv"",""percentage"":0.201271},{""region"":""Jerusalem"",""percentage"":0.052853}",facebook,"lower_bound: 100001, upper_bound: 500000",he
