ad_archive_id,page_id,page_name,ad_creation_time,ad_delivery_start_time,ad_delivery_stop_time,byline,ad_creative_bodies,ad_creative_link_titles,ad_creative_link_captions,ad_creative_link_descriptions,impressions,spend,currency,demographic_distribution,delivery_by_region,publisher_platforms,estimated_audience_size,languages
1062513731307679,396697410351933,"נפתלי בנט - Naftali Bennett",2022-07-01,2022-07-01,2022-07-02,"נפתלי בנט - Naftali Bennett","תודה, עם אהוב שלי 🇮🇱","תודה, עם אהוב שלי 🇮🇱",,,"lower_bound: 250000, upper_bound: 299999","lower_bound: 8000, upper_bound: 8999",ILS,"{""age"":""13-17"",""gender"":""female"",""percentage"":0.000113},{""age"":""35-44"",""gender"":""male"",""percentage"":0.056796},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.000149},{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.000739},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.002261},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.002757},{""age"":""55-64"",""gender"":""female"",""percentage"":0.015163},{""age"":""65+"",""gender"":""male"",""percentage"":0.005716},{""age"":""65+"",""gender"":""female"",""percentage"":0.00792},{""age"":""35-44"",""gender"":""female"",""percentage"":0.061922},{""age"":""25-34"",""gender"":""male"",""percentage"":0.216864},{""age"":""13-17"",""gender"":""male"",""percentage"":0.000174},{""age"":""18-24"",""gender"":""male"",""percentage"":0.189635},{""age"":""25-34"",""gender"":""female"",""percentage"":0.186066},{""age"":""18-24"",""gender"":""female"",""percentage"":0.186643},{""age"":""55-64"",""gender"":""male"",""percentage"":0.007468},{""age"":""45-54"",""gender"":""male"",""percentage"":0.023673},{""age"":""45-54"",""gender"":""female"",""percentage"":0.034685},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.001021},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.000222},{""age"":""13-17"",""gender"":""unknown"",""percentage"":1.2e-5}","{""region"":""Southern District"",""percentage"":0.159256},{""region"":""Central District"",""percentage"":0.293339},{""region"":""Northern District"",""percentage"":0.1326},{""region"":""Heifa"",""percentage"":0.112343},{""region"":""Tel Aviv"",""percentage"":0.211511},{""region"":""Jerusalem"",""percentage"":0.090951}",instagram,"lower_bound: 100001, upper_bound: 500000",he
1477534736038404,396697410351933,"נפתלי בנט - Naftali Bennett",2022-07-01,2022-07-01,2022-07-02,"נפתלי בנט - Naftali Bennett","תודה, עם אהוב שלי 🇮🇱","תודה, עם אהוב שלי 🇮🇱",,,"lower_bound: 150000, upper_bound: 174999","lower_bound: 7000, upper_bound: 7999",ILS,"{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.000784},{""age"":""25-34"",""gender"":""male"",""percentage"":0.206447},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.0009},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.002577},{""age"":""35-44"",""gender"":""female"",""percentage"":0.115224},{""age"":""45-54"",""gender"":""female"",""percentage"":0.079953},{""age"":""45-54"",""gender"":""male"",""percentage"":0.067679},{""age"":""55-64"",""gender"":""female"",""percentage"":0.052733},{""age"":""18-24"",""gender"":""female"",""percentage"":0.039629},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.005414},{""age"":""65+"",""gender"":""male"",""percentage"":0.023953},{""age"":""18-24"",""gender"":""male"",""percentage"":0.055795},{""age"":""25-34"",""gender"":""female"",""percentage"":0.153659},{""age"":""35-44"",""gender"":""male"",""percentage"":0.121572},{""age"":""65+"",""gender"":""female"",""percentage"":0.037699},{""age"":""55-64"",""gender"":""male"",""percentage"":0.033424},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.002509},{""age"":""18-24"",""gender"":""unknown"",""percentage"":4.8e-5}","{""region"":""Southern District"",""percentage"":0.156647},{""region"":""Central District"",""percentage"":0.290516},{""region"":""Northern District"",""percentage"":0.131181},{""region"":""Heifa"",""percentage"":0.11378},{""region"":""Tel Aviv"",""percentage"":0.20169},{""region"":""Jerusalem"",""percentage"":0.106187}",facebook,"lower_bound: 100001, upper_bound: 500000",he
5238065899632703,396697410351933,"נפתלי בנט - Naftali Bennett",2022-06-30,2022-06-30,2022-07-01,"נפתלי בנט - Naftali Bennett","תודה, עם אהוב שלי 🇮🇱","תודה, עם אהוב שלי 🇮🇱",,,"lower_bound: 70000, upper_bound: 79999","lower_bound: 900, upper_bound: 999",ILS,"{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.000157},{""age"":""35-44"",""gender"":""male"",""percentage"":0.138134},{""age"":""65+"",""gender"":""male"",""percentage"":0.013825},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.000536},{""age"":""25-34"",""gender"":""female"",""percentage"":0.160388},{""age"":""18-24"",""gender"":""female"",""percentage"":0.053458},{""age"":""45-54"",""gender"":""male"",""percentage"":0.054216},{""age"":""55-64"",""gender"":""male"",""percentage"":0.021417},{""age"":""65+"",""gender"":""female"",""percentage"":0.015537},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.000457},{""age"":""25-34"",""gender"":""male"",""percentage"":0.288447},{""age"":""18-24"",""gender"":""male"",""percentage"":0.085186},{""age"":""35-44"",""gender"":""female"",""percentage"":0.087107},{""age"":""55-64"",""gender"":""female"",""percentage"":0.023952},{""age"":""45-54"",""gender"":""female"",""percentage"":0.045239},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.006468},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.003371},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.002104}","{""region"":""Southern District"",""percentage"":0.162082},{""region"":""Central District"",""percentage"":0.265465},{""region"":""Northern District"",""percentage"":0.14475},{""region"":""Heifa"",""percentage"":0.112609},{""region"":""Tel Aviv"",""percentage"":0.188055},{""region"":""Jerusalem"",""percentage"":0.12704}",facebook,"lower_bound: 100001, upper_bound: 500000",he
573822444311101,396697410351933,"נפתלי בנט - Naftali Bennett",2022-06-27,2022-06-27,2022-06-28,"נפתלי בנט - Naftali Bennett","ככה הפסקנו את טרור השריפות של חמאס:",,,,"lower_bound: 35000, upper_bound: 39999","lower_bound: 2000, upper_bound: 2499",ILS,"{""age"":""65+"",""gender"":""unknown"",""percentage"":8.4e-5},{""age"":""55-64"",""gender"":""female"",""percentage"":0.011657},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.003327},{""age"":""55-64"",""gender"":""male"",""percentage"":0.009589},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.002572},{""age"":""45-54"",""gender"":""female"",""percentage"":0.031226},{""age"":""35-44"",""gender"":""female"",""percentage"":0.063318},{""age"":""25-34"",""gender"":""female"",""percentage"":0.276222},{""age"":""18-24"",""gender"":""male"",""percentage"":0.116544},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.000224},{""age"":""35-44"",""gender"":""male"",""percentage"":0.0544},{""age"":""18-24"",""gender"":""female"",""percentage"":0.127306},{""age"":""25-34"",""gender"":""male"",""percentage"":0.261685},{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.000196},{""age"":""45-54"",""gender"":""male"",""percentage"":0.024852},{""age"":""65+"",""gender"":""female"",""percentage"":0.008163},{""age"":""65+"",""gender"":""male"",""percentage"":0.007492},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.001146}","{""region"":""Southern District"",""percentage"":0.370386},{""region"":""Central District"",""percentage"":0.368144},{""region"":""Tel Aviv"",""percentage"":0.005802},{""region"":""Jerusalem"",""percentage"":0.23106},{""region"":""West Bank"",""percentage"":0.02444},{""region"":""Gaza Strip"",""percentage"":0.000112},{""region"":""Tafilah Governorate"",""percentage"":2.8e-5},{""region"":""North Sinai Governorate"",""percentage"":2.8e-5}",facebook,"lower_bound: 50001, upper_bound: 100000",he
950414349687224,396697410351933,"נפתלי בנט - Naftali Bennett",2022-06-27,2022-06-27,2022-06-28,"נפתלי בנט - Naftali Bennett","ככה הפסקנו את טרור השריפות של חמאס:",,,,"lower_bound: 70000, upper_bound: 79999","lower_bound: 2000, upper_bound: 2499",ILS,"{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.000744},{""age"":""45-54"",""gender"":""male"",""percentage"":0.055946},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.006289},{""age"":""18-24"",""gender"":""unknown"",""percentage"":8.4e-5},{""age"":""35-44"",""gender"":""female"",""percentage"":0.101614},{""age"":""25-34"",""gender"":""female"",""percentage"":0.182493},{""age"":""35-44"",""gender"":""male"",""percentage"":0.12228},{""age"":""25-34"",""gender"":""male"",""percentage"":0.255847},{""age"":""18-24"",""gender"":""male"",""percentage"":0.062446},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.002162},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.003131},{""age"":""18-24"",""gender"":""female"",""percentage"":0.047663},{""age"":""45-54"",""gender"":""female"",""percentage"":0.06194},{""age"":""65+"",""gender"":""male"",""percentage"":0.016412},{""age"":""65+"",""gender"":""female"",""percentage"":0.021522},{""age"":""55-64"",""gender"":""female"",""percentage"":0.033918},{""age"":""55-64"",""gender"":""male"",""percentage"":0.024919},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.00059}","{""region"":""Southern District"",""percentage"":0.374537},{""region"":""Central District"",""percentage"":0.30001},{""region"":""Tel Aviv"",""percentage"":0.004432},{""region"":""Jerusalem"",""percentage"":0.291929},{""region"":""West Bank"",""percentage"":0.028911},{""region"":""Gaza Strip"",""percentage"":0.000168},{""region"":""Tafilah Governorate"",""percentage"":1.4e-5}",facebook,"lower_bound: 100001, upper_bound: 500000",he
1362916070870563,396697410351933,"נפתלי בנט - Naftali Bennett",2022-06-27,2022-06-27,2022-06-28,"נפתלי בנט - Naftali Bennett","ככה הפסקנו את טרור השריפות של חמאס:",,,,"lower_bound: 90000, upper_bound: 99999","lower_bound: 2000, upper_bound: 2499",ILS,"{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.000202},{""age"":""35-44"",""gender"":""female"",""percentage"":0.090446},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.001075},{""age"":""55-64"",""gender"":""male"",""percentage"":0.040384},{""age"":""45-54"",""gender"":""female"",""percentage"":0.043408},{""age"":""25-34"",""gender"":""female"",""percentage"":0.184879},{""age"":""18-24"",""gender"":""male"",""percentage"":0.049838},{""age"":""65+"",""gender"":""female"",""percentage"":0.015661},{""age"":""45-54"",""gender"":""male"",""percentage"":0.077418},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.002543},{""age"":""25-34"",""gender"":""male"",""percentage"":0.251823},{""age"":""35-44"",""gender"":""male"",""percentage"":0.139802},{""age"":""65+"",""gender"":""male"",""percentage"":0.024611},{""age"":""18-24"",""gender"":""female"",""percentage"":0.043307},{""age"":""55-64"",""gender"":""female"",""percentage"":0.023177},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.003417},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.00084},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.007169}","{""region"":""Southern District"",""percentage"":0.365727},{""region"":""Central District"",""percentage"":0.28013},{""region"":""Tel Aviv"",""percentage"":0.004532},{""region"":""Jerusalem"",""percentage"":0.318762},{""region"":""Tafilah Governorate"",""percentage"":3.4e-5},{""region"":""West Bank"",""percentage"":0.030568},{""region"":""Gaza Strip"",""percentage"":0.000247}",facebook,"lower_bound: 100001, upper_bound: 500000",he
1372885316542359,396697410351933,"נפתלי בנט - Naftali Bennett",2022-06-27,2022-06-27,2022-06-28,"נפתלי בנט - Naftali Bennett","ככה הפסקנו את טרור השריפות של חמאס:",,,,"lower_bound: 25000, upper_bound: 29999","lower_bound: 2000, upper_bound: 2499",ILS,"{""age"":""35-44"",""gender"":""female"",""percentage"":0.029274},{""age"":""25-34"",""gender"":""male"",""percentage"":0.436768},{""age"":""25-34"",""gender"":""female"",""percentage"":0.31365},{""age"":""35-44"",""gender"":""male"",""percentage"":0.05261},{""age"":""18-24"",""gender"":""female"",""percentage"":0.066076},{""age"":""18-24"",""gender"":""male"",""percentage"":0.09673},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.003387},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.001464},{""age"":""18-24"",""gender"":""unknown"",""percentage"":4.2e-5}","{""region"":""Southern District"",""percentage"":0.444501},{""region"":""Central District"",""percentage"":0.319231},{""region"":""Tel Aviv"",""percentage"":0.00576},{""region"":""Jerusalem"",""percentage"":0.207598},{""region"":""North Sinai Governorate"",""percentage"":8.5e-5},{""region"":""West Bank"",""percentage"":0.022572},{""region"":""Gaza Strip"",""percentage"":0.000254}",facebook,"lower_bound: 10001, upper_bound: 50000",he
446400513971997,396697410351933,"נפתלי בנט - Naftali Bennett",2022-06-26,2022-06-26,2022-06-28,"נפתלי בנט - Naftali Bennett","צפו במו עיניכם ותבינו את שקר ״שיפוץ והשבחת הבית ב-50 מיליון שקלים״.","שקר ״שיפוץ והשבחת הבית ב-50 מיליון שקלים״",www.youtube.com,,"lower_bound: 40000, upper_bound: 44999","lower_bound: 2500, upper_bound: 2999",ILS,"{""age"":""65+"",""gender"":""unknown"",""percentage"":0.000279},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.000325},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.004229},{""age"":""55-64"",""gender"":""male"",""percentage"":0.010806},{""age"":""25-34"",""gender"":""male"",""percentage"":0.288104},{""age"":""25-34"",""gender"":""female"",""percentage"":0.398345},{""age"":""65+"",""gender"":""male"",""percentage"":0.010411},{""age"":""45-54"",""gender"":""female"",""percentage"":0.051542},{""age"":""55-64"",""gender"":""female"",""percentage"":0.019868},{""age"":""65+"",""gender"":""female"",""percentage"":0.014849},{""age"":""35-44"",""gender"":""female"",""percentage"":0.099389},{""age"":""35-44"",""gender"":""male"",""percentage"":0.065926},{""age"":""45-54"",""gender"":""male"",""percentage"":0.029675},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.004462},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.001789}","{""region"":""Southern District"",""percentage"":0.131555},{""region"":""Central District"",""percentage"":0.308877},{""region"":""Northern District"",""percentage"":0.122486},{""region"":""Heifa"",""percentage"":0.114695},{""region"":""Tel Aviv"",""percentage"":0.262878},{""region"":""Jerusalem"",""percentage"":0.05951}",facebook,"lower_bound: 50001, upper_bound: 100000",he
1214372862667130,396697410351933,"נפתלי בנט - Naftali Bennett",2022-06-26,2022-06-26,2022-06-28,"נפתלי בנט - Naftali Bennett","צפו במו עיניכם ותבינו את שקר ״שיפוץ והשבחת הבית ב-50 מיליון שקלים״.","שקר ״שיפוץ והשבחת הבית ב-50 מיליון שקלים״",www.youtube.com,,"lower_bound: 200000, upper_bound: 249999","lower_bound: 4000, upper_bound: 4499",ILS,"{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.001375},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.001148},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.008305},{""age"":""65+"",""gender"":""female"",""percentage"":0.024376},{""age"":""25-34"",""gender"":""female"",""percentage"":0.182377},{""age"":""55-64"",""gender"":""female"",""percentage"":0.030221},{""age"":""35-44"",""gender"":""male"",""percentage"":0.151182},{""age"":""25-34"",""gender"":""male"",""percentage"":0.248544},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.004008},{""age"":""45-54"",""gender"":""male"",""percentage"":0.090197},{""age"":""55-64"",""gender"":""male"",""percentage"":0.05212},{""age"":""35-44"",""gender"":""female"",""percentage"":0.107353},{""age"":""65+"",""gender"":""male"",""percentage"":0.034807},{""age"":""45-54"",""gender"":""female"",""percentage"":0.059984},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.004003}","{""region"":""Southern District"",""percentage"":0.145022},{""region"":""Central District"",""percentage"":0.266},{""region"":""Northern District"",""percentage"":0.140635},{""region"":""Heifa"",""percentage"":0.120626},{""region"":""Tel Aviv"",""percentage"":0.216625},{""region"":""Jerusalem"",""percentage"":0.111091}",facebook,"lower_bound: 500001, upper_bound: 1000000",he
5150316328396438,396697410351933,"נפתלי בנט - Naftali Bennett",2022-06-26,2022-06-26,2022-06-28,"נפתלי בנט - Naftali Bennett","צפו במו עיניכם ותבינו את שקר ״שיפוץ והשבחת הבית ב-50 מיליון שקלים״.","שקר ״שיפוץ והשבחת הבית ב-50 מיליון שקלים״",www.youtube.com,,"lower_bound: 200000, upper_bound: 249999","lower_bound: 5000, upper_bound: 5999",ILS,"{""age"":""65+"",""gender"":""unknown"",""percentage"":0.00076},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.000806},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.00339},{""age"":""65+"",""gender"":""female"",""percentage"":0.032103},{""age"":""35-44"",""gender"":""female"",""percentage"":0.117384},{""age"":""25-34"",""gender"":""female"",""percentage"":0.18239},{""age"":""45-54"",""gender"":""male"",""percentage"":0.073692},{""age"":""25-34"",""gender"":""male"",""percentage"":0.266415},{""age"":""45-54"",""gender"":""female"",""percentage"":0.069861},{""age"":""65+"",""gender"":""male"",""percentage"":0.023746},{""age"":""35-44"",""gender"":""male"",""percentage"":0.142337},{""age"":""55-64"",""gender"":""female"",""percentage"":0.043652},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.006486},{""age"":""55-64"",""gender"":""male"",""percentage"":0.034226},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.002752}","{""region"":""Southern District"",""percentage"":0.152848},{""region"":""Central District"",""percentage"":0.275779},{""region"":""Northern District"",""percentage"":0.142965},{""region"":""Heifa"",""percentage"":0.113159},{""region"":""Tel Aviv"",""percentage"":0.197715},{""region"":""Jerusalem"",""percentage"":0.117535}",facebook,"lower_bound: 100001, upper_bound: 500000",he
