ad_archive_id,page_id,page_name,ad_creation_time,ad_delivery_start_time,ad_delivery_stop_time,byline,ad_creative_bodies,ad_creative_link_titles,ad_creative_link_captions,ad_creative_link_descriptions,impressions,spend,currency,demographic_distribution,delivery_by_region,publisher_platforms,estimated_audience_size,languages
199988378550101,664693323933235,"תנועת ש""ס",2021-03-17,2021-03-18,2021-03-18,"ש""ס התאחדות הספרדים העולמית שומרי תורה","מטלטל! 

נשיא המועצת חכם שלום כהן פורץ בבכי לנוכח האדישות: ״חייבים להתעורר לכבודו של הקב״ה ולעבוד ולפעול למען תנועת שס!״","מטלטל!   נשיא המועצת חכם שלום כהן פורץ בבכי לנוכח האדישות: ״חייבים להתעורר לכבודו של הקב״ה ולעבוד ולפעול למען תנועת שס!״",,,"lower_bound: 20000, upper_bound: 24999","lower_bound: 1500, upper_bound: 1999",ILS,"{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.001273},{""age"":""18-24"",""gender"":""male"",""percentage"":0.091236},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.005822},{""age"":""65+"",""gender"":""female"",""percentage"":0.071042},{""age"":""18-24"",""gender"":""female"",""percentage"":0.041979},{""age"":""55-64"",""gender"":""female"",""percentage"":0.057034},{""age"":""35-44"",""gender"":""male"",""percentage"":0.131851},{""age"":""45-54"",""gender"":""female"",""percentage"":0.050985},{""age"":""45-54"",""gender"":""male"",""percentage"":0.090463},{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.000273},{""age"":""25-34"",""gender"":""male"",""percentage"":0.174922},{""age"":""65+"",""gender"":""male"",""percentage"":0.067313},{""age"":""25-34"",""gender"":""female"",""percentage"":0.074044},{""age"":""35-44"",""gender"":""female"",""percentage"":0.060035},{""age"":""55-64"",""gender"":""male"",""percentage"":0.074453},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.002865},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.002138},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.002274}","{""region"":""Southern District"",""percentage"":0.032226},{""region"":""Central District"",""percentage"":0.369401},{""region"":""Northern District"",""percentage"":0.057627},{""region"":""Heifa"",""percentage"":0.176678},{""region"":""Tel Aviv"",""percentage"":0.119277},{""region"":""Jerusalem"",""percentage"":0.244791}","facebook,instagram","lower_bound: 100001, upper_bound: 500000",he
1945068145633836,664693323933235,"תנועת ש""ס",2021-03-16,2021-03-17,2021-03-23,"ש""ס התאחדות הספרדים העולמית שומרי תורה","לא היה דבר כזה!

כל גדולי הצדיקים והמקובלים מתפללים ומברכים אתכם במיוחד לקורונה: פרנסה, בריאות, זיווגים ונחת מהילדים!

צדיק גוזר והקב""ה מקיים. אל תחמיצו!","לא היה דבר כזה!",,,"lower_bound: 150000, upper_bound: 174999","lower_bound: 10000, upper_bound: 14999",ILS,"{""age"":""65+"",""gender"":""unknown"",""percentage"":0.000676},{""age"":""65+"",""gender"":""male"",""percentage"":0.044959},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.002186},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.003573},{""age"":""18-24"",""gender"":""female"",""percentage"":0.029973},{""age"":""35-44"",""gender"":""male"",""percentage"":0.15238},{""age"":""45-54"",""gender"":""male"",""percentage"":0.092503},{""age"":""25-34"",""gender"":""male"",""percentage"":0.265611},{""age"":""65+"",""gender"":""female"",""percentage"":0.045462},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.001266},{""age"":""55-64"",""gender"":""male"",""percentage"":0.067821},{""age"":""35-44"",""gender"":""female"",""percentage"":0.043919},{""age"":""55-64"",""gender"":""female"",""percentage"":0.043173},{""age"":""45-54"",""gender"":""female"",""percentage"":0.034847},{""age"":""18-24"",""gender"":""male"",""percentage"":0.119423},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.000711},{""age"":""25-34"",""gender"":""female"",""percentage"":0.05136},{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.000156}","{""region"":""Southern District"",""percentage"":0.181272},{""region"":""Central District"",""percentage"":0.240286},{""region"":""Northern District"",""percentage"":0.149005},{""region"":""Heifa"",""percentage"":0.100759},{""region"":""Tel Aviv"",""percentage"":0.154853},{""region"":""Jerusalem"",""percentage"":0.173825}","facebook,instagram","lower_bound: 100001, upper_bound: 500000",he
839037976651796,664693323933235,"תנועת ש""ס",2021-03-02,2021-03-02,2021-03-03,"ש""ס התאחדות הספרדים העולמית שומרי תורה","יהודי זה רק על פי המסורת!
לא נותנים לבגצ להרוס לנו את המדינה היהודית.",,,,"lower_bound: 40000, upper_bound: 44999","lower_bound: 1500, upper_bound: 1999",ILS,"{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.00017},{""age"":""18-24"",""gender"":""male"",""percentage"":0.093817},{""age"":""45-54"",""gender"":""female"",""percentage"":0.035817},{""age"":""35-44"",""gender"":""female"",""percentage"":0.047621},{""age"":""65+"",""gender"":""male"",""percentage"":0.079978},{""age"":""55-64"",""gender"":""female"",""percentage"":0.049384},{""age"":""25-34"",""gender"":""male"",""percentage"":0.207136},{""age"":""35-44"",""gender"":""male"",""percentage"":0.141505},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.001628},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.000848},{""age"":""25-34"",""gender"":""female"",""percentage"":0.055829},{""age"":""65+"",""gender"":""female"",""percentage"":0.063596},{""age"":""55-64"",""gender"":""male"",""percentage"":0.083268},{""age"":""45-54"",""gender"":""male"",""percentage"":0.100024},{""age"":""18-24"",""gender"":""female"",""percentage"":0.029576},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.005054},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.002713},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.002035}","{""region"":""Southern District"",""percentage"":0.03449},{""region"":""Central District"",""percentage"":0.356758},{""region"":""Northern District"",""percentage"":0.055722},{""region"":""Heifa"",""percentage"":0.16547},{""region"":""Tel Aviv"",""percentage"":0.119052},{""region"":""Jerusalem"",""percentage"":0.268507}",facebook,"lower_bound: 100001, upper_bound: 500000",he
138806611432976,664693323933235,"תנועת ש""ס",2021-02-23,2021-02-24,2021-02-24,"ש""ס התאחדות הספרדים העולמית שומרי תורה","השמירה על נישואין כדת משה וישראל היא סוד קיומנו כעם יהודי מאוחד.",,,,"lower_bound: 40000, upper_bound: 44999","lower_bound: 1500, upper_bound: 1999",ILS,"{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.004232},{""age"":""25-34"",""gender"":""male"",""percentage"":0.171488},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.0012},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.002399},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.0015},{""age"":""18-24"",""gender"":""female"",""percentage"":0.024793},{""age"":""65+"",""gender"":""female"",""percentage"":0.095808},{""age"":""55-64"",""gender"":""male"",""percentage"":0.08641},{""age"":""55-64"",""gender"":""female"",""percentage"":0.068982},{""age"":""45-54"",""gender"":""male"",""percentage"":0.098974},{""age"":""35-44"",""gender"":""male"",""percentage"":0.122901},{""age"":""65+"",""gender"":""male"",""percentage"":0.079612},{""age"":""35-44"",""gender"":""female"",""percentage"":0.057118},{""age"":""18-24"",""gender"":""male"",""percentage"":0.06345},{""age"":""25-34"",""gender"":""female"",""percentage"":0.063383},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.001733},{""age"":""45-54"",""gender"":""female"",""percentage"":0.055885},{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.000133}","{""region"":""Southern District"",""percentage"":0.034023},{""region"":""Central District"",""percentage"":0.369904},{""region"":""Northern District"",""percentage"":0.057713},{""region"":""Heifa"",""percentage"":0.146892},{""region"":""Tel Aviv"",""percentage"":0.122504},{""region"":""Jerusalem"",""percentage"":0.268964}",facebook,"lower_bound: 100001, upper_bound: 500000",he
441388120535007,664693323933235,"תנועת ש""ס",2021-02-22,2021-02-23,2021-02-23,"ש""ס התאחדות הספרדים העולמית שומרי תורה","במיוחד בשעת מגיפה, צריך למצוא את המאחד ולא את המפריד.",,,,"lower_bound: 45000, upper_bound: 49999","lower_bound: 1500, upper_bound: 1999",ILS,"{""age"":""18-24"",""gender"":""unknown"",""percentage"":5.5e-5},{""age"":""45-54"",""gender"":""male"",""percentage"":0.103687},{""age"":""45-54"",""gender"":""female"",""percentage"":0.055497},{""age"":""35-44"",""gender"":""female"",""percentage"":0.057075},{""age"":""55-64"",""gender"":""female"",""percentage"":0.077253},{""age"":""65+"",""gender"":""male"",""percentage"":0.07061},{""age"":""25-34"",""gender"":""female"",""percentage"":0.052895},{""age"":""55-64"",""gender"":""male"",""percentage"":0.083315},{""age"":""25-34"",""gender"":""male"",""percentage"":0.166187},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.001578},{""age"":""35-44"",""gender"":""male"",""percentage"":0.133331},{""age"":""18-24"",""gender"":""male"",""percentage"":0.064355},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.005813},{""age"":""65+"",""gender"":""female"",""percentage"":0.101528},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.002159},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.002685},{""age"":""18-24"",""gender"":""female"",""percentage"":0.021009},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.000969}","{""region"":""Southern District"",""percentage"":0.035232},{""region"":""Central District"",""percentage"":0.366908},{""region"":""Northern District"",""percentage"":0.059952},{""region"":""Heifa"",""percentage"":0.14772},{""region"":""Tel Aviv"",""percentage"":0.123761},{""region"":""Jerusalem"",""percentage"":0.266428}",facebook,"lower_bound: 100001, upper_bound: 500000",he
432412314875457,664693323933235,"תנועת ש""ס",2021-02-10,2021-02-11,2021-02-11,"ש""ס התאחדות הספרדים העולמית שומרי תורה","הצטרפו למסיבת ראש חודש אדר דברי תורה ומילתא דבדיחותא בהשתתפות מיטב זמרי הטברנה המזרחית
יום חמישי 11.2.2021 ערב ראש חודש אדר תשפ""א בשידור חי החל מהשעה 20:30 לתוך הלילה
להרשמה tinyurl.com/u885enmy",,,,"lower_bound: 9000, upper_bound: 9999","lower_bound: 300, upper_bound: 399",ILS,"{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.005346},{""age"":""18-24"",""gender"":""female"",""percentage"":0.170166},{""age"":""18-24"",""gender"":""male"",""percentage"":0.300561},{""age"":""25-34"",""gender"":""male"",""percentage"":0.342026},{""age"":""25-34"",""gender"":""female"",""percentage"":0.180988},{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.000913}","{""region"":""Southern District"",""percentage"":0.029742},{""region"":""Central District"",""percentage"":0.31581},{""region"":""Northern District"",""percentage"":0.049178},{""region"":""Heifa"",""percentage"":0.142317},{""region"":""Tel Aviv"",""percentage"":0.082312},{""region"":""Jerusalem"",""percentage"":0.380642}","facebook,instagram","lower_bound: 10001, upper_bound: 50000",he
1000570610408214,664693323933235,"תנועת ש""ס",2020-09-02,2020-09-02,2020-09-03,"ש""ס התאחדות הספרדים העולמית שומרי תורה","היום (ג') הגשנו עתירה לבית המשפט המחוזי בנצרת בדרישה לפתוח את נחל האסי לכלל הציבור באופן מיידי.
את העתירה הגיש מטעם ש""ס חבר הכנסת משה ארבל, ועיקרה של העתירה היא הדרישה לפתיחה מיידית של נחל האסי לכלל תושבי מדינת ישראל.
אנו מכבדים את תושבי הקיבוץ ואת תרומתם לפיתוח הנחל, וכמו כן את זכאותם לפרטיות במרחב הביתי, אך
לא הגיוני שחברי הקיבוץ יחסמו את דרכי הגישה אל הנחל.
לא מתקבל על הדעת שתושבי בית שאן ישארו מחוץ לגדר, בעוד חברי הקיבוץ לקחו בעלות על משאב טבע ציבורי.
אנחנו כאן כדי לפתור עוולות חברתיות, ונמשיך להילחם עד שנחל האסי יהיה של כולם.",,,,"lower_bound: 15000, upper_bound: 19999","lower_bound: 400, upper_bound: 499",ILS,"{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.001194},{""age"":""55-64"",""gender"":""male"",""percentage"":0.091418},{""age"":""65+"",""gender"":""male"",""percentage"":0.10597},{""age"":""18-24"",""gender"":""male"",""percentage"":0.132985},{""age"":""25-34"",""gender"":""male"",""percentage"":0.190746},{""age"":""18-24"",""gender"":""female"",""percentage"":0.038134},{""age"":""55-64"",""gender"":""female"",""percentage"":0.047463},{""age"":""65+"",""gender"":""female"",""percentage"":0.075597},{""age"":""45-54"",""gender"":""female"",""percentage"":0.030448},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.001418},{""age"":""25-34"",""gender"":""female"",""percentage"":0.043955},{""age"":""45-54"",""gender"":""male"",""percentage"":0.091567},{""age"":""35-44"",""gender"":""male"",""percentage"":0.106716},{""age"":""35-44"",""gender"":""female"",""percentage"":0.032687},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.004104},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.003134},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.002015},{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.000448}","{""region"":""Southern District"",""percentage"":0.027033},{""region"":""Central District"",""percentage"":0.234408},{""region"":""Northern District"",""percentage"":0.084772},{""region"":""Heifa"",""percentage"":0.172556},{""region"":""Tel Aviv"",""percentage"":0.073826},{""region"":""Jerusalem"",""percentage"":0.407405}","facebook,instagram","lower_bound: 100001, upper_bound: 500000",he
3103521692993346,664693323933235,"תנועת ש""ס",2020-03-02,2020-03-02,2020-03-02,"ש""ס התאחדות הספרדים העולמית שומרי תורה","גדולי הרבנים והמקובלים בראשות גדול הדור חכם שלום כהן שליט״א יתפללו בכותל המערבי ביום הבחירות בשעה 10:00 על כל המצביעים לתנועת ש״ס  לישועה והצלחה, לרפואה, לפרנסה, לזיווגים הגונים ולשמירה והצלה ממגיפת הקורונה. 

 שידור חי של התפילה כאן בדף. בלינק הזה (שימו תזכורת): https://tinyurl.com/wbmtvo9
שלחו לנו שמות לברכה, כאן בתגובות.",,,,"lower_bound: 15000, upper_bound: 19999","lower_bound: 300, upper_bound: 399",ILS,"{""age"":""25-34"",""gender"":""male"",""percentage"":0.264947},{""age"":""55-64"",""gender"":""female"",""percentage"":0.027084},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.000271},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.000135},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.001016},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.000474},{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.000406},{""age"":""65+"",""gender"":""male"",""percentage"":0.020922},{""age"":""35-44"",""gender"":""female"",""percentage"":0.035006},{""age"":""18-24"",""gender"":""female"",""percentage"":0.074954},{""age"":""45-54"",""gender"":""female"",""percentage"":0.029115},{""age"":""45-54"",""gender"":""male"",""percentage"":0.065272},{""age"":""55-64"",""gender"":""male"",""percentage"":0.035344},{""age"":""65+"",""gender"":""female"",""percentage"":0.021396},{""age"":""35-44"",""gender"":""male"",""percentage"":0.104611},{""age"":""25-34"",""gender"":""female"",""percentage"":0.070959},{""age"":""18-24"",""gender"":""male"",""percentage"":0.247275},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.000813}","{""region"":""Jerusalem"",""percentage"":1}","facebook,instagram",,he
817089045437490,664693323933235,"תנועת ש""ס",2020-03-02,2020-03-02,2020-03-02,"ש""ס התאחדות הספרדים העולמית שומרי תורה","ברכת הכהן הגדול, גדול הדור חכם שלום כהן הבוקר ביציאתו מהקלפי בעיר העתיקה בירושלים לכל מי שמצביע ש״ס: 

״לכל האלה שעמלים הם עצמם להצביע לתנועת שס וכל שכן אלה שמשפיעים על אחרים ומזכים את הרבים ומשכנעים אותם להצביע, ה' יזכה אותם בכל הברכות ובריאות איתנה, שידוכין, זיווגים, פרנסה, הכל, לא חולי ולא מחלה וכן יהי רצון ונאמר אמן״.","ברכת הכהן הגדול, גדול הדור חכם שלום כהן הבוקר ביציאתו מהקלפי בעיר העתיקה בירושלים לכל מי שמצביע ש״ס:",,,"lower_bound: 30000, upper_bound: 34999","lower_bound: 2500, upper_bound: 2999",ILS,"{""age"":""45-54"",""gender"":""male"",""percentage"":0.066317},{""age"":""65+"",""gender"":""female"",""percentage"":0.044579},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.000968},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.001736},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.001236},{""age"":""45-54"",""gender"":""female"",""percentage"":0.075934},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.003807},{""age"":""18-24"",""gender"":""female"",""percentage"":0.111864},{""age"":""25-34"",""gender"":""female"",""percentage"":0.137643},{""age"":""35-44"",""gender"":""male"",""percentage"":0.086653},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.004875},{""age"":""25-34"",""gender"":""male"",""percentage"":0.134938},{""age"":""55-64"",""gender"":""female"",""percentage"":0.05276},{""age"":""35-44"",""gender"":""female"",""percentage"":0.106956},{""age"":""55-64"",""gender"":""male"",""percentage"":0.041774},{""age"":""18-24"",""gender"":""male"",""percentage"":0.093265},{""age"":""65+"",""gender"":""male"",""percentage"":0.034361},{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.000334}","{""region"":""Southern District"",""percentage"":0.024912},{""region"":""Central District"",""percentage"":0.322992},{""region"":""Northern District"",""percentage"":0.051485},{""region"":""Heifa"",""percentage"":0.203116},{""region"":""Tel Aviv"",""percentage"":0.098618},{""region"":""Jerusalem"",""percentage"":0.298877}","facebook,instagram",,he
2088685114610205,664693323933235,"תנועת ש""ס",2020-03-01,2020-03-02,2020-03-02,"ש""ס התאחדות הספרדים העולמית שומרי תורה","ברכה נדירה! מבנם של קדושים האדמו״ר רבי דוד אבוחצירא מנהריה למצביעי תנועת שס. צפו בברכה בכתב יד קדשו!",,,,"lower_bound: 20000, upper_bound: 24999","lower_bound: 1000, upper_bound: 1499",ILS,"{""age"":""35-44"",""gender"":""female"",""percentage"":0.099657},{""age"":""65+"",""gender"":""male"",""percentage"":0.039863},{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.000147},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.00142},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.003967},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.001371},{""age"":""35-44"",""gender"":""male"",""percentage"":0.088688},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.004261},{""age"":""45-54"",""gender"":""male"",""percentage"":0.061606},{""age"":""18-24"",""gender"":""female"",""percentage"":0.09143},{""age"":""25-34"",""gender"":""male"",""percentage"":0.134574},{""age"":""45-54"",""gender"":""female"",""percentage"":0.074437},{""age"":""55-64"",""gender"":""female"",""percentage"":0.063173},{""age"":""65+"",""gender"":""female"",""percentage"":0.062684},{""age"":""25-34"",""gender"":""female"",""percentage"":0.147013},{""age"":""55-64"",""gender"":""male"",""percentage"":0.043438},{""age"":""18-24"",""gender"":""male"",""percentage"":0.081587},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.000686}","{""region"":""Southern District"",""percentage"":0.029997},{""region"":""Central District"",""percentage"":0.310411},{""region"":""Northern District"",""percentage"":0.068425},{""region"":""Heifa"",""percentage"":0.21243},{""region"":""Tel Aviv"",""percentage"":0.100627},{""region"":""Jerusalem"",""percentage"":0.27811}","facebook,instagram",,he
