source,party_name,week_start_sunday,week_index_since_2020,total_spend_week,avg_spend_per_day_week,currency,rel_week,y
google,KEREN GONEN,2023-09-24,195,250,35.714285714285715,ILS,-2,5.5254529391317835
google,KEREN GONEN,2023-10-01,196,250,35.714285714285715,ILS,-1,5.5254529391317835
google,KEREN GONEN,2023-10-08,197,250,35.714285714285715,ILS,0,5.5254529391317835
google,KEREN GONEN,2023-10-15,198,250,35.714285714285715,ILS,1,5.5254529391317835
google,KEREN GONEN,2023-10-22,199,250,35.714285714285715,ILS,2,5.5254529391317835
google,Mark Shteyn,2023-09-24,195,500,71.42857142857143,ILS,-2,6.2166061010848646
google,Mark Shteyn,2023-10-01,196,500,71.42857142857143,ILS,-1,6.2166061010848646
google,Mark Shteyn,2023-10-22,199,250,35.714285714285715,ILS,2,5.5254529391317835
google,Yaniv Derry,2023-09-24,195,250,35.714285714285715,ILS,-2,5.5254529391317835
google,גלית אבינועם. מחזירה את המושבה לנס ציונה,2023-09-24,195,250,35.714285714285715,ILS,-2,5.5254529391317835
google,גלית אבינועם. מחזירה את המושבה לנס ציונה,2023-10-01,196,250,35.714285714285715,ILS,-1,5.5254529391317835
google,גלית אבינועם. מחזירה את המושבה לנס ציונה,2023-10-08,197,250,35.714285714285715,ILS,0,5.5254529391317835
google,האיחוד הלאומי תקומה,2023-09-24,195,250,35.714285714285715,ILS,-2,5.5254529391317835
google,האיחוד הלאומי תקומה,2023-10-01,196,1250,178.57142857142858,ILS,-1,7.1316985104669115
google,יש עתיד - בראשות יאיר לפיד,2023-10-08,197,250,35.714285714285715,ILS,0,5.5254529391317835
google,ישראל ביתנו,2023-09-24,195,1000,142.85714285714286,ILS,-2,6.90875477931522
google,ישראל ביתנו,2023-10-01,196,1000,142.85714285714286,ILS,-1,6.90875477931522
google,ישראל ביתנו,2023-10-08,197,500,71.42857142857143,ILS,0,6.2166061010848646
google,סויטק ניהול עסקים,2023-10-01,196,250,35.714285714285715,ILS,-1,5.5254529391317835
google,"פורום קהלת (ע""ר)",2023-09-24,195,250,35.714285714285715,ILS,-2,5.5254529391317835
google,"פורום קהלת (ע""ר)",2023-10-01,196,250,35.714285714285715,ILS,-1,5.5254529391317835
google,"פורום קהלת (ע""ר)",2023-10-08,197,250,35.714285714285715,ILS,0,5.5254529391317835
google,"פורום קהלת (ע""ר)",2023-10-15,198,250,35.714285714285715,ILS,1,5.5254529391317835
google,"פורום קהלת (ע""ר)",2023-10-22,199,250,35.714285714285715,ILS,2,5.5254529391317835
google,"ש""ס התאחדות הספרדים העולמית שומרי תורה",2023-09-24,195,250,35.714285714285715,ILS,-2,5.5254529391317835
google,‪Danel Salim‬‏,2023-09-24,195,250,35.714285714285715,ILS,-2,5.5254529391317835
google,‪Danel Salim‬‏,2023-10-01,196,250,35.714285714285715,ILS,-1,5.5254529391317835
google,‪Danel Salim‬‏,2023-10-08,197,250,35.714285714285715,ILS,0,5.5254529391317835
google,‪Danel Salim‬‏,2023-10-15,198,250,35.714285714285715,ILS,1,5.5254529391317835
google,‪Danel Salim‬‏,2023-10-22,199,250,35.714285714285715,ILS,2,5.5254529391317835
meta,Haaretz הארץ,2023-09-24,195,1740.35,248.6214285714286,ILS,-2,7.462415953452155
meta,Haaretz הארץ,2023-10-01,196,2124.4750000000004,303.4964285714286,ILS,-1,7.661750585791306
meta,Haaretz הארץ,2023-10-08,197,1926.15,275.1642857142857,ILS,0,7.563797506588841
meta,Haaretz הארץ,2023-10-15,198,1717.525,245.3607142857143,ILS,1,7.44922164375463
meta,Haaretz הארץ,2023-10-22,199,549.825,78.54642857142858,ILS,2,6.311417154350252
meta,Nir Barkat - ניר ברקת,2023-09-24,195,1019.375,145.625,ILS,-2,6.92792548577152
meta,Nir Barkat - ניר ברקת,2023-10-15,198,137.375,19.625,ILS,1,4.929967391028801
meta,Nir Barkat - ניר ברקת,2023-10-22,199,2210.125,315.73214285714283,ILS,2,7.701256714763671
meta,אביגדול ליברמן,2023-09-24,195,446.75,63.82142857142857,ILS,-2,6.1042350409408215
meta,אביגדול ליברמן,2023-10-01,196,2061.375,294.48214285714283,ILS,-1,7.631613510311609
meta,אביגדול ליברמן,2023-10-08,197,475.875,67.98214285714286,ILS,0,6.167254402038721
meta,אביגדול ליברמן,2023-10-15,198,636.75,90.96428571428572,ILS,1,6.457946357021921
meta,אביגדול ליברמן,2023-10-22,199,694,99.14285714285714,ILS,2,6.543911845564792
meta,בצלאל סמוטריץ_,2023-09-24,195,9139.5,1305.642857142857,ILS,-2,9.12047036754714
meta,בצלאל סמוטריץ_,2023-10-15,198,12772.125,1824.5892857142856,ILS,1,9.4550986332628
meta,בצלאל סמוטריץ_,2023-10-22,199,7209.875,1029.982142857143,ILS,2,8.88334558213886
meta,גדעון סער,2023-09-24,195,93.4375,13.348214285714286,ILS,-2,4.547938240032958
meta,גדעון סער,2023-10-01,196,56.0625,8.008928571428571,ILS,-1,4.044147158355187
