ad_archive_id,page_id,page_name,ad_creation_time,ad_delivery_start_time,ad_delivery_stop_time,byline,ad_creative_bodies,ad_creative_link_titles,ad_creative_link_captions,ad_creative_link_descriptions,impressions,spend,currency,demographic_distribution,delivery_by_region,publisher_platforms,estimated_audience_size,languages
8.38251E+14,1.59416E+14,Nir Barkat - ניר ברקת,10/12/2025,11/12/2025,13/12/2025,Nir Barkat - ניר ברקת,"‏סוף לשב""חים הפלסטינים שמסכנים את ישראל. לאחר ה-7.10 יצאתי נגד עמדת מערכת הביטחון שרצתה להכניס פועלים מהרשות הפלסטינית והבאתי במקומם עשרות אלפי פועלים זרים מרחבי העולם. לאור ההצלחה, ראש הממשלה נתניהו ואני מביאים לתעשייה גל נוסף של עובדים, כך שלא נזדקק יותר לפועלים פלסטינים מהרשות הפלסטינית. זהו מהלך היסטורי שישנה את המציאות לדורות!",,,,"lower_bound: 250000, upper_bound: 299999","lower_bound: 2000, upper_bound: 2499",ILS,"{""age"":""18-24"",""gender"":""female"",""__umapi_query_id"":""h657xnnwvs913ye1ks9t"",""percentage"":0.002456},{""age"":""45-54"",""gender"":""male"",""percentage"":0.172681},{""age"":""65+"",""gender"":""male"",""percentage"":0.059996},{""age"":""65+"",""gender"":""female"",""percentage"":0.018207},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.000548},{""age"":""55-64"",""gender"":""male"",""percentage"":0.111198},{""age"":""55-64"",""gender"":""female"",""percentage"":0.014645},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.001267},{""age"":""45-54"",""gender"":""female"",""percentage"":0.011575},{""age"":""18-24"",""gender"":""male"",""percentage"":0.06312},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.002129},{""age"":""35-44"",""gender"":""male"",""percentage"":0.249069},{""age"":""35-44"",""gender"":""female"",""percentage"":0.011835},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.000763},{""age"":""25-34"",""gender"":""male"",""percentage"":0.269411},{""age"":""25-34"",""gender"":""female"",""percentage"":0.010486},{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.000254},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.000359}","{""region"":""Central District"",""__umapi_query_id"":""oayftmojewqe6ppvyhdv"",""percentage"":0.18925},{""region"":""Heifa"",""percentage"":0.112466},{""region"":""Jerusalem"",""percentage"":0.209113},{""region"":""Northern District"",""percentage"":0.2157},{""region"":""Southern District"",""percentage"":0.152102},{""region"":""Tel Aviv"",""percentage"":0.121286},{""region"":""Unknown"",""percentage"":8.3e-5}","facebook,instagram",lower_bound: 1000001,he
1.72798E+15,1.59416E+14,Nir Barkat - ניר ברקת,09/12/2025,09/12/2025,14/12/2025,Nir Barkat - ניר ברקת,"הענקתי הערב בהתרגשות גדולה את ספר התנ""ך ואת אותות הגבורה והתקווה לפדוי השבי איתן מור ואביו צביקה מור.

איפה יש עוד אנשים כאלה 🇮🇱❤️",,,,"lower_bound: 100000, upper_bound: 124999","lower_bound: 3000, upper_bound: 3499",ILS,"{""age"":""18-24"",""gender"":""female"",""__umapi_query_id"":""wgc9ppsns97q0biz4jcl"",""percentage"":0.051616},{""age"":""45-54"",""gender"":""male"",""percentage"":0.074875},{""age"":""65+"",""gender"":""male"",""percentage"":0.10422},{""age"":""65+"",""gender"":""female"",""percentage"":0.153249},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.001255},{""age"":""55-64"",""gender"":""male"",""percentage"":0.077119},{""age"":""55-64"",""gender"":""female"",""percentage"":0.076434},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.002149},{""age"":""45-54"",""gender"":""female"",""percentage"":0.050189},{""age"":""18-24"",""gender"":""male"",""percentage"":0.122192},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.001978},{""age"":""35-44"",""gender"":""male"",""percentage"":0.077214},{""age"":""35-44"",""gender"":""female"",""percentage"":0.032997},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.001027},{""age"":""25-34"",""gender"":""male"",""percentage"":0.12767},{""age"":""25-34"",""gender"":""female"",""percentage"":0.042867},{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.000989},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.001959}","{""region"":""Central District"",""__umapi_query_id"":""lfbo5ghcajnhmguwdm0a"",""percentage"":0.278288},{""region"":""Gaza Strip"",""percentage"":0.000417},{""region"":""Heifa"",""percentage"":0.111359},{""region"":""Jerusalem"",""percentage"":0.118536},{""region"":""Nabatieh Governorate"",""percentage"":0.000453},{""region"":""Northern District"",""percentage"":0.124064},{""region"":""Quneitra Governorate"",""percentage"":0.000816},{""region"":""South Governorate"",""percentage"":3.6e-5},{""region"":""Southern District"",""percentage"":0.111504},{""region"":""Tel Aviv"",""percentage"":0.222754},{""region"":""West Bank"",""percentage"":0.031773}","facebook,instagram",lower_bound: 1000001,he
7.13352E+14,1.59416E+14,Nir Barkat - ניר ברקת,21/11/2025,21/11/2025,27/11/2025,Nir Barkat - ניר ברקת,"כוח ירושלמי מאוחד בסניף הליכוד זה יותר בניה ופיתוח בירושלים, יותר השקעה בתשתיות ותחבורה ויותר תקציבים לעיר.
צפו בקטע מהראיון שלי לקראת הבחירות ביום שלישי הקרוב לפודקאסט של מלוכדים ניוז.",צאו להצביע בבחירות לועידת הליכוד ולמועצת הסניף לרשימה המאוחדת.,,,"lower_bound: 50000, upper_bound: 59999","lower_bound: 1500, upper_bound: 1999",ILS,"{""age"":""18-24"",""gender"":""female"",""__umapi_query_id"":""ara3jmzjee5m3mxcybam"",""percentage"":0.003014},{""age"":""45-54"",""gender"":""male"",""percentage"":0.125333},{""age"":""65+"",""gender"":""male"",""percentage"":0.115246},{""age"":""65+"",""gender"":""female"",""percentage"":0.070918},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.002667},{""age"":""55-64"",""gender"":""male"",""percentage"":0.097005},{""age"":""55-64"",""gender"":""female"",""percentage"":0.054879},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.005643},{""age"":""45-54"",""gender"":""female"",""percentage"":0.063845},{""age"":""18-24"",""gender"":""male"",""percentage"":0.009275},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.006531},{""age"":""35-44"",""gender"":""male"",""percentage"":0.165565},{""age"":""35-44"",""gender"":""female"",""percentage"":0.075092},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.001585},{""age"":""25-34"",""gender"":""male"",""percentage"":0.14628},{""age"":""25-34"",""gender"":""female"",""percentage"":0.054261},{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.000116},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.002744}","{""region"":""Central District"",""__umapi_query_id"":""n4kle63cykg6862hpk3s"",""percentage"":0.010366},{""region"":""Jerusalem"",""percentage"":0.845775},{""region"":""West Bank"",""percentage"":0.143859}","facebook,instagram","lower_bound: 50001, upper_bound: 100000",he
2.03758E+15,1.59416E+14,Nir Barkat - ניר ברקת,20/11/2025,20/11/2025,22/11/2025,Nir Barkat - ניר ברקת,"עושים היסטוריה! 
חתמנו כעת על חידוש השיחות להסכם סחר חופשי בין ישראל להודו שהיא הכלכלה החמישית בגודלה בעולם וגרים בה כ1.4 מליארד תושבים!
תודה לחברי שר הכלכלה ההודי, פיוש גויאל על העבודה המשותפת למען חיזוק היחסים הכלכליים בין המדינות.
🇮🇱🇮🇳",,,,"lower_bound: 70000, upper_bound: 79999","lower_bound: 1500, upper_bound: 1999",ILS,"{""age"":""18-24"",""gender"":""female"",""__umapi_query_id"":""bd0zbp4z2f3zvd6srznh"",""percentage"":0.03773},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.00188},{""age"":""Unknown"",""gender"":""female"",""percentage"":1.8e-5},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.001057},{""age"":""65+"",""gender"":""male"",""percentage"":0.070249},{""age"":""65+"",""gender"":""female"",""percentage"":0.062281},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.000788},{""age"":""55-64"",""gender"":""male"",""percentage"":0.064268},{""age"":""55-64"",""gender"":""female"",""percentage"":0.035492},{""age"":""45-54"",""gender"":""male"",""percentage"":0.080797},{""age"":""18-24"",""gender"":""male"",""percentage"":0.142862},{""age"":""45-54"",""gender"":""female"",""percentage"":0.027828},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.002006},{""age"":""35-44"",""gender"":""male"",""percentage"":0.148951},{""age"":""35-44"",""gender"":""female"",""percentage"":0.027183},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.001433},{""age"":""25-34"",""gender"":""male"",""percentage"":0.26198},{""age"":""25-34"",""gender"":""female"",""percentage"":0.031355},{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.001791},{""age"":""Unknown"",""gender"":""male"",""percentage"":5.4e-5}","{""region"":""Central District"",""__umapi_query_id"":""a22a7ub7ogafhz69rhik"",""percentage"":0.260051},{""region"":""Gaza Strip"",""percentage"":0.000277},{""region"":""Heifa"",""percentage"":0.109534},{""region"":""Irbid Governorate"",""percentage"":0.000138},{""region"":""Jerusalem"",""percentage"":0.131445},{""region"":""Nabatieh Governorate"",""percentage"":0.00026},{""region"":""Northern District"",""percentage"":0.135217},{""region"":""Quneitra Governorate"",""percentage"":0.000658},{""region"":""South Governorate"",""percentage"":6.9e-5},{""region"":""Southern District"",""percentage"":0.11644},{""region"":""Tel Aviv"",""percentage"":0.221751},{""region"":""West Bank"",""percentage"":0.02416}","facebook,instagram",lower_bound: 1000001,he
8.58811E+14,1.59416E+14,Nir Barkat - ניר ברקת,19/11/2025,19/11/2025,27/11/2025,Nir Barkat - ניר ברקת,"פניה אישית של השרים ניר ברקת ודודי אמסלם לחברי הליכוד בירושלים:
צאו להצביע בבחירות לועידת הליכוד ולמועצת הסניף לרשימה המאוחדת.
יחד נחזק את הליכוד ואת ראש הממשלה בנימין נתניהו.",צאו להצביע בבחירות לועידת הליכוד ולמועצת הסניף לרשימה המאוחדת.,,,"lower_bound: 250000, upper_bound: 299999","lower_bound: 4500, upper_bound: 4999",ILS,"{""age"":""18-24"",""gender"":""female"",""__umapi_query_id"":""l52wh08rnpu5slt15y3s"",""percentage"":0.006854},{""age"":""45-54"",""gender"":""male"",""percentage"":0.129909},{""age"":""65+"",""gender"":""male"",""percentage"":0.139869},{""age"":""65+"",""gender"":""female"",""percentage"":0.112905},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.001539},{""age"":""55-64"",""gender"":""male"",""percentage"":0.113629},{""age"":""55-64"",""gender"":""female"",""percentage"":0.052766},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.003111},{""age"":""45-54"",""gender"":""female"",""percentage"":0.044561},{""age"":""18-24"",""gender"":""male"",""percentage"":0.025538},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.003641},{""age"":""35-44"",""gender"":""male"",""percentage"":0.155219},{""age"":""35-44"",""gender"":""female"",""percentage"":0.042433},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.001064},{""age"":""25-34"",""gender"":""male"",""percentage"":0.13161},{""age"":""25-34"",""gender"":""female"",""percentage"":0.032943},{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.000227},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.002182}","{""region"":""Central District"",""__umapi_query_id"":""x20umirwsq7xh9todssc"",""percentage"":0.230594},{""region"":""Gaza Strip"",""percentage"":0.000539},{""region"":""Heifa"",""percentage"":0.116977},{""region"":""Irbid Governorate"",""percentage"":4.1e-5},{""region"":""Jerusalem"",""percentage"":0.148908},{""region"":""Nabatieh Governorate"",""percentage"":0.000275},{""region"":""Northern District"",""percentage"":0.188966},{""region"":""Quneitra Governorate"",""percentage"":0.001431},{""region"":""South Governorate"",""percentage"":8.8e-5},{""region"":""Southern District"",""percentage"":0.079056},{""region"":""Tel Aviv"",""percentage"":0.201198},{""region"":""West Bank"",""percentage"":0.031926}","facebook,instagram",lower_bound: 1000001,he
8.52279E+14,1.59416E+14,Nir Barkat - ניר ברקת,17/11/2025,18/11/2025,27/11/2025,Nir Barkat - ניר ברקת,"הניצחון בבחירות מתחיל באחדות בסניף ירושלים!
אחרי למעלה מעשור, ביום שלישי הבא, 25.11, יתקיימו הבחירות לוועידת הליכוד ולמועצת הסניף בבנייני האומה בירושלים, 
כל חבר ליכוד זכאי להצביע ולהיות שותף בחיזוק סניף ירושלים של התנועה, ובחיזוק הליכוד בראשות ראש הממשלה בנימין נתניהו.
אני שמח לבשר על איחוד משמעותי בסניף ירושלים, שאותו הובלתי יחד עם חברי, השר דודי אמסלם, ועם קבוצות נוספות בסניף.
אני מזמין אתכם להגיע ביום שלישי להצביע, לחזק את תנועת הליכוד וראש הממשלה בנימין נתניהו, לקחת חלק באיחוד הסניף הירושלמי הגדול במדינה  ולהצטרף להיערכות לקראת ניצחון הליכוד בבחירות לכנסת.",,,,"lower_bound: 125000, upper_bound: 149999","lower_bound: 4500, upper_bound: 4999",ILS,"{""age"":""18-24"",""gender"":""female"",""__umapi_query_id"":""p7bwi45bmc9e8yb7ym8w"",""percentage"":0.016035},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.002422},{""age"":""Unknown"",""gender"":""female"",""percentage"":3.0e-5},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.002317},{""age"":""65+"",""gender"":""male"",""percentage"":0.158967},{""age"":""65+"",""gender"":""female"",""percentage"":0.139082},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.001579},{""age"":""55-64"",""gender"":""male"",""percentage"":0.116834},{""age"":""55-64"",""gender"":""female"",""percentage"":0.059538},{""age"":""45-54"",""gender"":""male"",""percentage"":0.106259},{""age"":""18-24"",""gender"":""male"",""percentage"":0.048873},{""age"":""45-54"",""gender"":""female"",""percentage"":0.035695},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.002678},{""age"":""35-44"",""gender"":""male"",""percentage"":0.107327},{""age"":""35-44"",""gender"":""female"",""percentage"":0.027497},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.001053},{""age"":""25-34"",""gender"":""male"",""percentage"":0.138089},{""age"":""25-34"",""gender"":""female"",""percentage"":0.035199},{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.000481},{""age"":""Unknown"",""gender"":""male"",""percentage"":4.5e-5}","{""region"":""Central District"",""__umapi_query_id"":""iwcsj0dgdgcpk2bh53sd"",""percentage"":0.2664},{""region"":""Gaza Strip"",""percentage"":0.00034},{""region"":""Heifa"",""percentage"":0.121706},{""region"":""Irbid Governorate"",""percentage"":9.9e-5},{""region"":""Jerusalem"",""percentage"":0.124337},{""region"":""Nabatieh Governorate"",""percentage"":0.00017},{""region"":""Northern District"",""percentage"":0.137154},{""region"":""Quneitra Governorate"",""percentage"":0.000693},{""region"":""South Governorate"",""percentage"":5.7e-5},{""region"":""Southern District"",""percentage"":0.094091},{""region"":""Tel Aviv"",""percentage"":0.234301},{""region"":""West Bank"",""percentage"":0.020654}","facebook,instagram",lower_bound: 1000001,he
8.2681E+14,1.59416E+14,Nir Barkat - ניר ברקת,17/11/2025,17/11/2025,22/11/2025,Nir Barkat - ניר ברקת,מדינה פלסטינית לא תקום ולא תהיה.,,,,"lower_bound: 200000, upper_bound: 249999","lower_bound: 1500, upper_bound: 1999",ILS,"{""age"":""18-24"",""gender"":""female"",""__umapi_query_id"":""j577hgzt2toqxkt77ah2"",""percentage"":0.002354},{""age"":""45-54"",""gender"":""male"",""percentage"":0.195896},{""age"":""65+"",""gender"":""male"",""percentage"":0.1274},{""age"":""65+"",""gender"":""female"",""percentage"":0.03961},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.00138},{""age"":""55-64"",""gender"":""male"",""percentage"":0.162389},{""age"":""55-64"",""gender"":""female"",""percentage"":0.021959},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.002266},{""age"":""45-54"",""gender"":""female"",""percentage"":0.013375},{""age"":""18-24"",""gender"":""male"",""percentage"":0.035665},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.002145},{""age"":""35-44"",""gender"":""male"",""percentage"":0.195619},{""age"":""35-44"",""gender"":""female"",""percentage"":0.009566},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.001137},{""age"":""25-34"",""gender"":""male"",""percentage"":0.178118},{""age"":""25-34"",""gender"":""female"",""percentage"":0.009836},{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.00021},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.001076}","{""region"":""Central District"",""__umapi_query_id"":""6svb6h83p292nrf7pygh"",""percentage"":0.157821},{""region"":""Gaza Strip"",""percentage"":0.000309},{""region"":""Heifa"",""percentage"":0.111594},{""region"":""Irbid Governorate"",""percentage"":4.6e-5},{""region"":""Jerusalem"",""percentage"":0.20862},{""region"":""Nabatieh Governorate"",""percentage"":0.00019},{""region"":""Northern District"",""percentage"":0.270073},{""region"":""Quneitra Governorate"",""percentage"":0.002108},{""region"":""South Governorate"",""percentage"":8.5e-5},{""region"":""Southern District"",""percentage"":0.066457},{""region"":""Tel Aviv"",""percentage"":0.128967},{""region"":""West Bank"",""percentage"":0.053728}","facebook,instagram",lower_bound: 1000001,he
1.3279E+15,1.59416E+14,Nir Barkat - ניר ברקת,17/11/2025,17/11/2025,20/11/2025,Nir Barkat - ניר ברקת,"הניצחון בבחירות מתחיל באחדות בסניף ירושלים!
אחרי למעלה מעשור, ביום שלישי הבא, 25.11, יתקיימו הבחירות לוועידת הליכוד ולמועצת הסניף בבנייני האומה בירושלים, בין השעות ___.
כל חבר ליכוד זכאי להצביע ולהיות שותף בחיזוק סניף ירושלים של התנועה, ובחיזוק הליכוד בראשות ראש הממשלה בנימין נתניהו.
אני שמח לבשר על איחוד משמעותי בסניף ירושלים, שאותו הובלתי יחד עם חברי, השר דודי אמסלם, ועם קבוצות נוספות בסניף.
אני מזמין אתכם להגיע ביום שלישי להצביע, לחזק את תנועת הליכוד וראש הממשלה בנימין נתניהו, לקחת חלק באיחוד הסניף הירושלמי הגדול במדינה  ולהצטרף להיערכות לקראת ניצחון הליכוד בבחירות לכנסת.",,,,"lower_bound: 10000, upper_bound: 14999","lower_bound: 200, upper_bound: 299",ILS,"{""age"":""18-24"",""gender"":""female"",""__umapi_query_id"":""qpgkt38l5v4zu6623h3m"",""percentage"":0.006673},{""age"":""45-54"",""gender"":""male"",""percentage"":0.127669},{""age"":""65+"",""gender"":""male"",""percentage"":0.168817},{""age"":""65+"",""gender"":""female"",""percentage"":0.131228},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.001779},{""age"":""55-64"",""gender"":""male"",""percentage"":0.142238},{""age"":""55-64"",""gender"":""female"",""percentage"":0.060276},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.00367},{""age"":""45-54"",""gender"":""female"",""percentage"":0.02758},{""age"":""18-24"",""gender"":""male"",""percentage"":0.035254},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.002891},{""age"":""35-44"",""gender"":""male"",""percentage"":0.119662},{""age"":""35-44"",""gender"":""female"",""percentage"":0.012789},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.000778},{""age"":""25-34"",""gender"":""male"",""percentage"":0.142571},{""age"":""25-34"",""gender"":""female"",""percentage"":0.013679},{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.000222},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.002224}","{""region"":""Central District"",""__umapi_query_id"":""em6fbjv0f6k4twzqbkd6"",""percentage"":0.259463},{""region"":""Heifa"",""percentage"":0.095401},{""region"":""Irbid Governorate"",""percentage"":0.00022},{""region"":""Jerusalem"",""percentage"":0.18607},{""region"":""Nabatieh Governorate"",""percentage"":0.00033},{""region"":""Northern District"",""percentage"":0.109815},{""region"":""Quneitra Governorate"",""percentage"":0.00088},{""region"":""Southern District"",""percentage"":0.080766},{""region"":""Tel Aviv"",""percentage"":0.242848},{""region"":""West Bank"",""percentage"":0.024208}","facebook,instagram",lower_bound: 1000001,he
1.86401E+15,1.59416E+14,Nir Barkat - ניר ברקת,12/11/2025,12/11/2025,14/11/2025,Nir Barkat - ניר ברקת,"בית”ר ניצחה אמש ניצחון היסטורי, גאווה ענקית
בית״ר אני איתכם 💛🖤",,,,"lower_bound: 50000, upper_bound: 59999","lower_bound: 400, upper_bound: 499",ILS,"{""age"":""18-24"",""gender"":""female"",""__umapi_query_id"":""ys9ty1oecvebgm65xrev"",""percentage"":0.003774},{""age"":""45-54"",""gender"":""male"",""percentage"":0.138672},{""age"":""65+"",""gender"":""male"",""percentage"":0.112075},{""age"":""65+"",""gender"":""female"",""percentage"":0.026148},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.001415},{""age"":""55-64"",""gender"":""male"",""percentage"":0.11805},{""age"":""55-64"",""gender"":""female"",""percentage"":0.010019},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.003662},{""age"":""45-54"",""gender"":""female"",""percentage"":0.008402},{""age"":""18-24"",""gender"":""male"",""percentage"":0.07849},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.005369},{""age"":""35-44"",""gender"":""male"",""percentage"":0.198517},{""age"":""35-44"",""gender"":""female"",""percentage"":0.009255},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.001595},{""age"":""25-34"",""gender"":""male"",""percentage"":0.271998},{""age"":""25-34"",""gender"":""female"",""percentage"":0.011052},{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.000427},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.001078}","{""region"":""Central District"",""__umapi_query_id"":""nbmlk9xc7nb3z7mh1v96"",""percentage"":0.15491},{""region"":""Jerusalem"",""percentage"":0.733865},{""region"":""Southern District"",""percentage"":0.013272},{""region"":""Tel Aviv"",""percentage"":0.007603},{""region"":""West Bank"",""percentage"":0.090349}","facebook,instagram",lower_bound: 1000001,he
1.14718E+15,1.59416E+14,Nir Barkat - ניר ברקת,11/11/2025,11/11/2025,15/11/2025,Nir Barkat - ניר ברקת,"המניה של מדינת ישראל בעליה!
המצב הגאופוליטי החדש יוצר הזדמנויות אדירות לחיזוק ופיתוח כלכלי למדינת ישראל.
מקבל בברכה את חברי פיוש גויאל שר הכלכלה ההודי וחברי המשלחת. 
🇮🇳🇮🇱",,,,"lower_bound: 70000, upper_bound: 79999","lower_bound: 900, upper_bound: 999",ILS,"{""age"":""18-24"",""gender"":""female"",""__umapi_query_id"":""7josmvp84xp8q2l4fa97"",""percentage"":0.006237},{""age"":""45-54"",""gender"":""male"",""percentage"":0.078509},{""age"":""65+"",""gender"":""male"",""percentage"":0.055898},{""age"":""65+"",""gender"":""female"",""percentage"":0.028938},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.000719},{""age"":""55-64"",""gender"":""male"",""percentage"":0.052106},{""age"":""55-64"",""gender"":""female"",""percentage"":0.015529},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.002426},{""age"":""45-54"",""gender"":""female"",""percentage"":0.010299},{""age"":""18-24"",""gender"":""male"",""percentage"":0.084548},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.003846},{""age"":""35-44"",""gender"":""male"",""percentage"":0.186117},{""age"":""35-44"",""gender"":""female"",""percentage"":0.009059},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.002067},{""age"":""25-34"",""gender"":""male"",""percentage"":0.438557},{""age"":""25-34"",""gender"":""female"",""percentage"":0.023959},{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.000306},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.000881}","{""region"":""Central District"",""__umapi_query_id"":""1dkjkx3qjcijyqhppuob"",""percentage"":0.268565},{""region"":""Gaza Strip"",""percentage"":0.000208},{""region"":""Heifa"",""percentage"":0.105542},{""region"":""Irbid Governorate"",""percentage"":1.7e-5},{""region"":""Jerusalem"",""percentage"":0.114009},{""region"":""Nabatieh Governorate"",""percentage"":0.000278},{""region"":""Northern District"",""percentage"":0.139479},{""region"":""Quneitra Governorate"",""percentage"":0.000833},{""region"":""South Governorate"",""percentage"":3.5e-5},{""region"":""Southern District"",""percentage"":0.115119},{""region"":""Tel Aviv"",""percentage"":0.233864},{""region"":""West Bank"",""percentage"":0.022052}","facebook,instagram",lower_bound: 1000001,he
