ad_archive_id,page_id,page_name,ad_creation_time,ad_delivery_start_time,ad_delivery_stop_time,byline,ad_creative_bodies,ad_creative_link_titles,ad_creative_link_captions,ad_creative_link_descriptions,impressions,spend,currency,demographic_distribution,delivery_by_region,publisher_platforms,estimated_audience_size,languages
435546484021021,101254456625034,"אפוק טיימס",2019-12-10,2019-12-12,2019-12-12,"אפוק טיימס","◉ מדוע מדענים בנאס""א טוענים שקיים קשר בין שינויים בשדה המגנטי למערכת העצבים שלנו ואפילו לאירועי טרור

◉ הקולות בראש של הדיקטטור - האם היטלר שמע קולות שהובילו אותו?

◉ מדוע מחקר על החברה הישראלית מצביע על מהפכה תרבותית המתחוללת בזהות שלנו

◉ האם הומצא חומר שיכול להגן על היערות שלנו מפני שרפות?

◉ איך נראה הדיפ-סטייט? ראיון עם סבסטיאן גורקה, יועצו האסטרטגי לשעבר של הנשיא טראמפ

◉ כל אחד יכול: לשלוט בחלומות וללמוד מתוך שינה

🔶 להזמנת הגיליון עד הבית לחצו כאן: https://bit.ly/2sdRw0c

וגם:
*****
◉ חידת אובמה – איך נראית הביוגרפיה האסורה של המנהיג לשעבר

◉ מהי האידיאולוגיה האמיתית שמניעה את הכורדים בסוריה?

◉ מי שרף את בית הדפוס של אפוק טיימס בהונג קונג?

◉ האם דרווין טעה?

◉ והסיבה האמיתית לאנטישמיות הגוברת באוניברסיטאות באמריקה

🔶 להזמנת הגיליון עד הבית לחצו כאן: https://bit.ly/2sdRw0c","גיליון חדש!",et.ravpage.co.il,"*הספר הדיגיטלי ישלח ישירות לתיבת המייל שלכם לאחר רכישת המינוי למגזין אפוק טיימס","lower_bound: 0, upper_bound: 999","lower_bound: 0, upper_bound: 99",ILS,"{""age"":""45-54"",""gender"":""male"",""percentage"":0.12619},{""age"":""55-64"",""gender"":""male"",""percentage"":0.104762},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.011905},{""age"":""35-44"",""gender"":""male"",""percentage"":0.107143},{""age"":""55-64"",""gender"":""female"",""percentage"":0.159524},{""age"":""35-44"",""gender"":""female"",""percentage"":0.133333},{""age"":""65+"",""gender"":""female"",""percentage"":0.092857},{""age"":""65+"",""gender"":""male"",""percentage"":0.035714},{""age"":""25-34"",""gender"":""male"",""percentage"":0.021429},{""age"":""45-54"",""gender"":""female"",""percentage"":0.166667},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.007143},{""age"":""25-34"",""gender"":""female"",""percentage"":0.019048},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.004762},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.009524}","{""region"":""Southern District"",""percentage"":0.1},{""region"":""Central District"",""percentage"":0.228571},{""region"":""Northern District"",""percentage"":0.109524},{""region"":""Heifa"",""percentage"":0.159524},{""region"":""Tel Aviv"",""percentage"":0.290476},{""region"":""Jerusalem"",""percentage"":0.111905}",facebook,,he
449819439013783,101254456625034,"אפוק טיימס",2019-12-10,2019-12-12,2019-12-12,"אפוק טיימס","◉ מדוע מדענים בנאס""א טוענים שקיים קשר בין שינויים בשדה המגנטי למערכת העצבים שלנו ואפילו לאירועי טרור

◉ הקולות בראש של הדיקטטור - האם היטלר שמע קולות שהובילו אותו?

◉ מדוע מחקר על החברה הישראלית מצביע על מהפכה תרבותית המתחוללת בזהות שלנו

◉ האם הומצא חומר שיכול להגן על היערות שלנו מפני שרפות?

◉ איך נראה הדיפ-סטייט? ראיון עם סבסטיאן גורקה, יועצו האסטרטגי לשעבר של הנשיא טראמפ

◉ כל אחד יכול: לשלוט בחלומות וללמוד מתוך שינה

🔶 להזמנת הגיליון עד הבית לחצו כאן: https://bit.ly/2sdRw0c

וגם:
*****
◉ חידת אובמה – איך נראית הביוגרפיה האסורה של המנהיג לשעבר

◉ מהי האידיאולוגיה האמיתית שמניעה את הכורדים בסוריה?

◉ מי שרף את בית הדפוס של אפוק טיימס בהונג קונג?

◉ האם דרווין טעה?

◉ והסיבה האמיתית לאנטישמיות הגוברת באוניברסיטאות באמריקה

🔶 להזמנת הגיליון עד הבית לחצו כאן: https://bit.ly/2sdRw0c","גיליון חדש!",et.ravpage.co.il,"*הספר הדיגיטלי ישלח ישירות לתיבת המייל שלכם לאחר רכישת המינוי למגזין אפוק טיימס","lower_bound: 0, upper_bound: 999","lower_bound: 0, upper_bound: 99",ILS,"{""age"":""35-44"",""gender"":""female"",""percentage"":0.196262},{""age"":""45-54"",""gender"":""male"",""percentage"":0.140187},{""age"":""45-54"",""gender"":""female"",""percentage"":0.294393},{""age"":""55-64"",""gender"":""female"",""percentage"":0.051402},{""age"":""25-34"",""gender"":""male"",""percentage"":0.042056},{""age"":""35-44"",""gender"":""male"",""percentage"":0.172897},{""age"":""25-34"",""gender"":""female"",""percentage"":0.03271},{""age"":""55-64"",""gender"":""male"",""percentage"":0.046729},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.004673},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.004673},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.014019}","{""region"":""Southern District"",""percentage"":0.051402},{""region"":""Central District"",""percentage"":0.317757},{""region"":""Northern District"",""percentage"":0.051402},{""region"":""Heifa"",""percentage"":0.074766},{""region"":""Tel Aviv"",""percentage"":0.46729},{""region"":""Jerusalem"",""percentage"":0.037383}",facebook,,he
764587694010157,101254456625034,"אפוק טיימס",2019-12-10,2019-12-12,2019-12-12,"אפוק טיימס","◉ מדוע מדענים בנאס""א טוענים שקיים קשר בין שינויים בשדה המגנטי למערכת העצבים שלנו ואפילו לאירועי טרור

◉ הקולות בראש של הדיקטטור - האם היטלר שמע קולות שהובילו אותו?

◉ מדוע מחקר על החברה הישראלית מצביע על מהפכה תרבותית המתחוללת בזהות שלנו

◉ האם הומצא חומר שיכול להגן על היערות שלנו מפני שרפות?

◉ איך נראה הדיפ-סטייט? ראיון עם סבסטיאן גורקה, יועצו האסטרטגי לשעבר של הנשיא טראמפ

◉ כל אחד יכול: לשלוט בחלומות וללמוד מתוך שינה

🔶 להזמנת הגיליון עד הבית לחצו כאן: https://bit.ly/2sdRw0c

וגם:
*****
◉ חידת אובמה – איך נראית הביוגרפיה האסורה של המנהיג לשעבר

◉ מהי האידיאולוגיה האמיתית שמניעה את הכורדים בסוריה?

◉ מי שרף את בית הדפוס של אפוק טיימס בהונג קונג?

◉ האם דרווין טעה?

◉ והסיבה האמיתית לאנטישמיות הגוברת באוניברסיטאות באמריקה

🔶 להזמנת הגיליון עד הבית לחצו כאן: https://bit.ly/2sdRw0c","גיליון חדש!",et.ravpage.co.il,"*הספר הדיגיטלי ישלח ישירות לתיבת המייל שלכם לאחר רכישת המינוי למגזין אפוק טיימס","lower_bound: 0, upper_bound: 999","lower_bound: 0, upper_bound: 99",ILS,"{""age"":""35-44"",""gender"":""male"",""percentage"":0.174142},{""age"":""45-54"",""gender"":""female"",""percentage"":0.184697},{""age"":""55-64"",""gender"":""female"",""percentage"":0.060686},{""age"":""35-44"",""gender"":""female"",""percentage"":0.166227},{""age"":""65+"",""gender"":""male"",""percentage"":0.026385},{""age"":""65+"",""gender"":""female"",""percentage"":0.039578},{""age"":""25-34"",""gender"":""male"",""percentage"":0.060686},{""age"":""45-54"",""gender"":""male"",""percentage"":0.134565},{""age"":""25-34"",""gender"":""female"",""percentage"":0.058047},{""age"":""55-64"",""gender"":""male"",""percentage"":0.05277},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.013193},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.013193},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.010554},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.002639},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.002639}","{""region"":""Southern District"",""percentage"":0.102902},{""region"":""Central District"",""percentage"":0.258575},{""region"":""Northern District"",""percentage"":0.14248},{""region"":""Heifa"",""percentage"":0.097625},{""region"":""Tel Aviv"",""percentage"":0.308707},{""region"":""Jerusalem"",""percentage"":0.08971}",facebook,,he
416257165927550,101254456625034,"אפוק טיימס",2019-12-09,2019-12-10,2019-12-10,"אפוק טיימס","◉ הקולות בראש של הדיקטטור - האם היטלר שמע קולות שהובילו אותו?

◉ איך נראה הדיפ-סטייט? ראיון עם סבסטיאן גורקה, יועצו האסטרטגי לשעבר של הנשיא טראמפ

◉ כל אחד יכול: לשלוט בחלומות וללמוד מתוך שינה

◉ מדוע מדענים בנאס""א טוענים שקיים קשר בין שינויים בשדה המגנטי למערכת העצבים שלנו ואפילו לאירועי טרור

◉ האם הומצא חומר שיכול להגן על היערות שלנו מפני שרפות?

◉ האם דרווין טעה?

🔶 להזמנת הגיליון עד הבית לחצו כאן: https://bit.ly/2LCbGYB

וגם:
*****
◉ חידת אובמה – איך נראית הביוגרפיה האסורה של המנהיג לשעבר

◉ מהי האידיאולוגיה האמיתית שמניעה את הכורדים בסוריה?

◉ מי שרף את בית הדפוס של אפוק טיימס בהונג קונג?

◉ מדוע מחקר על החברה הישראלית מצביע על מהפכה תרבותית המתחוללת בזהות שלנו

◉ והסיבה האמיתית לאנטישמיות הגוברת באוניברסיטאות באמריקה

🔶 להזמנת הגיליון עד הבית לחצו כאן: https://bit.ly/2LCbGYB",חדש!,bit.ly,,"lower_bound: 0, upper_bound: 999","lower_bound: 0, upper_bound: 99",ILS,"{""age"":""35-44"",""gender"":""female"",""percentage"":0.096051},{""age"":""55-64"",""gender"":""female"",""percentage"":0.102455},{""age"":""45-54"",""gender"":""male"",""percentage"":0.14301},{""age"":""45-54"",""gender"":""female"",""percentage"":0.102455},{""age"":""25-34"",""gender"":""male"",""percentage"":0.107791},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.006403},{""age"":""25-34"",""gender"":""female"",""percentage"":0.048026},{""age"":""65+"",""gender"":""female"",""percentage"":0.077908},{""age"":""35-44"",""gender"":""male"",""percentage"":0.159018},{""age"":""55-64"",""gender"":""male"",""percentage"":0.102455},{""age"":""65+"",""gender"":""male"",""percentage"":0.040555},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.005336},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.005336},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.001067},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.002134}","{""region"":""Southern District"",""percentage"":0.129828},{""region"":""Central District"",""percentage"":0.213519},{""region"":""Northern District"",""percentage"":0.111588},{""region"":""Heifa"",""percentage"":0.145923},{""region"":""Tel Aviv"",""percentage"":0.280043},{""region"":""Jerusalem"",""percentage"":0.119099}",facebook,,he
503471030265683,101254456625034,"אפוק טיימס",2019-12-09,2019-12-10,2019-12-11,"אפוק טיימס","◉ הקולות בראש של הדיקטטור - האם היטלר שמע קולות שהובילו אותו?

◉ איך נראה הדיפ-סטייט? ראיון עם סבסטיאן גורקה, יועצו האסטרטגי לשעבר של הנשיא טראמפ

◉ כל אחד יכול: לשלוט בחלומות וללמוד מתוך שינה

◉ מדוע מדענים בנאס""א טוענים שקיים קשר בין שינויים בשדה המגנטי למערכת העצבים שלנו ואפילו לאירועי טרור

◉ האם הומצא חומר שיכול להגן על היערות שלנו מפני שרפות?

◉ האם דרווין טעה?

🔶 להזמנת הגיליון עד הבית לחצו כאן: https://bit.ly/2P5zaYb

וגם:
*****
◉ חידת אובמה – איך נראית הביוגרפיה האסורה של המנהיג לשעבר

◉ מהי האידיאולוגיה האמיתית שמניעה את הכורדים בסוריה?

◉ מי שרף את בית הדפוס של אפוק טיימס בהונג קונג?

◉ מדוע מחקר על החברה הישראלית מצביע על מהפכה תרבותית המתחוללת בזהות שלנו

◉ והסיבה האמיתית לאנטישמיות הגוברת באוניברסיטאות באמריקה

🔶 להזמנת הגיליון עד הבית לחצו כאן: https://bit.ly/2P5zaYb",חדש!,bit.ly,,"lower_bound: 1000, upper_bound: 1999","lower_bound: 100, upper_bound: 199",ILS,"{""age"":""25-34"",""gender"":""female"",""percentage"":0.118861},{""age"":""65+"",""gender"":""female"",""percentage"":0.025623},{""age"":""45-54"",""gender"":""male"",""percentage"":0.074021},{""age"":""35-44"",""gender"":""female"",""percentage"":0.198577},{""age"":""45-54"",""gender"":""female"",""percentage"":0.107473},{""age"":""35-44"",""gender"":""male"",""percentage"":0.2121},{""age"":""25-34"",""gender"":""male"",""percentage"":0.142349},{""age"":""55-64"",""gender"":""female"",""percentage"":0.055516},{""age"":""65+"",""gender"":""male"",""percentage"":0.013523},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.005694},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.009253},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.007829},{""age"":""55-64"",""gender"":""male"",""percentage"":0.019929},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.00427},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.004982}","{""region"":""Southern District"",""percentage"":0.088109},{""region"":""Central District"",""percentage"":0.241404},{""region"":""Northern District"",""percentage"":0.108883},{""region"":""Heifa"",""percentage"":0.139685},{""region"":""Tel Aviv"",""percentage"":0.323066},{""region"":""Jerusalem"",""percentage"":0.098854}",facebook,,he
542159939897474,101254456625034,"אפוק טיימס",2019-12-09,2019-12-10,2019-12-10,"אפוק טיימס","◉ הקולות בראש של הדיקטטור - האם היטלר שמע קולות שהובילו אותו?

◉ איך נראה הדיפ-סטייט? ראיון עם סבסטיאן גורקה, יועצו האסטרטגי לשעבר של הנשיא טראמפ

◉ כל אחד יכול: לשלוט בחלומות וללמוד מתוך שינה

◉ מדוע מדענים בנאס""א טוענים שקיים קשר בין שינויים בשדה המגנטי למערכת העצבים שלנו ואפילו לאירועי טרור

◉ האם הומצא חומר שיכול להגן על היערות שלנו מפני שרפות?

◉ האם דרווין טעה?

🔶 להזמנת הגיליון עד הבית לחצו כאן: https://bit.ly/2P5zaYb

וגם:
*****
◉ חידת אובמה – איך נראית הביוגרפיה האסורה של המנהיג לשעבר

◉ מהי האידיאולוגיה האמיתית שמניעה את הכורדים בסוריה?

◉ מי שרף את בית הדפוס של אפוק טיימס בהונג קונג?

◉ מדוע מחקר על החברה הישראלית מצביע על מהפכה תרבותית המתחוללת בזהות שלנו

◉ והסיבה האמיתית לאנטישמיות הגוברת באוניברסיטאות באמריקה

🔶 להזמנת הגיליון עד הבית לחצו כאן: https://bit.ly/2P5zaYb",חדש!,bit.ly,,"lower_bound: 0, upper_bound: 999","lower_bound: 0, upper_bound: 99",ILS,"{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.008565},{""age"":""35-44"",""gender"":""male"",""percentage"":0.237687},{""age"":""55-64"",""gender"":""male"",""percentage"":0.070664},{""age"":""25-34"",""gender"":""male"",""percentage"":0.216274},{""age"":""65+"",""gender"":""male"",""percentage"":0.029979},{""age"":""45-54"",""gender"":""female"",""percentage"":0.089936},{""age"":""45-54"",""gender"":""male"",""percentage"":0.134904},{""age"":""35-44"",""gender"":""female"",""percentage"":0.085653},{""age"":""55-64"",""gender"":""female"",""percentage"":0.053533},{""age"":""65+"",""gender"":""female"",""percentage"":0.021413},{""age"":""25-34"",""gender"":""female"",""percentage"":0.038544},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.006424},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.004283},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.002141}","{""region"":""Southern District"",""percentage"":0.117773},{""region"":""Central District"",""percentage"":0.20985},{""region"":""Northern District"",""percentage"":0.139186},{""region"":""Heifa"",""percentage"":0.143469},{""region"":""Tel Aviv"",""percentage"":0.271949},{""region"":""Jerusalem"",""percentage"":0.117773}",facebook,,he
698830640640198,101254456625034,"אפוק טיימס",2019-12-09,2019-12-10,2019-12-10,"אפוק טיימס","◉ הקולות בראש של הדיקטטור - האם היטלר שמע קולות שהובילו אותו?

◉ איך נראה הדיפ-סטייט? ראיון עם סבסטיאן גורקה, יועצו האסטרטגי לשעבר של הנשיא טראמפ

◉ כל אחד יכול: לשלוט בחלומות וללמוד מתוך שינה

◉ מדוע מדענים בנאס""א טוענים שקיים קשר בין שינויים בשדה המגנטי למערכת העצבים שלנו ואפילו לאירועי טרור

◉ האם הומצא חומר שיכול להגן על היערות שלנו מפני שרפות?

◉ האם דרווין טעה?

🔶 להזמנת הגיליון עד הבית לחצו כאן: https://bit.ly/2LCbGYB

וגם:
*****
◉ חידת אובמה – איך נראית הביוגרפיה האסורה של המנהיג לשעבר

◉ מהי האידיאולוגיה האמיתית שמניעה את הכורדים בסוריה?

◉ מי שרף את בית הדפוס של אפוק טיימס בהונג קונג?

◉ מדוע מחקר על החברה הישראלית מצביע על מהפכה תרבותית המתחוללת בזהות שלנו

◉ והסיבה האמיתית לאנטישמיות הגוברת באוניברסיטאות באמריקה

🔶 להזמנת הגיליון עד הבית לחצו כאן: https://bit.ly/2LCbGYB",חדש!,bit.ly,,"lower_bound: 1000, upper_bound: 1999","lower_bound: 0, upper_bound: 99",ILS,"{""age"":""35-44"",""gender"":""male"",""percentage"":0.250523},{""age"":""45-54"",""gender"":""male"",""percentage"":0.152128},{""age"":""35-44"",""gender"":""female"",""percentage"":0.245639},{""age"":""25-34"",""gender"":""female"",""percentage"":0.027216},{""age"":""45-54"",""gender"":""female"",""percentage"":0.187718},{""age"":""55-64"",""gender"":""male"",""percentage"":0.02582},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.002094},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.023029},{""age"":""55-64"",""gender"":""female"",""percentage"":0.037683},{""age"":""25-34"",""gender"":""male"",""percentage"":0.034892},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.00977},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.003489}","{""region"":""Southern District"",""percentage"":0.117565},{""region"":""Central District"",""percentage"":0.240728},{""region"":""Northern District"",""percentage"":0.118265},{""region"":""Heifa"",""percentage"":0.136459},{""region"":""Tel Aviv"",""percentage"":0.282715},{""region"":""Jerusalem"",""percentage"":0.104269}",facebook,,he
975580569464748,101254456625034,"אפוק טיימס",2019-12-09,2019-12-10,2019-12-10,"אפוק טיימס","◉ הקולות בראש של הדיקטטור - האם היטלר שמע קולות שהובילו אותו?

◉ איך נראה הדיפ-סטייט? ראיון עם סבסטיאן גורקה, יועצו האסטרטגי לשעבר של הנשיא טראמפ

◉ כל אחד יכול: לשלוט בחלומות וללמוד מתוך שינה

◉ מדוע מדענים בנאס""א טוענים שקיים קשר בין שינויים בשדה המגנטי למערכת העצבים שלנו ואפילו לאירועי טרור

◉ האם הומצא חומר שיכול להגן על היערות שלנו מפני שרפות?

◉ האם דרווין טעה?

🔶 להזמנת הגיליון עד הבית לחצו כאן: https://bit.ly/2P5zaYb

וגם:
*****
◉ חידת אובמה – איך נראית הביוגרפיה האסורה של המנהיג לשעבר

◉ מהי האידיאולוגיה האמיתית שמניעה את הכורדים בסוריה?

◉ מי שרף את בית הדפוס של אפוק טיימס בהונג קונג?

◉ מדוע מחקר על החברה הישראלית מצביע על מהפכה תרבותית המתחוללת בזהות שלנו

◉ והסיבה האמיתית לאנטישמיות הגוברת באוניברסיטאות באמריקה

🔶 להזמנת הגיליון עד הבית לחצו כאן: https://bit.ly/2P5zaYb",חדש!,bit.ly,,"lower_bound: 1000, upper_bound: 1999","lower_bound: 0, upper_bound: 99",ILS,"{""age"":""35-44"",""gender"":""female"",""percentage"":0.2508},{""age"":""35-44"",""gender"":""male"",""percentage"":0.338314},{""age"":""45-54"",""gender"":""female"",""percentage"":0.123799},{""age"":""45-54"",""gender"":""male"",""percentage"":0.137673},{""age"":""25-34"",""gender"":""male"",""percentage"":0.045891},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.029883},{""age"":""25-34"",""gender"":""female"",""percentage"":0.033084},{""age"":""55-64"",""gender"":""female"",""percentage"":0.017076},{""age"":""55-64"",""gender"":""male"",""percentage"":0.012807},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.008538},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.002134}","{""region"":""Southern District"",""percentage"":0.12221},{""region"":""Central District"",""percentage"":0.2678},{""region"":""Northern District"",""percentage"":0.123273},{""region"":""Heifa"",""percentage"":0.131775},{""region"":""Tel Aviv"",""percentage"":0.269926},{""region"":""Jerusalem"",""percentage"":0.085016}",facebook,,he
2631207653642541,101254456625034,"אפוק טיימס",2019-12-09,2019-12-10,2019-12-12,"אפוק טיימס","◉ הקולות בראש של הדיקטטור - האם היטלר שמע קולות שהובילו אותו?

◉ איך נראה הדיפ-סטייט? ראיון עם סבסטיאן גורקה, יועצו האסטרטגי לשעבר של הנשיא טראמפ

◉ כל אחד יכול: לשלוט בחלומות וללמוד מתוך שינה

◉ מדוע מדענים בנאס""א טוענים שקיים קשר בין שינויים בשדה המגנטי למערכת העצבים שלנו ואפילו לאירועי טרור

◉ האם הומצא חומר שיכול להגן על היערות שלנו מפני שרפות?

◉ האם דרווין טעה?

🔶 להזמנת הגיליון עד הבית לחצו כאן: https://bit.ly/2LCbGYB

וגם:
*****
◉ חידת אובמה – איך נראית הביוגרפיה האסורה של המנהיג לשעבר

◉ מהי האידיאולוגיה האמיתית שמניעה את הכורדים בסוריה?

◉ מי שרף את בית הדפוס של אפוק טיימס בהונג קונג?

◉ מדוע מחקר על החברה הישראלית מצביע על מהפכה תרבותית המתחוללת בזהות שלנו

◉ והסיבה האמיתית לאנטישמיות הגוברת באוניברסיטאות באמריקה

🔶 להזמנת הגיליון עד הבית לחצו כאן: https://bit.ly/2LCbGYB",חדש!,bit.ly,,"lower_bound: 4000, upper_bound: 4999","lower_bound: 400, upper_bound: 499",ILS,"{""age"":""25-34"",""gender"":""male"",""percentage"":0.154632},{""age"":""25-34"",""gender"":""female"",""percentage"":0.114896},{""age"":""35-44"",""gender"":""female"",""percentage"":0.150091},{""age"":""35-44"",""gender"":""male"",""percentage"":0.195277},{""age"":""45-54"",""gender"":""male"",""percentage"":0.079246},{""age"":""55-64"",""gender"":""female"",""percentage"":0.070845},{""age"":""55-64"",""gender"":""male"",""percentage"":0.034514},{""age"":""45-54"",""gender"":""female"",""percentage"":0.098774},{""age"":""65+"",""gender"":""male"",""percentage"":0.026794},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.005677},{""age"":""65+"",""gender"":""female"",""percentage"":0.046549},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.005904},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.005677},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.00772},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.003406}","{""region"":""Southern District"",""percentage"":0.096193},{""region"":""Central District"",""percentage"":0.239116},{""region"":""Northern District"",""percentage"":0.093002},{""region"":""Heifa"",""percentage"":0.120584},{""region"":""Tel Aviv"",""percentage"":0.356736},{""region"":""Jerusalem"",""percentage"":0.09437}",facebook,,he
438979720387504,101254456625034,"אפוק טיימס",2019-12-09,2019-12-10,2019-12-11,"אפוק טיימס","◉ הקולות בראש של הדיקטטור - האם היטלר שמע קולות שהובילו אותו?

◉ איך נראה הדיפ-סטייט? ראיון עם סבסטיאן גורקה, יועצו האסטרטגי לשעבר של הנשיא טראמפ

◉ כל אחד יכול: לשלוט בחלומות וללמוד מתוך שינה

◉ מדוע מדענים בנאס""א טוענים שקיים קשר בין שינויים בשדה המגנטי למערכת העצבים שלנו ואפילו לאירועי טרור

◉ האם הומצא חומר שיכול להגן על היערות שלנו מפני שרפות?

◉ האם דרווין טעה?

🔶 להזמנת הגיליון עד הבית לחצו כאן: https://bit.ly/2P5zaYb

וגם:
*****
◉ חידת אובמה – איך נראית הביוגרפיה האסורה של המנהיג לשעבר

◉ מהי האידיאולוגיה האמיתית שמניעה את הכורדים בסוריה?

◉ מי שרף את בית הדפוס של אפוק טיימס בהונג קונג?

◉ מדוע מחקר על החברה הישראלית מצביע על מהפכה תרבותית המתחוללת בזהות שלנו

◉ והסיבה האמיתית לאנטישמיות הגוברת באוניברסיטאות באמריקה

🔶 להזמנת הגיליון עד הבית לחצו כאן: https://bit.ly/2P5zaYb",חדש!,bit.ly,,"lower_bound: 0, upper_bound: 999","lower_bound: 0, upper_bound: 99",ILS,"{""age"":""45-54"",""gender"":""female"",""percentage"":0.051546},{""age"":""35-44"",""gender"":""male"",""percentage"":0.123711},{""age"":""25-34"",""gender"":""male"",""percentage"":0.484536},{""age"":""65+"",""gender"":""male"",""percentage"":0.010309},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.020619},{""age"":""45-54"",""gender"":""male"",""percentage"":0.061856},{""age"":""35-44"",""gender"":""female"",""percentage"":0.030928},{""age"":""25-34"",""gender"":""female"",""percentage"":0.154639},{""age"":""55-64"",""gender"":""male"",""percentage"":0.051546},{""age"":""65+"",""gender"":""female"",""percentage"":0.010309}","{""region"":""Central District"",""percentage"":0.262626},{""region"":""Tel Aviv"",""percentage"":0.737374}",facebook,,he
