ad_archive_id,page_id,page_name,ad_creation_time,ad_delivery_start_time,ad_delivery_stop_time,byline,ad_creative_bodies,ad_creative_link_titles,ad_creative_link_captions,ad_creative_link_descriptions,impressions,spend,currency,demographic_distribution,delivery_by_region,publisher_platforms,estimated_audience_size,languages
1209961157734455,34775063966,"גדעון סער | Gideon Saar",2025-12-31,2025-12-31,,"גדעון סער | Gideon Saar","⁨ 2025 שלי: מסביב לעולם. מסביב לשעון. צפו.⁩",,,,"lower_bound: 10000, upper_bound: 14999","lower_bound: 300, upper_bound: 399",ILS,"{""age"":""18-24"",""gender"":""female"",""__umapi_query_id"":""9tc0e07rjcx171sr9um1"",""percentage"":0.028795},{""age"":""45-54"",""gender"":""male"",""percentage"":0.077882},{""age"":""65+"",""gender"":""male"",""percentage"":0.039231},{""age"":""65+"",""gender"":""female"",""percentage"":0.050246},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.000773},{""age"":""55-64"",""gender"":""male"",""percentage"":0.051599},{""age"":""55-64"",""gender"":""female"",""percentage"":0.072084},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.002609},{""age"":""45-54"",""gender"":""female"",""percentage"":0.094405},{""age"":""18-24"",""gender"":""male"",""percentage"":0.047734},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.004831},{""age"":""35-44"",""gender"":""male"",""percentage"":0.127355},{""age"":""35-44"",""gender"":""female"",""percentage"":0.113538},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.000773},{""age"":""25-34"",""gender"":""male"",""percentage"":0.168036},{""age"":""25-34"",""gender"":""female"",""percentage"":0.119045},{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.00029},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.000773}","{""region"":""Central District"",""__umapi_query_id"":""t2f9jkjppx9uh1uv8qsh"",""percentage"":0.2633},{""region"":""Heifa"",""percentage"":0.124579},{""region"":""Jerusalem"",""percentage"":0.05849},{""region"":""Northern District"",""percentage"":0.20683},{""region"":""Southern District"",""percentage"":0.20683},{""region"":""Tel Aviv"",""percentage"":0.139875},{""region"":""Unknown"",""percentage"":9.6e-5}",instagram,"lower_bound: 50001, upper_bound: 100000",he
1460362365679463,34775063966,"גדעון סער | Gideon Saar",2025-12-31,2025-12-31,,"גדעון סער | Gideon Saar","2025 שלי: מסביב לעולם. מסביב לשעון. צפו.","2025 שלי: מסביב לעולם. מסביב לשעון. צפו.",,,"lower_bound: 15000, upper_bound: 19999","lower_bound: 200, upper_bound: 299",ILS,"{""age"":""18-24"",""gender"":""female"",""__umapi_query_id"":""xvsoqv03eo9cfdzpk258"",""percentage"":0.002295},{""age"":""45-54"",""gender"":""male"",""percentage"":0.130702},{""age"":""65+"",""gender"":""male"",""percentage"":0.175952},{""age"":""65+"",""gender"":""female"",""percentage"":0.141992},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.000551},{""age"":""55-64"",""gender"":""male"",""percentage"":0.12134},{""age"":""55-64"",""gender"":""female"",""percentage"":0.068472},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.002478},{""age"":""45-54"",""gender"":""female"",""percentage"":0.058559},{""age"":""18-24"",""gender"":""male"",""percentage"":0.007159},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.00358},{""age"":""35-44"",""gender"":""male"",""percentage"":0.126296},{""age"":""35-44"",""gender"":""female"",""percentage"":0.048187},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.000826},{""age"":""25-34"",""gender"":""male"",""percentage"":0.075447},{""age"":""25-34"",""gender"":""female"",""percentage"":0.034603},{""age"":""18-24"",""gender"":""unknown"",""percentage"":9.2e-5},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.001469}","{""region"":""Central District"",""__umapi_query_id"":""4llu4p32jsxieccq67yh"",""percentage"":0.260658},{""region"":""Heifa"",""percentage"":0.115706},{""region"":""Jerusalem"",""percentage"":0.082332},{""region"":""Northern District"",""percentage"":0.223251},{""region"":""Southern District"",""percentage"":0.191528},{""region"":""Tel Aviv"",""percentage"":0.126524}",facebook,"lower_bound: 100001, upper_bound: 500000",he
857835510173289,34775063966,"גדעון סער | Gideon Saar",2025-12-22,2025-12-22,2025-12-23,"גדעון סער | Gideon Saar","עם חברי הזמר האהוב @regevhod , אמש בהדלקת נר שמיני של חנוכה בראשון לציון. שוקל: סבב הופעות משותף בקיסריה 😉",,,,"lower_bound: 15000, upper_bound: 19999","lower_bound: 300, upper_bound: 399",ILS,"{""age"":""18-24"",""gender"":""female"",""__umapi_query_id"":""0wpa7osznicse66if9e9"",""percentage"":0.032916},{""age"":""45-54"",""gender"":""male"",""percentage"":0.065678},{""age"":""65+"",""gender"":""male"",""percentage"":0.019394},{""age"":""65+"",""gender"":""female"",""percentage"":0.033225},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.000386},{""age"":""55-64"",""gender"":""male"",""percentage"":0.032452},{""age"":""55-64"",""gender"":""female"",""percentage"":0.051151},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.001777},{""age"":""45-54"",""gender"":""female"",""percentage"":0.087235},{""age"":""18-24"",""gender"":""male"",""percentage"":0.049142},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.005486},{""age"":""35-44"",""gender"":""male"",""percentage"":0.132205},{""age"":""35-44"",""gender"":""female"",""percentage"":0.138387},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.001082},{""age"":""25-34"",""gender"":""male"",""percentage"":0.194483},{""age"":""25-34"",""gender"":""female"",""percentage"":0.154227},{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.000309},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.000464}","{""region"":""Central District"",""__umapi_query_id"":""s0rd8yfkopr1vr7570gn"",""percentage"":0.283744},{""region"":""Heifa"",""percentage"":0.115948},{""region"":""Jerusalem"",""percentage"":0.073267},{""region"":""Northern District"",""percentage"":0.17943},{""region"":""Southern District"",""percentage"":0.205624},{""region"":""Tel Aviv"",""percentage"":0.141911},{""region"":""Unknown"",""percentage"":7.7e-5}",instagram,"lower_bound: 50001, upper_bound: 100000",he
2143768936395824,34775063966,"גדעון סער | Gideon Saar",2025-12-22,2025-12-22,2025-12-31,"גדעון סער | Gideon Saar","ערב מרגש במיוחד עם יותר מאלף חברים שהגיעו להדליק איתי נר שמיני של חנוכה. 

ממשיכים קדימה בכל הכוח!",,,,"lower_bound: 125000, upper_bound: 149999","lower_bound: 4000, upper_bound: 4499",ILS,"{""age"":""18-24"",""gender"":""female"",""__umapi_query_id"":""d2h8yo387vr4ijidukyb"",""percentage"":0.023934},{""age"":""45-54"",""gender"":""male"",""percentage"":0.091736},{""age"":""65+"",""gender"":""male"",""percentage"":0.064987},{""age"":""65+"",""gender"":""female"",""percentage"":0.067718},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.000901},{""age"":""55-64"",""gender"":""male"",""percentage"":0.066958},{""age"":""55-64"",""gender"":""female"",""percentage"":0.074335},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.002562},{""age"":""45-54"",""gender"":""female"",""percentage"":0.095678},{""age"":""18-24"",""gender"":""male"",""percentage"":0.030015},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.004533},{""age"":""35-44"",""gender"":""male"",""percentage"":0.122343},{""age"":""35-44"",""gender"":""female"",""percentage"":0.109954},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.000788},{""age"":""25-34"",""gender"":""male"",""percentage"":0.131578},{""age"":""25-34"",""gender"":""female"",""percentage"":0.110517},{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.00031},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.001154}","{""region"":""Central District"",""__umapi_query_id"":""2dx4o8n4ez2ggx99nrwf"",""percentage"":0.278347},{""region"":""Heifa"",""percentage"":0.1201},{""region"":""Jerusalem"",""percentage"":0.066722},{""region"":""Northern District"",""percentage"":0.186769},{""region"":""Southern District"",""percentage"":0.203753},{""region"":""Tel Aviv"",""percentage"":0.144093},{""region"":""Unknown"",""percentage"":0.000216}",instagram,"lower_bound: 50001, upper_bound: 100000",he
1284440263491980,34775063966,"גדעון סער | Gideon Saar",2025-12-22,2025-12-22,2026-01-01,"גדעון סער | Gideon Saar","ערב מרגש במיוחד עם יותר מאלף חברים שהגיעו להדליק איתי נר שמיני של חנוכה. 

ממשיכים קדימה בכל הכוח!","ערב מרגש במיוחד עם יותר מאלף חברים שהגיעו להדליק איתי נר שמיני של חנוכה.   ממשיכים קדימה בכל הכוח!",,,"lower_bound: 175000, upper_bound: 199999","lower_bound: 4000, upper_bound: 4499",ILS,"{""age"":""18-24"",""gender"":""female"",""__umapi_query_id"":""cmdmaq3ivlm8ey0gxhld"",""percentage"":0.00328},{""age"":""45-54"",""gender"":""male"",""percentage"":0.141694},{""age"":""65+"",""gender"":""male"",""percentage"":0.151715},{""age"":""65+"",""gender"":""female"",""percentage"":0.116314},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.00095},{""age"":""55-64"",""gender"":""male"",""percentage"":0.117309},{""age"":""55-64"",""gender"":""female"",""percentage"":0.071005},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.003484},{""age"":""45-54"",""gender"":""female"",""percentage"":0.064174},{""age"":""18-24"",""gender"":""male"",""percentage"":0.009139},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.004343},{""age"":""35-44"",""gender"":""male"",""percentage"":0.133867},{""age"":""35-44"",""gender"":""female"",""percentage"":0.05732},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.000656},{""age"":""25-34"",""gender"":""male"",""percentage"":0.085708},{""age"":""25-34"",""gender"":""female"",""percentage"":0.036826},{""age"":""18-24"",""gender"":""unknown"",""percentage"":4.5e-5},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.002172}","{""region"":""Central District"",""__umapi_query_id"":""3y8mvrbnsi31mdlja35f"",""percentage"":0.29495},{""region"":""Heifa"",""percentage"":0.102766},{""region"":""Jerusalem"",""percentage"":0.083822},{""region"":""Northern District"",""percentage"":0.185555},{""region"":""Southern District"",""percentage"":0.188948},{""region"":""Tel Aviv"",""percentage"":0.143958}",facebook,"lower_bound: 100001, upper_bound: 500000",he
1610095300410785,34775063966,"גדעון סער | Gideon Saar",2025-12-19,2025-12-19,2025-12-22,"גדעון סער | Gideon Saar","על ממשלת אוסטרליה להתעשת עכשיו!",,,,"lower_bound: 50000, upper_bound: 59999","lower_bound: 1000, upper_bound: 1499",ILS,"{""age"":""18-24"",""gender"":""female"",""__umapi_query_id"":""x35lgjtva2iyq5ea34zf"",""percentage"":0.021598},{""age"":""45-54"",""gender"":""male"",""percentage"":0.087893},{""age"":""65+"",""gender"":""male"",""percentage"":0.041732},{""age"":""65+"",""gender"":""female"",""percentage"":0.048852},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.00092},{""age"":""55-64"",""gender"":""male"",""percentage"":0.055461},{""age"":""55-64"",""gender"":""female"",""percentage"":0.06735},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.003441},{""age"":""45-54"",""gender"":""female"",""percentage"":0.104756},{""age"":""18-24"",""gender"":""male"",""percentage"":0.029706},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.004974},{""age"":""35-44"",""gender"":""male"",""percentage"":0.129182},{""age"":""35-44"",""gender"":""female"",""percentage"":0.133542},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.000784},{""age"":""25-34"",""gender"":""male"",""percentage"":0.14073},{""age"":""25-34"",""gender"":""female"",""percentage"":0.127819},{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.000273},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.000988}","{""region"":""Central District"",""__umapi_query_id"":""5vqg6wkfxyd15qjywdkr"",""percentage"":0.294425},{""region"":""Heifa"",""percentage"":0.117763},{""region"":""Jerusalem"",""percentage"":0.070395},{""region"":""Northern District"",""percentage"":0.171053},{""region"":""Southern District"",""percentage"":0.200208},{""region"":""Tel Aviv"",""percentage"":0.146053},{""region"":""Unknown"",""percentage"":0.000104}",instagram,"lower_bound: 50001, upper_bound: 100000",he
1434196001617541,34775063966,"גדעון סער | Gideon Saar",2025-12-19,2025-12-19,2025-12-24,"גדעון סער | Gideon Saar","על ממשלת אוסטרליה להתעשת עכשיו!",,,,"lower_bound: 60000, upper_bound: 69999","lower_bound: 1000, upper_bound: 1499",ILS,"{""age"":""18-24"",""gender"":""female"",""__umapi_query_id"":""n3ujbjb8wzsszc5i1ijh"",""percentage"":0.002762},{""age"":""45-54"",""gender"":""male"",""percentage"":0.141524},{""age"":""65+"",""gender"":""male"",""percentage"":0.117982},{""age"":""65+"",""gender"":""female"",""percentage"":0.098784},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.000707},{""age"":""55-64"",""gender"":""male"",""percentage"":0.106598},{""age"":""55-64"",""gender"":""female"",""percentage"":0.073423},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.003739},{""age"":""45-54"",""gender"":""female"",""percentage"":0.076522},{""age"":""18-24"",""gender"":""male"",""percentage"":0.007578},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.005153},{""age"":""35-44"",""gender"":""male"",""percentage"":0.147486},{""age"":""35-44"",""gender"":""female"",""percentage"":0.082112},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.000775},{""age"":""25-34"",""gender"":""male"",""percentage"":0.089084},{""age"":""25-34"",""gender"":""female"",""percentage"":0.044188},{""age"":""18-24"",""gender"":""unknown"",""percentage"":6.7e-5},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.001516}","{""region"":""Central District"",""__umapi_query_id"":""vk0gneams3yp2vcjbd5l"",""percentage"":0.30003},{""region"":""Heifa"",""percentage"":0.10298},{""region"":""Jerusalem"",""percentage"":0.07986},{""region"":""Northern District"",""percentage"":0.181254},{""region"":""Southern District"",""percentage"":0.191953},{""region"":""Tel Aviv"",""percentage"":0.143923}",facebook,"lower_bound: 100001, upper_bound: 500000",he
1175924201362511,34775063966,"גדעון סער | Gideon Saar",2025-12-12,2025-12-12,2025-12-18,"גדעון סער | Gideon Saar","חידשתי את היחסים עם בוליביה. ישראל חוזרת לאמריקה הלטינית.",,fb.com,,"lower_bound: 100000, upper_bound: 124999","lower_bound: 2500, upper_bound: 2999",ILS,"{""age"":""18-24"",""gender"":""female"",""__umapi_query_id"":""nohh99vf8pelzmxk71i3"",""percentage"":0.014991},{""age"":""45-54"",""gender"":""male"",""percentage"":0.089242},{""age"":""65+"",""gender"":""male"",""percentage"":0.061201},{""age"":""65+"",""gender"":""female"",""percentage"":0.076107},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.001125},{""age"":""55-64"",""gender"":""male"",""percentage"":0.068148},{""age"":""55-64"",""gender"":""female"",""percentage"":0.071748},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.003038},{""age"":""45-54"",""gender"":""female"",""percentage"":0.09197},{""age"":""18-24"",""gender"":""male"",""percentage"":0.027563},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.004219},{""age"":""35-44"",""gender"":""male"",""percentage"":0.12904},{""age"":""35-44"",""gender"":""female"",""percentage"":0.104627},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.000788},{""age"":""25-34"",""gender"":""male"",""percentage"":0.15424},{""age"":""25-34"",""gender"":""female"",""percentage"":0.10052},{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.000141},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.001294}","{""region"":""Central District"",""__umapi_query_id"":""e2jzhmfhc4qh50dl5zgp"",""percentage"":0.28921},{""region"":""Heifa"",""percentage"":0.123329},{""region"":""Jerusalem"",""percentage"":0.073679},{""region"":""Northern District"",""percentage"":0.163114},{""region"":""Southern District"",""percentage"":0.185061},{""region"":""Tel Aviv"",""percentage"":0.165525},{""region"":""Unknown"",""percentage"":8.2e-5}",instagram,"lower_bound: 100001, upper_bound: 500000",he
1641938473452517,34775063966,"גדעון סער | Gideon Saar",2025-12-12,2025-12-12,2025-12-20,"גדעון סער | Gideon Saar","חידשתי את היחסים עם בוליביה. ישראל חוזרת לאמריקה הלטינית.","חידשתי את היחסים עם בוליביה. ישראל חוזרת לאמריקה הלטינית.",,,"lower_bound: 125000, upper_bound: 149999","lower_bound: 2500, upper_bound: 2999",ILS,"{""age"":""18-24"",""gender"":""female"",""__umapi_query_id"":""cvzk12qbdc8m95u0to2e"",""percentage"":0.001606},{""age"":""45-54"",""gender"":""male"",""percentage"":0.144356},{""age"":""65+"",""gender"":""male"",""percentage"":0.182083},{""age"":""65+"",""gender"":""female"",""percentage"":0.143754},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.001657},{""age"":""55-64"",""gender"":""male"",""percentage"":0.132433},{""age"":""55-64"",""gender"":""female"",""percentage"":0.061824},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.003665},{""age"":""45-54"",""gender"":""female"",""percentage"":0.046613},{""age"":""18-24"",""gender"":""male"",""percentage"":0.009538},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.003338},{""age"":""35-44"",""gender"":""male"",""percentage"":0.126359},{""age"":""35-44"",""gender"":""female"",""percentage"":0.032104},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.000728},{""age"":""25-34"",""gender"":""male"",""percentage"":0.087803},{""age"":""25-34"",""gender"":""female"",""percentage"":0.019052},{""age"":""18-24"",""gender"":""unknown"",""percentage"":7.5e-5},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.003012}","{""region"":""Central District"",""__umapi_query_id"":""6hhtsgxvoq8anf8ec0tg"",""percentage"":0.297502},{""region"":""Heifa"",""percentage"":0.116999},{""region"":""Jerusalem"",""percentage"":0.087028},{""region"":""Northern District"",""percentage"":0.148952},{""region"":""Southern District"",""percentage"":0.157529},{""region"":""Tel Aviv"",""percentage"":0.191964},{""region"":""Unknown"",""percentage"":2.5e-5}",facebook,"lower_bound: 100001, upper_bound: 500000",he
1326726692560768,34775063966,"גדעון סער | Gideon Saar",2025-12-10,2025-12-10,2025-12-12,"גדעון סער | Gideon Saar","חידשנו את היחסים עם בוליביה!",,,,"lower_bound: 30000, upper_bound: 34999","lower_bound: 700, upper_bound: 799",ILS,"{""age"":""18-24"",""gender"":""female"",""__umapi_query_id"":""8gubhd9zukbdcsfd2iop"",""percentage"":0.026998},{""age"":""45-54"",""gender"":""male"",""percentage"":0.087283},{""age"":""65+"",""gender"":""male"",""percentage"":0.04734},{""age"":""65+"",""gender"":""female"",""percentage"":0.051778},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.00074},{""age"":""55-64"",""gender"":""male"",""percentage"":0.056956},{""age"":""55-64"",""gender"":""female"",""percentage"":0.061605},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.002219},{""age"":""45-54"",""gender"":""female"",""percentage"":0.084588},{""age"":""18-24"",""gender"":""male"",""percentage"":0.043324},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.004491},{""age"":""35-44"",""gender"":""male"",""percentage"":0.13457},{""age"":""35-44"",""gender"":""female"",""percentage"":0.103926},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.001004},{""age"":""25-34"",""gender"":""male"",""percentage"":0.178581},{""age"":""25-34"",""gender"":""female"",""percentage"":0.113277},{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.000476},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.000845}","{""region"":""Central District"",""__umapi_query_id"":""jwvapnpnyjr052e3ymns"",""percentage"":0.278588},{""region"":""Heifa"",""percentage"":0.116345},{""region"":""Jerusalem"",""percentage"":0.065883},{""region"":""Northern District"",""percentage"":0.190516},{""region"":""Southern District"",""percentage"":0.208456},{""region"":""Tel Aviv"",""percentage"":0.140159},{""region"":""Unknown"",""percentage"":5.2e-5}",instagram,"lower_bound: 50001, upper_bound: 100000",he
