ad_archive_id,page_id,page_name,ad_creation_time,ad_delivery_start_time,ad_delivery_stop_time,byline,ad_creative_bodies,ad_creative_link_titles,ad_creative_link_captions,ad_creative_link_descriptions,impressions,spend,currency,demographic_distribution,delivery_by_region,publisher_platforms,estimated_audience_size,languages
1415034533387508,311390516402185,"מפלגת כחול לבן",2025-12-18,2025-12-18,2025-12-22,"מפלגת כחול לבן","מדברים עם בני וחילי!

איך מתקנים מחדל של 77 שנים?
בואו לשאול כל מה שרציתם את יו״ר כחול לבן בני גנץ וח""כ חילי טרופר על המאבק בחוק ההשתמטות - והדרך לשירות לכל במדינת ישראל.

יום שני | 22.12 | 20:30 | זום - לינק יישלח לנרשמים.

מספר המקומות מוגבל, אנא הירשמו בהקדם.

לינק להרשמה לזום בתגובה הראשונה.","מדברים עם בני וחילי - מפגש זום 22.12 | 20:30",p.logiap.info,,"lower_bound: 20000, upper_bound: 24999","lower_bound: 200, upper_bound: 299",ILS,"{""age"":""18-24"",""gender"":""female"",""__umapi_query_id"":""ll71zk72doh18jdb4kfd"",""percentage"":0.013931},{""age"":""45-54"",""gender"":""male"",""percentage"":0.085507},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.00327},{""age"":""65+"",""gender"":""male"",""percentage"":0.261994},{""age"":""65+"",""gender"":""female"",""percentage"":0.171228},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.000853},{""age"":""55-64"",""gender"":""male"",""percentage"":0.113654},{""age"":""55-64"",""gender"":""female"",""percentage"":0.035042},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.002985},{""age"":""45-54"",""gender"":""female"",""percentage"":0.020471},{""age"":""18-24"",""gender"":""male"",""percentage"":0.031843},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.002203},{""age"":""35-44"",""gender"":""male"",""percentage"":0.098799},{""age"":""35-44"",""gender"":""female"",""percentage"":0.020897},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.000853},{""age"":""25-34"",""gender"":""male"",""percentage"":0.107328},{""age"":""25-34"",""gender"":""female"",""percentage"":0.028716},{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.000355},{""age"":""Unknown"",""gender"":""female"",""percentage"":7.1e-5}","{""region"":""Central District"",""__umapi_query_id"":""txsciu4tofwmoml9cnzq"",""percentage"":0.236557},{""region"":""Heifa"",""percentage"":0.129862},{""region"":""Jerusalem"",""percentage"":0.098052},{""region"":""Northern District"",""percentage"":0.238399},{""region"":""Southern District"",""percentage"":0.140205},{""region"":""Tel Aviv"",""percentage"":0.156925}","facebook,instagram","lower_bound: 1000001",he
1919423285349888,311390516402185,"מפלגת כחול לבן",2025-12-18,2025-12-18,2025-12-21,"מפלגת כחול לבן","מדברים עם בני וחילי!

איך מתקנים מחדל של 77 שנים?
בואו לשאול כל מה שרציתם את יו״ר כחול לבן בני גנץ וח”כ חילי טרופר על המאבק בחוק ההשתמטות - והדרך לשירות לכל במדינת ישראל.

יום שני | 22.12 | 20:30 | זום - לינק יישלח לנרשמים.

מספר המקומות מוגבל, אנא הירשמו בהקדם.

לינק להרשמה לזום בסטורי.","מדברים עם בני וחילי - מפגש זום 22.12 | 20:30",p.logiap.info,,"lower_bound: 30000, upper_bound: 34999","lower_bound: 200, upper_bound: 299",ILS,"{""age"":""18-24"",""gender"":""female"",""__umapi_query_id"":""rfn6fu1i8qqes5fsigls"",""percentage"":0.373915},{""age"":""45-54"",""gender"":""male"",""percentage"":0.012576},{""age"":""65+"",""gender"":""male"",""percentage"":0.015815},{""age"":""65+"",""gender"":""female"",""percentage"":0.016914},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.000165},{""age"":""55-64"",""gender"":""male"",""percentage"":0.008841},{""age"":""55-64"",""gender"":""female"",""percentage"":0.009116},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.000384},{""age"":""45-54"",""gender"":""female"",""percentage"":0.018891},{""age"":""18-24"",""gender"":""male"",""percentage"":0.202306},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.000275},{""age"":""35-44"",""gender"":""male"",""percentage"":0.024931},{""age"":""35-44"",""gender"":""female"",""percentage"":0.043163},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.001153},{""age"":""25-34"",""gender"":""male"",""percentage"":0.102526},{""age"":""25-34"",""gender"":""female"",""percentage"":0.165568},{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.00335},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.00011}","{""region"":""Central District"",""__umapi_query_id"":""1a30vji0vtl8k3goc6mh"",""percentage"":0.236851},{""region"":""Heifa"",""percentage"":0.141145},{""region"":""Jerusalem"",""percentage"":0.089361},{""region"":""Northern District"",""percentage"":0.253009},{""region"":""Southern District"",""percentage"":0.173842},{""region"":""Tel Aviv"",""percentage"":0.104978},{""region"":""Unknown"",""percentage"":0.000813}",instagram,"lower_bound: 1000001",he
1620712699294793,311390516402185,"מפלגת כחול לבן",2025-10-30,2025-10-30,2025-11-03,"מפלגת כחול לבן","השבוע סיכמה יו״ר סיעת כחול לבן ח״כ פנינה תמנו שטה 3 שנים של עבודה אינטנסיבית כיו״ר הוועדה לקידום מעמד האישה. 
קצרה היריעה מלפרט את ההישגים הרבים שהביאה הוועדה בהובלת פנינה, אז נתנו לאנשים לדבר. 
פנינה אולי נפרדת מהוועדה, אבל המחויבות לקידום הנושאים בהם עסקה - לא הולכת לשום מקום. @[100044342623534:2048:פנינה תמנו שטה Pnina Tamano Shata]",,www.fb.com,,"lower_bound: 20000, upper_bound: 24999","lower_bound: 200, upper_bound: 299",ILS,"{""age"":""18-24"",""gender"":""female"",""__umapi_query_id"":""byem1jfmkskde8dy99dw"",""percentage"":0.042087},{""age"":""25-34"",""gender"":""female"",""percentage"":0.18115},{""age"":""35-44"",""gender"":""female"",""percentage"":0.160403},{""age"":""45-54"",""gender"":""female"",""percentage"":0.164552},{""age"":""55-64"",""gender"":""female"",""percentage"":0.174037},{""age"":""65+"",""gender"":""female"",""percentage"":0.277771}","{""region"":""Central District"",""__umapi_query_id"":""0d4aqjsscyer66rxbpbq"",""percentage"":0.204043},{""region"":""Heifa"",""percentage"":0.111371},{""region"":""Jerusalem"",""percentage"":0.193876},{""region"":""Northern District"",""percentage"":0.15426},{""region"":""Southern District"",""percentage"":0.104943},{""region"":""Tel Aviv"",""percentage"":0.231506}",facebook,"lower_bound: 1000001",he
1357010656092240,311390516402185,"מפלגת כחול לבן",2025-10-30,2025-10-30,2025-11-03,"מפלגת כחול לבן","השבוע סיכמה יו״ר סיעת כחול לבן ח״כ פנינה תמנו שטה 3 שנים של עבודה אינטנסיבית כיו״ר הוועדה לקידום מעמד האישה. 
קצרה היריעה מלפרט את ההישגים הרבים שהביאה הוועדה בהובלת פנינה, אז נתנו לאנשים לדבר. 
פנינה אולי נפרדת מהוועדה, אבל המחויבות לקידום הנושאים בהם עסקה - לא הולכת לשום מקום.",,www.instagram.com,,"lower_bound: 25000, upper_bound: 29999","lower_bound: 200, upper_bound: 299",ILS,"{""age"":""18-24"",""gender"":""female"",""__umapi_query_id"":""x5kkdc3rkmgl6q6iq79z"",""percentage"":0.253651},{""age"":""25-34"",""gender"":""female"",""percentage"":0.394914},{""age"":""35-44"",""gender"":""female"",""percentage"":0.148733},{""age"":""45-54"",""gender"":""female"",""percentage"":0.087796},{""age"":""55-64"",""gender"":""female"",""percentage"":0.05909},{""age"":""65+"",""gender"":""female"",""percentage"":0.055817}","{""region"":""Central District"",""__umapi_query_id"":""x44sc2wbnaqynehldg29"",""percentage"":0.190802},{""region"":""Heifa"",""percentage"":0.125978},{""region"":""Jerusalem"",""percentage"":0.17849},{""region"":""Northern District"",""percentage"":0.286937},{""region"":""Southern District"",""percentage"":0.109834},{""region"":""Tel Aviv"",""percentage"":0.107958}",instagram,"lower_bound: 500001, upper_bound: 1000000",he
2032046860979768,311390516402185,"מפלגת כחול לבן",2025-10-16,2025-10-16,2025-10-20,"מפלגת כחול לבן","ממסדרונות הקמפוס למסדרונות הכנסת - המסע שלך מתחיל כאן! 

תמיד חלמת להשתלב בשדה הפוליטי? רצית להשפיע במקום החשוב במדינה ולא ידעת איך? זו ההזדמנות שלך!
תוכנית המתמחים של כחול לבן מחפשת את דור ההנהגה הבא 💪

מה תקבלו אצלנו?
🔵 ניסיון בעבודה בלשכות חברי הכנסת
⚪️ חשיפה לעולם הפוליטי והפרלמנטרי מבפנים
🔵 קשרים משמעותיים עם אנשי מפתח
⚪️ כלים מקצועיים לעשייה חברתית ופוליטית

‏🇮🇱 התוכנית מיועדת לסטודנטיות ולסטודנטים שרואים בכחול לבן את הבית הפוליטי שלהם ורוצים להתפתח איתנו.
📅 ההתמחות נמשכת לאורך הסמסטר ומשלבת עבודה מעשית עם תכנית העשרה מקצועית. 

יענו רק פניות מתאימות.

קישור להרשמה בתגובה הראשונה.",docs.google.com,docs.google.com,,"lower_bound: 50000, upper_bound: 59999","lower_bound: 300, upper_bound: 399",ILS,"{""age"":""18-24"",""gender"":""female"",""__umapi_query_id"":""20762laq49i33kazeb37"",""percentage"":0.16012},{""age"":""18-24"",""gender"":""male"",""percentage"":0.15989},{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.001413},{""age"":""25-34"",""gender"":""female"",""percentage"":0.268203},{""age"":""25-34"",""gender"":""male"",""percentage"":0.363795},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.003452},{""age"":""35-44"",""gender"":""female"",""percentage"":0.014891},{""age"":""35-44"",""gender"":""male"",""percentage"":0.027711},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.000493},{""age"":""65+"",""gender"":""female"",""percentage"":3.3e-5}","{""region"":""Central District"",""__umapi_query_id"":""73cwgplgul6ljrwqm8zq"",""percentage"":0.220857},{""region"":""Heifa"",""percentage"":0.109728},{""region"":""Jerusalem"",""percentage"":0.160129},{""region"":""Northern District"",""percentage"":0.200593},{""region"":""Southern District"",""percentage"":0.117482},{""region"":""Tel Aviv"",""percentage"":0.191177},{""region"":""Unknown"",""percentage"":3.3e-5}","facebook,instagram","lower_bound: 1000001",he
1178425557541338,311390516402185,"מפלגת כחול לבן",2025-10-16,2025-10-16,2025-10-20,"מפלגת כחול לבן","ממסדרונות הקמפוס למסדרונות הכנסת - המסע שלך מתחיל כאן! 

תמיד חלמת להשתלב בשדה הפוליטי? רצית להשפיע במקום החשוב במדינה ולא ידעת איך? זו ההזדמנות שלך!
תוכנית המתמחים של כחול לבן מחפשת את דור ההנהגה הבא 💪

מה תקבלו אצלנו?
🔵 ניסיון בעבודה בלשכות חברי הכנסת
⚪️ חשיפה לעולם הפוליטי והפרלמנטרי מבפנים
🔵 קשרים משמעותיים עם אנשי מפתח
⚪️ כלים מקצועיים לעשייה חברתית ופוליטית

‏🇮🇱 התוכנית מיועדת לסטודנטיות ולסטודנטים שרואים בכחול לבן את הבית הפוליטי שלהם ורוצים להתפתח איתנו.
📅 ההתמחות נמשכת לאורך הסמסטר ומשלבת עבודה מעשית עם תוכנית העשרה מקצועית. 

יענו רק פניות מתאימות.

קישור להרשמה בסטורי ובביו.",docs.google.com,docs.google.com,,"lower_bound: 30000, upper_bound: 34999","lower_bound: 300, upper_bound: 399",ILS,"{""age"":""18-24"",""gender"":""female"",""__umapi_query_id"":""6zh4qbhpgnrmubt2rap1"",""percentage"":0.029343},{""age"":""45-54"",""gender"":""male"",""percentage"":0.061411},{""age"":""65+"",""gender"":""male"",""percentage"":0.021104},{""age"":""65+"",""gender"":""female"",""percentage"":0.023132},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.001204},{""age"":""55-64"",""gender"":""male"",""percentage"":0.02947},{""age"":""55-64"",""gender"":""female"",""percentage"":0.033906},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.003676},{""age"":""45-54"",""gender"":""female"",""percentage"":0.067558},{""age"":""18-24"",""gender"":""male"",""percentage"":0.121047},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.005831},{""age"":""35-44"",""gender"":""male"",""percentage"":0.103555},{""age"":""35-44"",""gender"":""female"",""percentage"":0.091641},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.002535},{""age"":""25-34"",""gender"":""male"",""percentage"":0.261233},{""age"":""25-34"",""gender"":""female"",""percentage"":0.141581},{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.001331},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.000444}","{""region"":""Central District"",""__umapi_query_id"":""h5n6gh40s8qh27fsjhpe"",""percentage"":0.251769},{""region"":""Heifa"",""percentage"":0.10652},{""region"":""Jerusalem"",""percentage"":0.097928},{""region"":""Northern District"",""percentage"":0.148092},{""region"":""Southern District"",""percentage"":0.084597},{""region"":""Tel Aviv"",""percentage"":0.311094}",instagram,"lower_bound: 50001, upper_bound: 100000",he
715221257787821,311390516402185,"מפלגת כחול לבן",2025-07-18,2025-07-18,2025-07-21,"מפלגת כחול לבן","התפקדו לכחול לבן עוד היום והצטרפו לעשייה משמעותית, לדרך של הסכמות, דרך שתשמור על ישראל כבית של כולנו.","הגיע הזמן. מתפקדים לכחול לבן. לפרטים >>",kachollavan.logivote.com,"אם גם בשבילכם ישראל לפני הכל - הצטרפו אלינו במסע להסכמות ואחדות בחברה הישראלית.","lower_bound: 45000, upper_bound: 49999","lower_bound: 700, upper_bound: 799",ILS,"{""age"":""18-24"",""gender"":""female"",""percentage"":0.006053},{""age"":""45-54"",""gender"":""male"",""percentage"":0.060581},{""age"":""65+"",""gender"":""male"",""percentage"":0.23937},{""age"":""65+"",""gender"":""female"",""percentage"":0.257185},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.001821},{""age"":""55-64"",""gender"":""male"",""percentage"":0.096998},{""age"":""55-64"",""gender"":""female"",""percentage"":0.075443},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.002215},{""age"":""45-54"",""gender"":""female"",""percentage"":0.038927},{""age"":""18-24"",""gender"":""male"",""percentage"":0.011811},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.002165},{""age"":""35-44"",""gender"":""male"",""percentage"":0.055413},{""age"":""35-44"",""gender"":""female"",""percentage"":0.025935},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.000394},{""age"":""25-34"",""gender"":""male"",""percentage"":0.078051},{""age"":""25-34"",""gender"":""female"",""percentage"":0.042224},{""age"":""18-24"",""gender"":""unknown"",""percentage"":4.9e-5},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.005364}","{""region"":""Central District"",""percentage"":0.287905},{""region"":""Heifa"",""percentage"":0.163453},{""region"":""Jerusalem"",""percentage"":0.067874},{""region"":""Northern District"",""percentage"":0.144561},{""region"":""Southern District"",""percentage"":0.113059},{""region"":""Tel Aviv"",""percentage"":0.223147}",facebook,"lower_bound: 100001, upper_bound: 500000",he
3093830090775078,311390516402185,"מפלגת כחול לבן",2025-07-18,2025-07-18,2025-07-21,"מפלגת כחול לבן","התפקדו לכחול לבן עוד היום והצטרפו לעשייה משמעותית, לדרך של הסכמות, דרך שתשמור על ישראל כבית של כולנו.","הגיע הזמן. מתפקדים לכחול לבן. לפרטים >>",kachollavan.logivote.com,"אם גם בשבילכם ישראל לפני הכל - הצטרפו אלינו במסע להסכמות ואחדות בחברה הישראלית.","lower_bound: 50000, upper_bound: 59999","lower_bound: 700, upper_bound: 799",ILS,"{""age"":""18-24"",""gender"":""female"",""percentage"":0.00716},{""age"":""45-54"",""gender"":""male"",""percentage"":0.077895},{""age"":""65+"",""gender"":""male"",""percentage"":0.146862},{""age"":""65+"",""gender"":""female"",""percentage"":0.168773},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.001294},{""age"":""55-64"",""gender"":""male"",""percentage"":0.06983},{""age"":""55-64"",""gender"":""female"",""percentage"":0.047229},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.002588},{""age"":""45-54"",""gender"":""female"",""percentage"":0.029459},{""age"":""18-24"",""gender"":""male"",""percentage"":0.036273},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.003062},{""age"":""35-44"",""gender"":""male"",""percentage"":0.122709},{""age"":""35-44"",""gender"":""female"",""percentage"":0.034246},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.000992},{""age"":""25-34"",""gender"":""male"",""percentage"":0.197283},{""age"":""25-34"",""gender"":""female"",""percentage"":0.049687},{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.000173},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.004486}","{""region"":""Central District"",""percentage"":0.239752},{""region"":""Heifa"",""percentage"":0.128704},{""region"":""Jerusalem"",""percentage"":0.072328},{""region"":""Northern District"",""percentage"":0.249279},{""region"":""Southern District"",""percentage"":0.114763},{""region"":""Tel Aviv"",""percentage"":0.195175}",facebook,"lower_bound: 100001, upper_bound: 500000",he
1252965006325086,311390516402185,"מפלגת כחול לבן",2025-07-18,2025-07-18,2025-07-21,"מפלגת כחול לבן","התפקדו לכחול לבן עוד היום והצטרפו לעשייה משמעותית, לדרך של הסכמות, דרך שתשמור על ישראל כבית של כולנו.","הגיע הזמן. מתפקדים לכחול לבן. לפרטים >>",kachollavan.logivote.com,"אם גם בשבילכם ישראל לפני הכל - הצטרפו אלינו במסע להסכמות ואחדות בחברה הישראלית.","lower_bound: 40000, upper_bound: 44999","lower_bound: 700, upper_bound: 799",ILS,"{""age"":""25-34"",""gender"":""female"",""percentage"":0.054529},{""age"":""25-34"",""gender"":""male"",""percentage"":0.133361},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.000875},{""age"":""35-44"",""gender"":""female"",""percentage"":0.026363},{""age"":""35-44"",""gender"":""male"",""percentage"":0.067556},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.002678},{""age"":""45-54"",""gender"":""female"",""percentage"":0.02971},{""age"":""45-54"",""gender"":""male"",""percentage"":0.061789},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.002214},{""age"":""55-64"",""gender"":""female"",""percentage"":0.07013},{""age"":""55-64"",""gender"":""male"",""percentage"":0.092117},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.000927},{""age"":""65+"",""gender"":""female"",""percentage"":0.258895},{""age"":""65+"",""gender"":""male"",""percentage"":0.194738},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.004119}","{""region"":""Central District"",""percentage"":0.255016},{""region"":""Heifa"",""percentage"":0.122608},{""region"":""Jerusalem"",""percentage"":0.07732},{""region"":""Northern District"",""percentage"":0.194718},{""region"":""Southern District"",""percentage"":0.129984},{""region"":""Tel Aviv"",""percentage"":0.220354}",facebook,"lower_bound: 100001, upper_bound: 500000",he
1394013728366814,311390516402185,"מפלגת כחול לבן",2025-07-17,2025-07-17,2025-07-18,"מפלגת כחול לבן","התפקדו לכחול לבן עוד היום והצטרפו לעשייה משמעותית, לדרך של הסכמות, דרך שתשמור על ישראל כבית של כולנו.","הגיע הזמן. מתפקדים לכחול לבן. לפרטים >>",kachollavan.logivote.com,"אם גם בשבילכם ישראל לפני הכל - הצטרפו אלינו במסע להסכמות ואחדות בחברה הישראלית.","lower_bound: 3000, upper_bound: 3999","lower_bound: 0, upper_bound: 99",ILS,"{""age"":""25-34"",""gender"":""female"",""percentage"":0.010572},{""age"":""25-34"",""gender"":""male"",""percentage"":0.038557},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.000311},{""age"":""35-44"",""gender"":""female"",""percentage"":0.009328},{""age"":""35-44"",""gender"":""male"",""percentage"":0.063433},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.001244},{""age"":""45-54"",""gender"":""female"",""percentage"":0.015547},{""age"":""45-54"",""gender"":""male"",""percentage"":0.067786},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.001866},{""age"":""55-64"",""gender"":""female"",""percentage"":0.073694},{""age"":""55-64"",""gender"":""male"",""percentage"":0.129042},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.000311},{""age"":""65+"",""gender"":""female"",""percentage"":0.294465},{""age"":""65+"",""gender"":""male"",""percentage"":0.288868},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.004975}","{""region"":""Central District"",""percentage"":0.270853},{""region"":""Heifa"",""percentage"":0.118088},{""region"":""Jerusalem"",""percentage"":0.066854},{""region"":""Northern District"",""percentage"":0.208997},{""region"":""Southern District"",""percentage"":0.12746},{""region"":""Tel Aviv"",""percentage"":0.207748}",facebook,"lower_bound: 100001, upper_bound: 500000",he
