publisher,publisher_group,total_spend_ils_all_sources,total_spend_ils_google,total_spend_ils_meta,google_share_of_publisher_spend_pct,meta_share_of_publisher_spend_pct,appears_in_google,appears_in_meta,rows_meta,rows_google,active_week_rows_meta,active_week_rows_google,average_weekly_row_spend_ils_meta,average_weekly_row_spend_ils_google,median_weekly_row_spend_ils_meta,median_weekly_row_spend_ils_google,sd_weekly_row_spend_ils_meta,sd_weekly_row_spend_ils_google,min_weekly_row_spend_ils_meta,min_weekly_row_spend_ils_google,p25_weekly_row_spend_ils_meta,p25_weekly_row_spend_ils_google,p75_weekly_row_spend_ils_meta,p75_weekly_row_spend_ils_google,max_weekly_row_spend_ils_meta,max_weekly_row_spend_ils_google,first_week_meta,first_week_google,last_week_meta,last_week_google
אפוק טיימס,other_org_or_person,4938388.573,0,4938388.573,0,100,FALSE,TRUE,167,0,167,0,29571.189,,27967.861,,22580.72,,33.469,,6013.837,,47601.162,,86631.817,,2020-01-05,,2025-12-28,
חופשי בארצנו - מטה המאבק,other_org_or_person,3519846,0,3519846,0,100,FALSE,TRUE,149,0,149,0,23623.128,,14799.884,,30894.021,,1284.342,,8726.633,,24808.929,,200425.854,,2023-02-05,,2025-12-28,
לוחמי כיפור 73,other_org_or_person,2878334.5,1140000,1738334.5,39.606,60.394,TRUE,TRUE,25,37,25,37,69533.38,30810.811,49999.333,15250,68895.947,39500.501,2550.064,250,24690.522,2250,114192.489,40750,323814.063,186750,2023-12-31,2023-12-31,2024-10-06,2025-10-05
מפלגת יש עתיד,political_party,2427433,1270000,1157433,52.319,47.681,TRUE,TRUE,141,72,141,72,8208.745,17638.889,1124.458,250,31815.261,53852.006,49.5,250,535.5,250,2468.015,5250,314694.667,350750,2020-03-29,2021-02-07,2025-11-30,2025-12-14
לובי 99,other_org_or_person,2244671.98,214000,2030671.98,9.534,90.466,TRUE,TRUE,312,108,312,108,6508.564,1981.481,4408.302,1500,6170.285,1629.067,444.45,250,2135.887,750,8399.233,2812.5,34251.469,8750,2020-01-05,2023-11-12,2025-12-28,2025-12-14
ההסתדרות החדשה,other_org_or_person,2058440,0,2058440,0,100,FALSE,TRUE,309,0,309,0,6661.618,,5094,,6419.836,,149.5,,3105.7,,8352.698,,61550.833,,2020-01-05,,2025-12-28,
מפלגת מרצ,political_party,2036495,268500,1767995,13.184,86.816,TRUE,TRUE,143,24,143,24,12363.601,11187.5,2507.875,8500,23383.049,11545.103,49.5,250,934.708,5125,12393.484,13750,150972.19,50750,2020-01-05,2021-01-03,2024-07-21,2022-10-30
נפתלי בנט,other_org_or_person,1827885.5,0,1827885.5,0,100,FALSE,TRUE,65,0,65,0,28121.315,,9499.333,,45042.057,,116.5,,4010.907,,33229.736,,282752.409,,2020-01-05,,2022-06-26,
תקווה חדשה - אחדות לישראל,political_party,1827622.5,1049000,778622.5,57.397,42.603,TRUE,TRUE,37,12,37,12,21043.851,87416.667,999,80625,35003.423,51259.072,16.5,6000,33,57062.5,28008.015,120312.5,108721.478,164250,2020-03-29,2021-01-03,2025-12-14,2021-03-21
התנועה לאיכות השלטון,other_org_or_person,1625270.143,0,1625270.143,0,100,FALSE,TRUE,282,0,282,0,5763.369,,3932.508,,6512.674,,41.583,,1783.768,,7261.425,,45023.18,,2020-01-05,,2025-12-28,
אביגדול ליברמן,other_org_or_person,1502700.871,0,1502700.871,0,100,FALSE,TRUE,285,0,285,0,5272.635,,1248.01,,12065.965,,58.25,,631.371,,3317.801,,81060.672,,2020-01-05,,2025-12-28,
בצלאל סמוטריץ_,other_org_or_person,1477079,0,1477079,0,100,FALSE,TRUE,221,0,221,0,6683.615,,3097,,12912.005,,49.5,,1047,,6623.75,,104656.468,,2020-01-12,,2025-12-21,
הקרן החדשה לישראל,other_org_or_person,1265677.231,0,1265677.231,0,100,FALSE,TRUE,311,0,311,0,4069.702,,3235.748,,3839.138,,21.357,,1691.831,,5372.593,,34651.452,,2020-01-05,,2025-12-28,
סלע מאיר הוצאה לאור,other_org_or_person,1260885.75,0,1260885.75,0,100,FALSE,TRUE,282,0,282,0,4471.226,,3540.414,,4314.436,,0.973,,1670.838,,5860.334,,24567.308,,2020-01-05,,2025-06-22,
