model_name,relative_week,estimate,std.error,statistic,p.value,conf.low,conf.high,pct_change,signif
all_entities_all_events,-2,0.032,0.059,0.539,0.592,-0.087,0.151,+3.2%,
all_entities_all_events,-1,-0.028,0.047,-0.599,0.552,-0.122,0.066,-2.8%,
all_entities_all_events,1,-0.070,0.065,-1.074,0.287,-0.199,0.060,-6.7%,
all_entities_all_events,2,-0.109,0.080,-1.364,0.178,-0.270,0.051,-10.4%,
political_parties_all_events,-2,-0.017,0.196,-0.088,0.931,-0.445,0.410,-1.7%,
political_parties_all_events,-1,-0.344,0.215,-1.598,0.136,-0.813,0.125,-29.1%,
political_parties_all_events,1,-0.126,0.095,-1.327,0.209,-0.332,0.081,-11.8%,
political_parties_all_events,2,-0.126,0.191,-0.661,0.521,-0.543,0.290,-11.9%,
other_orgs_people_all_events,-2,0.045,0.063,0.725,0.472,-0.081,0.172,+4.6%,
other_orgs_people_all_events,-1,0.022,0.045,0.488,0.628,-0.069,0.113,+2.2%,
other_orgs_people_all_events,1,-0.064,0.075,-0.858,0.396,-0.215,0.087,-6.2%,
other_orgs_people_all_events,2,-0.109,0.087,-1.248,0.219,-0.285,0.067,-10.3%,
all_entities_political_events,-2,0.007,0.080,0.085,0.933,-0.154,0.168,+0.7%,
all_entities_political_events,-1,-0.041,0.070,-0.595,0.554,-0.181,0.098,-4.1%,
all_entities_political_events,1,-0.113,0.073,-1.548,0.128,-0.259,0.033,-10.6%,
all_entities_political_events,2,-0.068,0.118,-0.573,0.569,-0.304,0.169,-6.5%,
all_entities_terror_events,-2,0.060,0.075,0.804,0.426,-0.090,0.210,+6.2%,
all_entities_terror_events,-1,-0.029,0.076,-0.378,0.707,-0.183,0.125,-2.8%,
all_entities_terror_events,1,-0.088,0.086,-1.021,0.313,-0.262,0.086,-8.4%,
all_entities_terror_events,2,-0.176,0.079,-2.221,0.032,-0.335,-0.016,-16.1%,**
political_parties_political_events,-2,-0.161,0.299,-0.538,0.601,-0.813,0.491,-14.9%,
political_parties_political_events,-1,-0.583,0.287,-2.032,0.065,-1.209,0.042,-44.2%,*
political_parties_political_events,1,-0.168,0.097,-1.725,0.110,-0.381,0.044,-15.5%,
political_parties_political_events,2,-0.194,0.243,-0.800,0.439,-0.724,0.335,-17.7%,
political_parties_terror_events,-2,0.174,0.267,0.651,0.536,-0.458,0.806,+19.0%,
political_parties_terror_events,-1,-0.184,0.435,-0.423,0.685,-1.212,0.844,-16.8%,
political_parties_terror_events,1,-0.167,0.340,-0.492,0.638,-0.971,0.637,-15.4%,
political_parties_terror_events,2,0.014,0.241,0.057,0.956,-0.557,0.584,+1.4%,
other_orgs_people_political_events,-2,0.033,0.078,0.420,0.677,-0.125,0.191,+3.3%,
other_orgs_people_political_events,-1,0.059,0.055,1.068,0.292,-0.053,0.170,+6.1%,
other_orgs_people_political_events,1,-0.099,0.085,-1.163,0.252,-0.272,0.074,-9.5%,
other_orgs_people_political_events,2,-0.038,0.130,-0.290,0.773,-0.301,0.226,-3.7%,
other_orgs_people_terror_events,-2,0.052,0.079,0.656,0.516,-0.109,0.212,+5.3%,
other_orgs_people_terror_events,-1,-0.019,0.077,-0.245,0.808,-0.174,0.137,-1.9%,
other_orgs_people_terror_events,1,-0.077,0.092,-0.838,0.408,-0.262,0.109,-7.4%,
other_orgs_people_terror_events,2,-0.196,0.083,-2.375,0.023,-0.364,-0.028,-17.8%,**
