model_name,relative_week,estimate,std.error,statistic,p.value,conf.low,conf.high,pct_change,signif
all_entities_all_events,-2,0.060,0.055,1.100,0.276,-0.049,0.169,+6.2%,
all_entities_all_events,0,0.028,0.047,0.599,0.552,-0.066,0.122,+2.9%,
all_entities_all_events,1,-0.041,0.064,-0.645,0.521,-0.170,0.087,-4.1%,
all_entities_all_events,2,-0.081,0.079,-1.028,0.308,-0.240,0.077,-7.8%,
political_parties_all_events,-2,0.327,0.188,1.741,0.107,-0.082,0.736,+38.7%,
political_parties_all_events,0,0.344,0.215,1.598,0.136,-0.125,0.813,+41.1%,
political_parties_all_events,1,0.218,0.177,1.231,0.242,-0.168,0.605,+24.4%,
political_parties_all_events,2,0.218,0.297,0.733,0.477,-0.429,0.865,+24.3%,
other_orgs_people_all_events,-2,0.023,0.054,0.431,0.669,-0.086,0.133,+2.4%,
other_orgs_people_all_events,0,-0.022,0.045,-0.488,0.628,-0.113,0.069,-2.2%,
other_orgs_people_all_events,1,-0.086,0.069,-1.257,0.215,-0.224,0.052,-8.3%,
other_orgs_people_all_events,2,-0.131,0.080,-1.643,0.107,-0.292,0.030,-12.3%,
all_entities_political_events,-2,0.048,0.074,0.656,0.515,-0.099,0.196,+4.9%,
all_entities_political_events,0,0.041,0.070,0.595,0.554,-0.098,0.181,+4.2%,
all_entities_political_events,1,-0.071,0.082,-0.869,0.389,-0.235,0.093,-6.9%,
all_entities_political_events,2,-0.026,0.120,-0.218,0.829,-0.267,0.215,-2.6%,
all_entities_terror_events,-2,0.089,0.071,1.259,0.215,-0.053,0.231,+9.3%,
all_entities_terror_events,0,0.029,0.076,0.378,0.707,-0.125,0.183,+2.9%,
all_entities_terror_events,1,-0.059,0.085,-0.697,0.490,-0.230,0.112,-5.7%,
all_entities_terror_events,2,-0.147,0.083,-1.773,0.083,-0.314,0.020,-13.7%,*
political_parties_political_events,-2,0.422,0.225,1.880,0.085,-0.067,0.912,+52.5%,*
political_parties_political_events,0,0.583,0.287,2.032,0.065,-0.042,1.209,+79.2%,*
political_parties_political_events,1,0.415,0.231,1.798,0.097,-0.088,0.918,+51.4%,*
political_parties_political_events,2,0.389,0.423,0.919,0.376,-0.533,1.311,+47.5%,
political_parties_terror_events,-2,0.358,0.351,1.021,0.341,-0.471,1.187,+43.0%,
political_parties_terror_events,0,0.184,0.435,0.423,0.685,-0.844,1.212,+20.2%,
political_parties_terror_events,1,0.017,0.193,0.087,0.933,-0.439,0.473,+1.7%,
political_parties_terror_events,2,0.197,0.424,0.466,0.655,-0.805,1.200,+21.8%,
other_orgs_people_political_events,-2,-0.026,0.068,-0.383,0.704,-0.163,0.111,-2.6%,
other_orgs_people_political_events,0,-0.059,0.055,-1.068,0.292,-0.170,0.053,-5.7%,
other_orgs_people_political_events,1,-0.158,0.085,-1.859,0.071,-0.330,0.014,-14.6%,*
other_orgs_people_political_events,2,-0.096,0.115,-0.839,0.407,-0.329,0.136,-9.2%,
other_orgs_people_terror_events,-2,0.071,0.068,1.035,0.308,-0.068,0.209,+7.3%,
other_orgs_people_terror_events,0,0.019,0.077,0.245,0.808,-0.137,0.174,+1.9%,
other_orgs_people_terror_events,1,-0.058,0.093,-0.621,0.539,-0.247,0.132,-5.6%,
other_orgs_people_terror_events,2,-0.177,0.086,-2.067,0.046,-0.351,-0.003,-16.3%,**
