model_name,relative_week,estimate,std.error,statistic,p.value,conf.low,conf.high,pct_change,signif
oct7_all_entities,-2,0.087,0.153,0.571,0.572,-0.224,0.399,+9.1%,
oct7_all_entities,0,-0.375,0.326,-1.153,0.258,-1.039,0.288,-31.3%,
oct7_all_entities,1,0.021,0.342,0.062,0.951,-0.676,0.719,+2.1%,
oct7_all_entities,2,-0.073,0.353,-0.208,0.836,-0.793,0.646,-7.1%,
oct7_political_parties,-2,0.705,0.804,0.876,0.445,-1.855,3.264,+102.3%,
oct7_political_parties,0,-1.082,0.402,-2.691,0.074,-2.362,0.198,-66.1%,.
oct7_political_parties,1,-0.674,0.329,-2.051,0.133,-1.720,0.372,-49.0%,
oct7_other_orgs_people,-2,-0.007,0.150,-0.045,0.964,-0.315,0.301,-0.7%,
oct7_other_orgs_people,0,-0.340,0.340,-1.001,0.325,-1.036,0.356,-28.8%,
oct7_other_orgs_people,1,0.027,0.357,0.076,0.940,-0.703,0.758,+2.7%,
oct7_other_orgs_people,2,-0.088,0.360,-0.245,0.808,-0.826,0.650,-8.5%,
