model_name,relative_week,estimate,std.error,statistic,p.value,conf.low,conf.high,pct_change,signif
all_entities_all_events,-2,-0.008,0.022,-0.345,0.731,-0.052,0.037,-0.8%,
all_entities_all_events,0,0.003,0.024,0.147,0.884,-0.044,0.050,+0.3%,
all_entities_all_events,1,0.011,0.027,0.406,0.686,-0.043,0.064,+1.1%,
all_entities_all_events,2,0.029,0.024,1.179,0.243,-0.020,0.078,+2.9%,
political_parties_all_events,-2,-0.071,0.074,-0.963,0.350,-0.227,0.085,-6.9%,
political_parties_all_events,0,0.010,0.060,0.163,0.872,-0.118,0.138,+1.0%,
political_parties_all_events,1,0.036,0.096,0.378,0.710,-0.167,0.239,+3.7%,
political_parties_all_events,2,0.083,0.073,1.127,0.276,-0.073,0.238,+8.6%,
other_orgs_people_all_events,-2,-0.005,0.022,-0.241,0.811,-0.050,0.040,-0.5%,
other_orgs_people_all_events,0,-0.006,0.024,-0.235,0.815,-0.054,0.043,-0.6%,
other_orgs_people_all_events,1,0.002,0.025,0.072,0.943,-0.049,0.052,+0.2%,
other_orgs_people_all_events,2,0.016,0.025,0.653,0.517,-0.034,0.067,+1.7%,
all_entities_political_events,-2,-0.028,0.032,-0.886,0.379,-0.093,0.036,-2.8%,
all_entities_political_events,0,-0.006,0.035,-0.165,0.870,-0.075,0.064,-0.6%,
all_entities_political_events,1,-0.005,0.036,-0.130,0.897,-0.076,0.067,-0.5%,
all_entities_political_events,2,0.006,0.035,0.166,0.869,-0.065,0.077,+0.6%,
all_entities_terror_events,-2,0.028,0.035,0.781,0.437,-0.043,0.098,+2.8%,
all_entities_terror_events,0,0.014,0.031,0.437,0.663,-0.049,0.076,+1.4%,
all_entities_terror_events,1,0.031,0.046,0.680,0.499,-0.061,0.123,+3.2%,
all_entities_terror_events,2,0.059,0.045,1.331,0.188,-0.030,0.148,+6.1%,
political_parties_political_events,-2,-0.147,0.075,-1.959,0.070,-0.308,0.014,-13.7%,*
political_parties_political_events,0,-0.015,0.101,-0.146,0.886,-0.232,0.202,-1.5%,
political_parties_political_events,1,-0.064,0.115,-0.553,0.589,-0.311,0.183,-6.2%,
political_parties_political_events,2,-0.068,0.101,-0.673,0.512,-0.285,0.149,-6.6%,
political_parties_terror_events,-2,0.043,0.102,0.421,0.680,-0.174,0.260,+4.4%,
political_parties_terror_events,0,0.030,0.115,0.263,0.796,-0.216,0.276,+3.1%,
political_parties_terror_events,1,0.174,0.137,1.267,0.225,-0.119,0.467,+19.0%,
political_parties_terror_events,2,0.280,0.138,2.036,0.060,-0.013,0.573,+32.3%,*
other_orgs_people_political_events,-2,-0.026,0.035,-0.731,0.469,-0.097,0.045,-2.5%,
other_orgs_people_political_events,0,-0.009,0.036,-0.247,0.806,-0.082,0.064,-0.9%,
other_orgs_people_political_events,1,0.003,0.034,0.099,0.921,-0.065,0.071,+0.3%,
other_orgs_people_political_events,2,0.009,0.036,0.249,0.804,-0.063,0.081,+0.9%,
other_orgs_people_terror_events,-2,0.027,0.037,0.721,0.475,-0.048,0.102,+2.7%,
other_orgs_people_terror_events,0,-0.004,0.031,-0.112,0.911,-0.066,0.059,-0.3%,
other_orgs_people_terror_events,1,-0.001,0.045,-0.027,0.979,-0.092,0.090,-0.1%,
other_orgs_people_terror_events,2,0.026,0.045,0.580,0.565,-0.064,0.117,+2.6%,
