model_name,period,rows,unique_weekly_rows,entities,events,avg_weekly_spend_ils,median_weekly_spend_ils,avg_log_weekly_spend
all_entities_all_events,post_event,6834,4728,65,75,6340.364,2122.932,7.637
all_entities_all_events,pre_event,4521,3711,65,75,6549.369,2057.936,7.636
political_parties_all_events,post_event,1313,913,17,75,9747.473,1448.833,7.484
political_parties_all_events,pre_event,843,698,17,74,9834.888,1365.701,7.483
other_orgs_people_all_events,post_event,5521,3815,48,75,5530.088,2247.678,7.674
other_orgs_people_all_events,pre_event,3678,3013,48,75,5796.325,2166.220,7.671
all_entities_political_events,post_event,2503,2201,62,27,5030.662,1999.000,7.536
all_entities_political_events,pre_event,1608,1514,59,27,4948.616,1870.827,7.522
all_entities_terror_events,post_event,4331,3417,64,48,7097.276,2207.293,7.696
all_entities_terror_events,pre_event,2913,2554,63,48,7432.997,2199.792,7.699
political_parties_political_events,post_event,427,380,14,27,4120.274,990.438,6.965
political_parties_political_events,pre_event,255,244,13,26,2716.590,898.000,6.817
political_parties_terror_events,post_event,886,707,17,48,12459.453,2081.205,7.733
political_parties_terror_events,pre_event,588,523,17,48,12921.905,2078.781,7.772
other_orgs_people_political_events,post_event,2076,1821,48,27,5217.915,2250.000,7.653
other_orgs_people_political_events,pre_event,1353,1270,46,27,5369.286,2076.291,7.655
other_orgs_people_terror_events,post_event,3445,2710,47,48,5718.208,2247.609,7.686
other_orgs_people_terror_events,pre_event,2325,2031,46,48,6044.835,2220.072,7.680
