model_name,period,rows,unique_weekly_rows,entities,events,avg_weekly_spend_ils,median_weekly_spend_ils,avg_log_weekly_spend
all_entities_all_events,post_event,1089,1033,59,12,5589.511,1799.000,7.514
all_entities_all_events,pre_event,738,708,58,12,5503.872,1974.063,7.545
political_parties_all_events,post_event,157,152,13,12,5092.803,1093.438,7.148
political_parties_all_events,pre_event,97,93,13,12,3810.937,1000.000,6.969
other_orgs_people_all_events,post_event,932,881,46,12,5673.184,2022.173,7.576
other_orgs_people_all_events,pre_event,641,615,45,12,5760.057,2164.171,7.633
all_entities_political_events,post_event,622,566,54,7,5349.903,1703.370,7.433
all_entities_political_events,pre_event,420,390,50,7,5104.350,1746.906,7.463
all_entities_terror_events,post_event,467,467,42,5,5908.645,2076.291,7.622
all_entities_terror_events,pre_event,318,318,42,5,6031.543,2100.693,7.654
political_parties_political_events,post_event,113,108,13,7,6324.087,1191.693,7.292
political_parties_political_events,pre_event,67,63,11,7,4314.875,1250.000,7.055
political_parties_terror_events,post_event,44,44,6,5,1930.641,762.042,6.779
political_parties_terror_events,pre_event,30,30,7,5,2685.474,724.200,6.777
other_orgs_people_political_events,post_event,509,458,41,7,5133.631,1816.183,7.465
other_orgs_people_political_events,pre_event,353,327,39,7,5254.193,1999.000,7.540
other_orgs_people_terror_events,post_event,423,423,36,5,6322.433,2210.125,7.710
other_orgs_people_terror_events,pre_event,288,288,35,5,6380.092,2339.704,7.746
