Statistic,All entities x all events,Political parties x all events,Other orgs/people x all events,All entities x political events,All entities x terror events,Political parties x political events,Political parties x terror events,Other orgs/people x political events,Other orgs/people x terror events
PostEvent,0.018,0.078,0.007,0.013,0.021,0.027,0.140,0.014,-0.006
Std. Error,(0.022),(0.079),(0.021),(0.030),(0.033),(0.100),(0.110),(0.030),(0.033)
P-value,0.418,0.341,0.750,0.675,0.535,0.791,0.224,0.639,0.849
Stacked event-window observations,9138,1544,7594,5262,3874,856,687,4406,3187
Unique weekly rows in event windows,5386,925,4461,3661,3291,606,574,3055,2717
Entities,65,17,48,62,64,16,16,46,48
Events,60,60,60,35,25,35,25,35,25
R-squared,0.323,0.477,0.347,0.332,0.332,0.473,0.500,0.357,0.359
Within R-squared,0.000,0.001,0.000,0.000,0.000,0.000,0.003,0.000,0.000
Data-source fixed effects,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Entity fixed effects,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Event fixed effects,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Event window,+/- 2 weeks,+/- 2 weeks,+/- 2 weeks,+/- 2 weeks,+/- 2 weeks,+/- 2 weeks,+/- 2 weeks,+/- 2 weeks,+/- 2 weeks
PostEvent definition,1 if placebo relative_week >= 0,1 if placebo relative_week >= 0,1 if placebo relative_week >= 0,1 if placebo relative_week >= 0,1 if placebo relative_week >= 0,1 if placebo relative_week >= 0,1 if placebo relative_week >= 0,1 if placebo relative_week >= 0,1 if placebo relative_week >= 0
