source,party_name,week_start_sunday,week_index_since_2020,total_spend_week,avg_spend_per_day_week,currency,rel_week,y
google,Mark Shteyn,2023-09-24,195,500,71.42857143,ILS,-2,6.214608098422191
google,Mark Shteyn,2023-10-01,196,500,71.42857143,ILS,-1,6.214608098422191
google,Mark Shteyn,2023-10-22,199,250,35.71428571,ILS,2,5.521460917862246
google,ישראל ביתנו,2023-09-24,195,1000,142.8571429,ILS,-2,6.907755278982137
google,ישראל ביתנו,2023-10-01,196,1000,142.8571429,ILS,-1,6.907755278982137
google,ישראל ביתנו,2023-10-08,197,500,71.42857143,ILS,0,6.214608098422191
google,מפלגת יש עתיד,2023-10-08,197,250,35.71428571,ILS,0,5.521460917862246
google,"ש""ס התאחדות הספרדים העולמית שומרי תורה",2023-09-24,195,250,35.71428571,ILS,-2,5.521460917862246
meta,Haaretz הארץ,2023-09-24,195,1740.35,248.62,ILS,-2,7.461841521406029
meta,Haaretz הארץ,2023-10-01,196,2124.4750000000004,303.5,ILS,-1,7.661279992010929
meta,Haaretz הארץ,2023-10-08,197,1926.15,275.16,ILS,0,7.563278470945392
meta,Haaretz הארץ,2023-10-15,198,1717.525,245.36,ILS,1,7.448639580031323
meta,Haaretz הארץ,2023-10-22,199,549.825,78.55,ILS,2,6.30960004577776
meta,Nir Barkat - ניר ברקת,2023-09-24,195,1019.375,145.62,ILS,-2,6.926944973375278
meta,Nir Barkat - ניר ברקת,2023-10-15,198,137.375,19.62,ILS,1,4.922714412723786
meta,Nir Barkat - ניר ברקת,2023-10-22,199,2210.125,315.73,ILS,2,7.700804353998254
meta,אביגדול ליברמן,2023-09-24,195,446.75,63.82,ILS,-2,6.101999154039538
meta,אביגדול ליברמן,2023-10-01,196,2061.375,294.48,ILS,-1,7.6311285148489345
meta,אביגדול ליברמן,2023-10-08,197,475.875,67.98,ILS,0,6.165155214702661
meta,אביגדול ליברמן,2023-10-15,198,636.75,90.96,ILS,1,6.456377113859566
meta,אביגדול ליברמן,2023-10-22,199,694,99.14,ILS,2,6.542471960506805
meta,בצלאל סמוטריץ_,2023-09-24,195,9139.5,1305.64,ILS,-2,9.12036095835666
meta,בצלאל סמוטריץ_,2023-10-15,198,12772.125,1824.59,ILS,1,9.455020340820917
meta,בצלאל סמוטריץ_,2023-10-22,199,7209.875,1029.98,ILS,2,8.883206893096807
meta,גדעון סער,2023-09-24,195,93.4375,13.35,ILS,-2,4.537292763585006
meta,גדעון סער,2023-10-01,196,56.0625,8.01,ILS,-1,4.026467139819015
meta,גדעון סער,2023-10-08,197,99,14.14,ILS,0,4.59511985013459
meta,דרכנו,2023-09-24,195,398,56.86,ILS,-2,5.986452005284438
meta,דרכנו,2023-10-01,196,199,28.43,ILS,-1,5.293304824724492
meta,דרכנו,2023-10-08,197,4027.853174603174,575.41,ILS,0,8.300988801983221
meta,דרכנו,2023-10-15,198,7112.146825396823,1016.02,ILS,1,8.869559421721476
meta,דרכנו,2023-10-22,199,2987.85,426.84,ILS,2,8.002309344189392
meta,האגודה לזכויות האזרח בישראל,2023-09-24,195,384.6749999999999,54.95,ILS,-2,5.952398821943442
meta,האגודה לזכויות האזרח בישראל,2023-10-01,196,49.7,7.1,ILS,-1,3.906004933102583
meta,האגודה לזכויות האזרח בישראל,2023-10-15,198,1067.25,152.46,ILS,1,6.972840525638071
meta,האגודה לזכויות האזרח בישראל,2023-10-22,199,423.75,60.54,ILS,2,6.04914365869466
meta,האם ראית את האופק לאחרונה,2023-09-24,195,229.24235807860265,32.75,ILS,-2,5.434779776136488
meta,האם ראית את האופק לאחרונה,2023-10-01,196,657.2423580786026,93.89,ILS,-1,6.488052836427299
meta,האם ראית את האופק לאחרונה,2023-10-08,197,2821.6590247452696,403.09,ILS,0,7.945080297594904
meta,האם ראית את האופק לאחרונה,2023-10-15,198,1301.825691411936,185.98,ILS,1,7.171522936242316
meta,האם ראית את האופק לאחרונה,2023-10-22,199,3036.8673580786026,433.84,ILS,2,8.018581788780333
meta,הביטחוניסטים,2023-09-24,195,1612.852259735124,230.41,ILS,-2,7.385759480461656
meta,הביטחוניסטים,2023-10-01,196,1841.29531529068,263.04,ILS,-1,7.518224578629825
meta,הביטחוניסטים,2023-10-08,197,2143.2119781599736,306.17,ILS,0,7.670060907128542
meta,הביטחוניסטים,2023-10-15,198,4478.179074879043,639.74,ILS,1,8.406971786282984
meta,הביטחוניסטים,2023-10-22,199,2189.3461383711083,312.76,ILS,2,7.691358211276728
meta,ההסתדרות החדשה,2023-09-24,195,2310.125,330.02,ILS,-2,7.745056914605921
meta,ההסתדרות החדשה,2023-10-01,196,1348.5,192.64,ILS,-1,7.206748142579785
meta,ההסתדרות החדשה,2023-10-08,197,12627.375,1803.91,ILS,0,9.443622355263317
meta,ההסתדרות החדשה,2023-10-15,198,17097.408333333333,2442.49,ILS,1,9.746682171550265
meta,ההסתדרות החדשה,2023-10-22,199,14572.591666666664,2081.8,ILS,2,9.586897760287066
meta,המכון הישראלי לדמוקרטיה,2023-09-24,195,2556.366160043437,365.2,ILS,-2,7.846342060340459
meta,המכון הישראלי לדמוקרטיה,2023-10-01,196,2569.9383758026743,367.13,ILS,-1,7.851637199314885
meta,המכון הישראלי לדמוקרטיה,2023-10-08,197,1023.2622706417418,146.18,ILS,0,6.9307511071322665
meta,המכון הישראלי לדמוקרטיה,2023-10-15,198,1354.762691248267,193.54,ILS,1,7.211381582365634
meta,המכון הישראלי לדמוקרטיה,2023-10-22,199,1395.7907563204494,199.4,ILS,2,7.2412163840653845
meta,המכון למחקרי ביטחון לאומי,2023-09-24,195,1447.1,206.73,ILS,-2,7.277316832743947
meta,המכון למחקרי ביטחון לאומי,2023-10-01,196,499,71.29,ILS,-1,6.212606095751519
meta,המכון למחקרי ביטחון לאומי,2023-10-08,197,4366.25,623.75,ILS,0,8.381659796121042
meta,המכון למחקרי ביטחון לאומי,2023-10-15,198,5285.8875,755.13,ILS,1,8.572795812304385
meta,המכון למחקרי ביטחון לאומי,2023-10-22,199,4527.9875,646.86,ILS,2,8.418032859278501
meta,הציונות הדתית,2023-09-24,195,2575.1346153846152,367.88,ILS,-2,7.853657089550667
meta,הציונות הדתית,2023-10-01,196,489.5192307692307,69.93,ILS,-1,6.193423747755009
meta,הקרן החדשה לישראל,2023-09-24,195,1782.09266140165,254.58,ILS,-2,7.4855436052207684
meta,הקרן החדשה לישראל,2023-10-01,196,2102.386332287726,300.34,ILS,-1,7.650828327264463
