source,party_name,week_start_sunday,week_index_since_2020,total_spend_week,avg_spend_per_day_week,currency,class
google,Lobby 99,12/11/2023,202,250,35.71428571,ILS,גוף/פרטי
google,Lobby 99,19/11/2023,203,1250,178.5714286,ILS,גוף/פרטי
google,Lobby 99,26/11/2023,204,2000,285.7142857,ILS,גוף/פרטי
google,Lobby 99,03/12/2023,205,1750,250,ILS,גוף/פרטי
google,Lobby 99,10/12/2023,206,2500,357.1428571,ILS,גוף/פרטי
google,Lobby 99,17/12/2023,207,1000,142.8571429,ILS,גוף/פרטי
google,Lobby 99,24/12/2023,208,750,107.1428571,ILS,גוף/פרטי
google,Lobby 99,31/12/2023,209,4750,678.5714286,ILS,גוף/פרטי
google,Lobby 99,07/01/2024,210,7000,1000,ILS,גוף/פרטי
google,Lobby 99,14/01/2024,211,4250,607.1428571,ILS,גוף/פרטי
google,Lobby 99,21/01/2024,212,8750,1250,ILS,גוף/פרטי
google,Lobby 99,28/01/2024,213,6000,857.1428571,ILS,גוף/פרטי
google,Lobby 99,04/02/2024,214,3000,428.5714286,ILS,גוף/פרטי
google,Lobby 99,11/02/2024,215,3500,500,ILS,גוף/פרטי
google,Lobby 99,18/02/2024,216,1000,142.8571429,ILS,גוף/פרטי
google,Lobby 99,25/02/2024,217,4000,571.4285714,ILS,גוף/פרטי
google,Lobby 99,03/03/2024,218,2250,321.4285714,ILS,גוף/פרטי
google,Lobby 99,10/03/2024,219,3250,464.2857143,ILS,גוף/פרטי
google,Lobby 99,17/03/2024,220,1250,178.5714286,ILS,גוף/פרטי
google,Lobby 99,24/03/2024,221,2500,357.1428571,ILS,גוף/פרטי
google,Lobby 99,31/03/2024,222,5500,785.7142857,ILS,גוף/פרטי
google,Lobby 99,07/04/2024,223,2000,285.7142857,ILS,גוף/פרטי
google,Lobby 99,14/04/2024,224,500,71.42857143,ILS,גוף/פרטי
google,Lobby 99,21/04/2024,225,500,71.42857143,ILS,גוף/פרטי
google,Lobby 99,28/04/2024,226,250,35.71428571,ILS,גוף/פרטי
google,Lobby 99,05/05/2024,227,500,71.42857143,ILS,גוף/פרטי
google,Lobby 99,12/05/2024,228,250,35.71428571,ILS,גוף/פרטי
google,Lobby 99,19/05/2024,229,1250,178.5714286,ILS,גוף/פרטי
google,Lobby 99,26/05/2024,230,1250,178.5714286,ILS,גוף/פרטי
google,Lobby 99,02/06/2024,231,1250,178.5714286,ILS,גוף/פרטי
google,Lobby 99,09/06/2024,232,1500,214.2857143,ILS,גוף/פרטי
google,Lobby 99,16/06/2024,233,1250,178.5714286,ILS,גוף/פרטי
google,Lobby 99,23/06/2024,234,1500,214.2857143,ILS,גוף/פרטי
google,Lobby 99,30/06/2024,235,1500,214.2857143,ILS,גוף/פרטי
google,Lobby 99,07/07/2024,236,500,71.42857143,ILS,גוף/פרטי
